# Krishna & Ellenberger (1996), AIChE J 42(9) 2627-2634, Figure 11.
# Large-bubble gas holdup vs (U - U_df) in the 0.10 m column with tetradecane,
# for four gas densities. Experimental markers only; the curves on the figure
# are the authors' own model and Wilkinson's, and were not extracted.
# The abscissa uses MEASURED U_df, as the figure caption states.
#
# The `gas` column is deliberately incomplete. The four series differ only by
# marker shape and overlap heavily above 0.05 m/s; a review of the overlay
# against the original figure found the shape assignment unreliable there, so
# only the SF6 group - which the review confirms is well separated and confined
# below 0.05 m/s - carries a gas label. Everything else is `unassigned`.
# This costs nothing for the main test: Eq. 19 has no gas-density term.
U_minus_Udf,eps_b,gas,rho_G_kg_m3
0.0143,0.0409,SF6,6.7
0.0155,0.0298,SF6,6.7
0.0177,0.0290,SF6,6.7
0.0178,0.0313,SF6,6.7
0.0199,0.0356,SF6,6.7
0.0220,0.0405,SF6,6.7
0.0222,0.0365,SF6,6.7
0.0295,0.0558,SF6,6.7
0.0297,0.0426,SF6,6.7
0.0371,0.0773,SF6,6.7
0.0397,0.0663,SF6,6.7
0.0436,0.0846,SF6,6.7
0.0508,0.0763,unassigned,
0.0514,0.0539,unassigned,
0.0532,0.0688,unassigned,
0.0537,0.0640,unassigned,
0.0588,0.0598,unassigned,
0.0626,0.0858,unassigned,
0.0673,0.0614,unassigned,
0.0689,0.0784,unassigned,
0.0689,0.0839,unassigned,
0.0729,0.0935,unassigned,
0.0754,0.0645,unassigned,
0.0774,0.0777,unassigned,
0.0824,0.0982,unassigned,
0.0867,0.1075,unassigned,
0.0883,0.0973,unassigned,
0.0886,0.0813,unassigned,
0.0902,0.1220,unassigned,
0.0943,0.1171,unassigned,
0.1035,0.1384,unassigned,
0.1089,0.0866,unassigned,
0.1092,0.1109,unassigned,
0.1092,0.1359,unassigned,
0.1099,0.1037,unassigned,
0.1099,0.1187,unassigned,
0.1099,0.1455,unassigned,
0.1105,0.1270,unassigned,
0.1109,0.0969,unassigned,
0.1199,0.1578,unassigned,
0.1265,0.1359,unassigned,
0.1269,0.1187,unassigned,
0.1273,0.1270,unassigned,
0.1276,0.1109,unassigned,
0.1439,0.1090,unassigned,
0.1532,0.1840,unassigned,
0.1627,0.1225,unassigned,
0.1850,0.1719,unassigned,
0.1884,0.1347,unassigned,
0.1895,0.1599,unassigned,
0.1918,0.1468,unassigned,
0.2036,0.1840,unassigned,
0.2149,0.1774,unassigned,
0.2162,0.1522,unassigned,
0.2182,0.1651,unassigned,
0.2309,0.1865,unassigned,
0.2344,0.2013,unassigned,
0.2714,0.1790,unassigned,
0.2772,0.2087,unassigned,
0.2917,0.1925,unassigned,
0.3115,0.2164,unassigned,
0.3278,0.2224,unassigned,
0.3662,0.2412,unassigned,
