eps_s,U_m_s,eps_total,resolved,marker_as_drawn
0.0,0.0092,0.1557,yes,circle
0.0,0.0103,0.165,yes,circle
0.0,0.0117,0.1967,yes,circle
0.0,0.013,0.1884,yes,circle
0.0,0.0137,0.256,yes,circle
0.0,0.1403,0.4389,yes,circle
0.0,0.1434,0.4597,yes,circle
0.0,0.2034,0.4124,yes,circle
0.0,0.2675,0.4181,yes,circle
0.0,0.3355,0.4295,yes,circle
0.0,0.3892,0.4488,yes,circle
0.0,0.447,0.4649,yes,circle
0.0,0.4913,0.4831,yes,circle
0.16,0.0061,0.1115,yes,diamond
0.16,0.0305,0.1245,yes,diamond
0.16,0.0305,0.1245,yes,diamond
0.16,0.0395,0.1484,yes,diamond
0.16,0.0395,0.1484,yes,diamond
0.16,0.0479,0.1702,yes,diamond
0.16,0.0486,0.1661,yes,diamond
0.16,0.058,0.1812,yes,diamond
0.16,0.0674,0.1884,yes,diamond
0.16,0.0678,0.1895,yes,diamond
0.16,0.0678,0.1895,yes,diamond
0.16,0.0775,0.2097,yes,diamond
0.16,0.0887,0.2191,yes,diamond
0.16,0.0988,0.2248,yes,diamond
0.16,0.1103,0.2342,yes,diamond
0.16,0.1204,0.2373,yes,diamond
0.16,0.1326,0.2425,yes,diamond
0.16,0.1326,0.2425,yes,diamond
0.16,0.1445,0.2477,yes,diamond
0.16,0.1563,0.2529,yes,diamond
0.16,0.1786,0.2607,yes,diamond
0.16,0.1786,0.2607,yes,diamond
0.16,0.2023,0.2695,yes,diamond
0.16,0.2027,0.2742,yes,diamond
0.16,0.2253,0.2846,yes,diamond
0.16,0.2257,0.2809,yes,diamond
0.16,0.249,0.2929,yes,diamond
0.16,0.249,0.2929,yes,diamond
0.16,0.2738,0.3001,yes,diamond
0.16,0.2738,0.3053,yes,diamond
0.16,0.3017,0.3173,yes,diamond
0.16,0.3017,0.3126,yes,diamond
0.16,0.3285,0.3251,yes,diamond
0.16,0.3289,0.3152,yes,diamond
0.16,0.3289,0.3204,yes,diamond
0.16,0.355,0.3344,yes,diamond
0.16,0.355,0.335,yes,diamond
0.16,0.3819,0.3459,yes,diamond
0.16,0.3819,0.3459,yes,diamond
0.16,0.4094,0.3526,yes,diamond
0.16,0.4094,0.3573,yes,diamond
0.16,0.4369,0.3646,yes,diamond
0.16,0.4652,0.3755,yes,diamond
0.16,0.4652,0.3708,yes,diamond
0.16,0.4972,0.3812,yes,diamond
0.16,0.4972,0.3864,yes,diamond
0.35,0.0214,0.0907,yes,square
0.35,0.027,0.0897,yes,square
0.35,0.0312,0.0694,yes,square
0.35,0.0395,0.085,yes,square
0.35,0.049,0.0965,yes,square
0.35,0.0584,0.1053,yes,square
0.35,0.0685,0.0996,yes,square
0.35,0.0685,0.1141,yes,square
0.35,0.0775,0.1224,yes,square
0.35,0.0897,0.1339,yes,square
0.35,0.0911,0.124,yes,square
0.35,0.0998,0.1391,yes,square
0.35,0.1103,0.1521,yes,square
0.35,0.1127,0.1437,yes,square
0.35,0.1218,0.1552,yes,square
0.35,0.1326,0.1645,yes,square
0.35,0.1347,0.1573,yes,square
0.35,0.1452,0.1723,yes,square
0.35,0.1577,0.177,yes,square
0.35,0.1807,0.1967,yes,square
0.35,0.1807,0.1967,yes,square
0.35,0.2048,0.204,yes,square
0.35,0.2281,0.2222,yes,square
0.35,0.2515,0.23,yes,square
0.35,0.2766,0.2404,yes,square
0.35,0.3048,0.2482,yes,square
0.35,0.332,0.2601,yes,square
0.35,0.332,0.2601,yes,square
0.35,0.3585,0.2716,yes,square
0.35,0.3585,0.2716,yes,square
0.35,0.3857,0.2856,yes,square
0.35,0.3857,0.2856,yes,square
0.35,0.4129,0.2892,yes,square
0.35,0.4411,0.2986,yes,square
0.35,0.4711,0.3064,yes,square
0.35,0.4711,0.3064,yes,square
,0.0078,0.0466,no,diamond
,0.0078,0.0071,no,diamond
,0.0082,0.0502,no,diamond
,0.0085,0.031,no,diamond
,0.0085,0.0112,no,diamond
,0.0089,0.0201,no,diamond
,0.0092,0.0372,no,diamond
,0.0096,0.0409,no,diamond
,0.0096,0.0159,no,diamond
,0.0099,0.0247,no,diamond
,0.011,0.0575,no,diamond
,0.0117,0.0294,no,diamond
,0.013,0.0814,no,diamond
,0.0134,0.0507,no,diamond
,0.0148,0.0674,no,diamond
,0.0148,0.057,no,diamond
,0.0155,0.0611,no,diamond
,0.0162,0.0726,no,diamond
,0.0214,0.07,no,diamond
,0.0225,0.072,no,diamond
