# Richardson, J. F. and Zaki, W. N. (1954) "Sedimentation and fluidisation: Part I",
# Trans. Instn Chem. Engrs 32, 35-53.  Read from the verbatim reprint in
# Trans IChemE 75 (Dec 1997) Jubilee Supplement; both tables are on reprint page S91.
#
# TABLE III - fluidisation of SPHERICAL particles in WATER
# TABLE IV  - fluidisation of SPHERICAL particles with LIQUIDS OTHER THAN WATER
#
# One row per (particle/liquid, column).  Two columns were used throughout:
# D = 2.44 in. and D = 1.5 in.  The tables print the intercept and slope for each
# column separately and a dash where that column was not run.  Only rows with a
# printed slope are included here; the dashes are dropped.
#
# Table III prints NO liquid properties: it is all water, and the equipment
# section (reprint page S88) states the liquid was held at 20 C.  mu_cP = 1.0 and
# rho_g_cm3 = 1.0 on the Table III rows are therefore NOT PRINTED VALUES; they
# are the ambient-water values used only to re-check the printed Re column, and
# any page using them must say so.  liquid_properties_printed marks this.
#
# EXPONENTS: same rule as the sedimentation file.  Every d/D exponent here was
# checked against d/D x D = d using D = 2.44 in = 6.1976 cm and D = 1.5 in =
# 3.81 cm; all 16 printed Table III values reproduce to better than 0.3 %, which
# is what fixes the two column diameters in cm.
#
# Columns
#   table                : III or IV
#   particle             : as printed
#   d_cm, rho_s_g_cm3    : particle diameter (cm) and density
#   liquid               : as printed ("Water" supplied for Table III)
#   mu_cP, rho_g_cm3     : liquid viscosity and density
#   Re_printed           : Re column
#   V0_cm_s              : terminal falling velocity column, cm/s
#   log10_V0_printed     : Log10 V0 column
#   column_in            : 2.44 or 1.5, the column diameter in inches
#   D_cm                 : that column diameter in cm
#   d_over_D_printed     : the printed d/D for that column
#   intercept_log10_Vc_at_eps1 : "Intercept at eps = 1" for that column
#   slope_n              : "Slope" for that column - the MEASURED exponent n
#   is_oil               : 1 for the two oil liquids, which the paper's own text
#                          singles out as not following the correlations
#   liquid_properties_printed : 1 if mu and rho are printed in the table
#   flag                 : transcription anomalies, see sidecar
table,particle,d_cm,rho_s_g_cm3,liquid,mu_cP,rho_g_cm3,Re_printed,V0_cm_s,log10_V0_printed,column_in,D_cm,d_over_D_printed,intercept_log10_Vc_at_eps1,slope_n,is_oil,liquid_properties_printed,flag
III,Ball Bearings 1/4 in. D,6.35e-1,7.74,Water,1.0,1.0,7150,112.7,2.052,2.44,6.1976,10.25e-2,1.98,2.38,0,0,
III,Ball Bearings 1/4 in. D,6.35e-1,7.74,Water,1.0,1.0,7150,112.7,2.052,1.5,3.81,16.68e-2,1.95,2.52,0,0,
III,Glass spheres,4.2e-1,2.89,Water,1.0,1.0,2041,48.6,1.687,2.44,6.1976,6.77e-2,1.56,2.39,0,0,
III,Glass spheres,4.2e-1,2.89,Water,1.0,1.0,2041,48.6,1.687,1.5,3.81,11.0e-2,1.54,2.33,0,0,
III,Ballbearings 1/8 in. D,3.175e-1,7.73,Water,1.0,1.0,2530,79.7,1.901,2.44,6.1976,5.12e-2,1.815,2.36,0,0,
III,Ballbearings 1/8 in. D,3.175e-1,7.73,Water,1.0,1.0,2530,79.7,1.901,1.5,3.81,8.33e-2,1.81,2.36,0,0,
III,Lead shot,1.029e-1,10.6,Water,1.0,1.0,488.7,47.5,1.677,2.44,6.1976,1.66e-2,1.69,2.43,0,0,
III,Lead shot,1.029e-1,10.6,Water,1.0,1.0,488.7,47.5,1.677,1.5,3.81,2.7e-2,1.63,2.43,0,0,
III,Ballotini,1.029e-1,2.745,Water,1.0,1.0,171.0,16.64,1.22,2.44,6.1976,1.66e-2,1.16,2.68,0,0,
III,Ballotini,1.029e-1,2.745,Water,1.0,1.0,171.0,16.64,1.22,1.5,3.81,2.7e-2,1.1,2.765,0,0,
III,Ballotini,5.1e-2,2.745,Water,1.0,1.0,41.72,8.1,0.909,2.44,6.1976,8.23e-3,0.91,3.11,0,0,
III,Ballotini,5.1e-2,2.745,Water,1.0,1.0,41.72,8.1,0.909,1.5,3.81,1.34e-2,0.81,3.18,0,0,
III,Ballotini,2.53e-2,2.78,Water,1.0,1.0,8.971,3.55,0.55,2.44,6.1976,4.08e-3,0.61,3.59,0,0,
III,Ballotini,2.53e-2,2.78,Water,1.0,1.0,8.971,3.55,0.55,1.5,3.81,6.65e-3,0.53,3.64,0,0,
