# Richardson, J. F. and Zaki, W. N. (1954) "Sedimentation and fluidisation: Part I",
# Trans. Instn Chem. Engrs 32, 35-53.  Read from the verbatim reprint in
# Trans IChemE 75 (Dec 1997) Jubilee Supplement; both tables are on reprint page S94.
#
# TABLE VI  - n0 as a function of Re.  n0 is the value of the measured slope n
#             extrapolated to d/D -> 0, read off the curves of Fig. 18.
#             Columns: Re, log Re, n0, log n0.
# TABLE VII - -(d/D)_{n -> 0} as a function of Re.  Columns: Re, the slope of the
#             line of n against d/D on Fig. 18, and MINUS the d/D at which that
#             line reaches n = 0.  The minus sign is in the printed column head.
#
# The two tables share only some Re values, so they are merged here on Re and the
# missing cells are left blank.  Every value was read off a 600 dpi render; the
# two printed log columns of Table VI reproduce from the same rows' Re and n0 to
# better than 0.001 on all 18 rows, which is what certifies the transcription.
#
# Columns
#   Re                     : the Reynolds number of the curve
#   log10_Re_printed       : Table VI "log Re" column (blank where Table VI has no such Re)
#   n0_printed             : Table VI n0 column
#   log10_n0_printed       : Table VI "log n0" column
#   slope_n_vs_dD_printed  : Table VII "slope of the lines on the graph of n against d/D"
#   minus_dD_at_n0_printed : Table VII "-(d/D)_{n -> 0}" column
Re,log10_Re_printed,n0_printed,log10_n0_printed,slope_n_vs_dD_printed,minus_dD_at_n0_printed
0.2,,,,19.65,2.36e-1
0.39,-0.409,4.52,0.655,,
0.49,-0.309,4.45,0.648,19.22,2.33e-1
0.76,-0.119,4.42,0.645,,
1.23,0.09,4.33,0.636,16.32,2.65e-1
2.02,0.305,4.17,0.62,15.93,2.62e-1
2.35,0.371,4.14,0.617,,
2.75,0.439,4.02,0.604,,
6.53,0.815,3.76,0.575,14.7,2.56e-1
9.45,0.975,3.54,0.549,14.3,2.48e-1
14.45,1.16,3.39,0.53,,
18.2,1.26,3.33,0.522,14.2,2.34e-1
27.5,1.44,3.19,0.504,,
38.25,1.583,3.05,0.484,14.0,2.18e-1
41.7,1.62,3.0,0.477,13.62,2.2e-1
80.0,1.903,2.86,0.456,13.32,2.15e-1
171.0,2.233,2.55,0.406,8.05,3.16e-1
267.0,2.426,2.5,0.398,,
489.0,2.689,2.39,0.378,0.0,
