# Richardson, J. F. and Zaki, W. N. (1954) "Sedimentation and fluidisation: Part I",
# Trans. Instn Chem. Engrs 32, 35-53.  Read from the verbatim reprint in
# Trans IChemE 75 (Dec 1997) Jubilee Supplement, S82-S100; these tables are on
# reprint pages S88 (Table I) and S89 (Table II).
#
# TABLE I  - sedimentation experiments, Reynolds number < 0.2 (as titled)
# TABLE II - sedimentation experiments, Reynolds number > 0.2 (as titled)
#
# One row per (run, tube).  A "run group" is one particle/liquid pair measured in
# two or three tubes; the group's d, rho_s, mu, rho, V0, Re and log10 V0 are
# printed once and repeated here on every row of the group.
#
# V0 in Table I is the TERMINAL FALLING VELOCITY FROM STOKES' LAW (the column is
# headed "Terminal falling velocity Stokes' law V0"); in Table II the column is
# headed "Terminal falling velocity" with no qualifier.
#
# EXPONENTS.  The mantissas print cleanly at 600 dpi; several exponent glyphs do
# not (this is the documented pre-1980 Elsevier scan trap).  Every exponent
# recorded here was settled from quantities printed in the SAME ROW - the
# log10 V0 column, Stokes' law from the printed d, rho_s, rho and mu, the
# Reynolds definition Re = V0 d rho / mu, and d/D x D = d - not by inference from
# what "looks right".  exponent_resolved marks the cells where the glyph itself
# was not decisive.  See the .meta.yaml sidecar for the full list.
#
# Columns
#   table                : I or II
#   runs                 : run letters/numbers as printed, group order preserved
#   particle             : as printed
#   d_cm                 : particle diameter, cm
#   rho_s_g_cm3          : particle density
#   liquid               : as printed
#   mu_cP                : liquid viscosity, centipoise
#   rho_g_cm3            : liquid density
#   V0_cm_s              : terminal falling velocity column, cm/s
#   Re_printed           : Reynolds number column
#   log10_V0_printed     : Log10 V0 column
#   D_cm                 : tube diameter, cm
#   d_over_D_printed     : d/D column
#   intercept_log10_Vc_at_eps1 : "Intercept at eps = 1" column
#   slope_n              : "Slope" column - the MEASURED exponent n
#   exponent_resolved    : 1 if any exponent in this group came from a row identity
#   flag                 : transcription anomalies, see sidecar
table,runs,particle,d_cm,rho_s_g_cm3,liquid,mu_cP,rho_g_cm3,V0_cm_s,Re_printed,log10_V0_printed,D_cm,d_over_D_printed,intercept_log10_Vc_at_eps1,slope_n,exponent_resolved,flag
I,B,Divinyl Benzene,1.81e-2,1.058,0.5% Sodium Chloride solution,1.53,1.001,6.64e-2,7.89e-2,-1.178,1.9,9.53e-3,-1.17,4.9,1,
I,A,Divinyl Benzene,1.81e-2,1.058,0.5% Sodium Chloride solution,1.53,1.001,6.64e-2,7.89e-2,-1.178,2.8,6.46e-3,-1.16,4.79,1,
I,C,Divinyl Benzene,1.81e-2,1.058,0.5% Sodium Chloride solution,1.53,1.001,6.64e-2,7.89e-2,-1.178,4.8,3.77e-3,-1.16,4.76,1,
I,P,Divinyl Benzene,1.81e-2,1.058,M-Cresol,20.8,1.034,2.06e-3,1.85e-4,-2.68,1.9,9.53e-3,-2.66,4.9,1,
I,Q,Divinyl Benzene,1.81e-2,1.058,M-Cresol,20.8,1.034,2.06e-3,1.85e-4,-2.68,4.8,3.77e-3,-2.65,4.79,1,
I,D,Divinyl Benzene,2.53e-2,1.058,40% Ethyl Alcohol,2.91,0.935,1.475e-1,1.2e-1,-0.831,1.9,1.33e-2,-0.84,4.94,1,
I,E,Divinyl Benzene,2.53e-2,1.058,40% Ethyl Alcohol,2.91,0.935,1.475e-1,1.2e-1,-0.831,2.8,9.04e-3,-0.83,4.9,1,
I,F,Divinyl Benzene,3.58e-2,1.058,M-Cresol,20.8,1.034,8.07e-3,1.43e-3,-2.093,1.9,1.89e-2,-2.08,4.92,1,
I,G,Divinyl Benzene,3.58e-2,1.058,M-Cresol,20.8,1.034,8.07e-3,1.43e-3,-2.093,2.8,1.28e-2,-2.08,4.89,1,
I,H,Ballotini,9.6e-3,2.923,M-Cresol,20.8,1.034,4.55e-2,2.18e-3,-1.342,1.9,5.8e-3,-1.32,4.76,1,d_over_D_inconsistent
I,I,Ballotini,9.6e-3,2.923,M-Cresol,20.8,1.034,4.55e-2,2.18e-3,-1.342,2.8,3.45e-3,-1.32,4.72,1,
I,J,Ballotini,9.6e-3,2.923,M-Cresol,20.8,1.034,4.55e-2,2.18e-3,-1.342,4.8,2.01e-3,-1.32,4.69,1,
