# Geldart, D. (1973) "Types of gas fluidization", Powder Technology 7(5) 285-292.
# TABLE 1, journal page 288: "Experimental results on Group A powders".
# Transcribed character by character from a 600 dpi render of the printed page.
# rho_s is the value printed beside each powder name in the table stub:
#   Diakon         rho_s = 1.18 g/cm3   (printed with "=")
#   Fresh catalyst rho_s ~= 1    g/cm3  (printed with "~=", i.e. approximate)
#   Spent catalyst rho_s ~= 1.5  g/cm3  (printed with "~=", i.e. approximate)
# rho_s_exact records which of those two it is.
# U_0   = superficial velocity at minimum fluidization, cm/s (measured)
# U_MB  = superficial velocity at minimum bubbling,     cm/s (measured)
# eps_MB= bed voidage at minimum bubbling                    (REPORTED)
# H_MB_over_H_0 = bed height at minimum bubbling / at rest   (REPORTED)
# Section 4.2 gives the measurement method for U_0 and U_MB only; it says
# nothing about how eps_MB and H_MB/H_0 were obtained.  Do not call them
# measurements.
# The one blank U_0 is printed as an em dash in the table.
powder,rho_s,rho_s_exact,nominal_range,d_sv_um,U_0,U_MB,eps_MB,H_MB_over_H_0
Diakon,1.18,True,-105,78,0.52,0.85,0.542,1.095
Diakon,1.18,True,105-125,118,0.82,1.17,0.496,1.065
Diakon,1.18,True,125-150,141,0.96,1.34,0.481,1.040
Diakon,1.18,True,150-180,155,1.43,1.60,0.465,1.012
Diakon,1.18,True,180-210,190,1.67,1.76,0.452,1.003
Diakon,1.18,True,210-250,220,2.44,2.51,0.442,1.001
Diakon,1.18,True,250-300,263,3.11,3.11,0.444,1.000
Diakon,1.18,True,300-350,318,4.11,4.11,0.444,1.000
Fresh catalyst,1.0,False,10-20,25,0.08,0.25,0.645,1.43
Fresh catalyst,1.0,False,20-30,39,0.09,0.35,0.629,1.37
Fresh catalyst,1.0,False,45-53,55,0.23,0.59,0.645,1.28
Fresh catalyst,1.0,False,53-63,68,0.29,0.68,0.645,1.21
Fresh catalyst,1.0,False,63-75,75,0.33,0.73,0.638,1.20
Fresh catalyst,1.0,False,75-90,100,0.46,0.90,0.627,1.16
Fresh catalyst,1.0,False,90-105,108,0.44,0.93,0.630,1.19
Fresh catalyst,1.0,False,as received,65,,0.64,0.630,1.25
Spent catalyst,1.5,False,-45,45,0.13,0.51,0.675,1.41
Spent catalyst,1.5,False,45-53,62,0.18,0.60,0.630,1.35
Spent catalyst,1.5,False,53-63,75,0.22,0.68,0.635,1.31
Spent catalyst,1.5,False,63-75,87,0.26,0.73,0.600,1.25
Spent catalyst,1.5,False,75-90,95,0.35,0.82,0.610,1.18
Spent catalyst,1.5,False,90-105,115,0.4,0.84,0.610,1.14
