# Richardson, J. F. and Zaki, W. N., "Sedimentation and fluidisation: Part I",
# Trans. Instn Chem. Engrs 32 (1954) 35-53, read from the verbatim Golden
# Jubilee reprint, Trans IChemE 75 (Dec 1997) S82-S100,
# doi:10.1016/S0263-8762(97)80006-8.
#
# TABLE VI, "n_0 as a Function of Re", reprint page S94.
# Transcribed character by character from a 300 dpi render of the printed page,
# which is the embedded bilevel image's own native resolution.
#
# The table's own header defines:
#   Re  = V_0 d rho / mu     (V_0 = terminal falling velocity of a single
#                             particle in an infinite medium, so this is the
#                             SINGLE-PARTICLE terminal Reynolds number)
#   n_0 = n extrapolated to d/D -> 0
# and the index n is defined by the paper's equation (29), V_c/V_i = eps^n,
# with V_c the superficial velocity of the fluid relative to the vessel and V_i
# its value extrapolated to eps = 1; V_i -> V_0 as d/D -> 0.
#
# log_Re and log_n0 are the paper's own two extra columns. They are redundant
# with the first and third and are kept because they give a free round-trip
# check on this transcription: log_Re must equal log10(Re) and log_n0 must equal
# log10(n_0). One of them is the reason a digit could be read at all - the
# log_n0 cell of the Re = 2.02 row is printed with a damaged 6, and log10(4.17)
# = 0.6201 settles it as 0.62.
Re,log_Re,n_0,log_n0
0.39,-0.409,4.52,0.655
0.49,-0.309,4.45,0.648
0.76,-0.119,4.42,0.645
1.23,0.09,4.33,0.636
2.02,0.305,4.17,0.62
2.35,0.371,4.14,0.617
2.75,0.439,4.02,0.604
6.53,0.815,3.76,0.575
9.45,0.975,3.54,0.549
14.45,1.16,3.39,0.53
18.2,1.26,3.33,0.522
27.5,1.44,3.19,0.504
38.25,1.583,3.05,0.484
41.7,1.62,3.0,0.477
80.0,1.903,2.86,0.456
171.0,2.233,2.55,0.406
267.0,2.426,2.5,0.398
489.0,2.689,2.39,0.378
