# Edwards & Richardson (1968) Chem. Eng. Sci. 23(2) 109-123, Figure 9.
# Peclet number ud_p/D_L against Reynolds number ud_p*eps/nu, large particles.
# Digitised marker positions only; see the .meta.yaml sidecar. Series labels
# are NOT recorded - Eq. (18) has no particle-size term, so they are not needed.
reynolds,peclet,pixel_x,pixel_y
0.00857,0.022828,209.0,1522.5
0.017755,0.052568,398.1,1303.5
0.021064,0.058639,442.5,1274.8
0.035008,0.08603,574.4,1174.2
0.040934,0.12798,615.0,1069.9
0.062958,0.1864,726.7,971.2
0.075517,0.21083,773.9,938.8
0.094296,0.27432,831.6,869.7
0.11239,0.32357,877.2,826.4
0.15356,0.39719,958.2,772.5
0.17742,0.52342,995.7,700.1
0.17804,0.47171,996.6,727.4
0.18947,0.5421,1012.8,690.9
0.21421,0.53096,1044.6,696.3
0.29848,0.62462,1130.7,653.7
0.33473,0.94843,1160.5,544.0
0.34332,0.82077,1167.1,582.0
0.34475,1.1623,1168.2,490.6
0.36419,1.0557,1182.4,515.9
0.42058,1.1397,1219.8,495.8
0.61733,1.7043,1319.4,390.1
0.65442,1.8474,1334.6,369.0
0.81641,1.8637,1392.0,366.6
0.87689,2.2133,1410.5,321.5
1.1975,2.1984,1491.4,323.3
1.2132,1.9526,1494.8,354.4
1.3124,1.8223,1515.2,372.5
1.814,2.4426,1599.2,295.6
1.8445,3.2976,1603.6,216.8
1.9906,3.4369,1623.4,206.0
2.6524,3.4234,1697.9,207.0
2.9209,2.5599,1722.9,283.3
3.251,3.6002,1750.7,193.8
3.6337,3.5299,1779.6,198.9
3.655,2.7323,1781.1,266.2
4.0659,2.5617,1808.8,283.1
4.3733,4.1584,1827.7,155.9
5.1776,2.7931,1871.5,260.4
5.5445,3.4368,1889.3,206.0
5.7841,2.4878,1900.3,290.8
6.4211,3.1633,1927.4,227.7
6.5871,2.7015,1934.0,269.2
8.6829,2.6532,2005.8,273.9
9.4084,2.4788,2026.6,291.8
9.4093,2.2593,2026.6,316.1
11.703,3.3316,2083.3,214.1
12.755,2.7073,2105.6,268.6
16.835,2.0859,2177.6,337.1
18.872,2.3238,2207.3,308.7
23.862,2.5079,2268.2,288.7
24.802,2.1193,2278.2,332.9
31.342,2.0398,2339.0,342.9
36.307,2.1669,2377.2,327.1
38.908,2.4349,2395.1,296.5
49.123,2.0309,2455.7,344.1
