# Numbers printed in Edwards & Richardson (1968), Chem. Eng. Sci. 23(2) 109-123.
# Every row was read off a 600 dpi render of the page named in `page`, not off
# the PDF text layer, which mangles the mid-dot decimal separator of the 1968
# Pergamon typesetting. Nothing here is derived.
quantity,value,unit,page,source
tortuosity_factor_gamma,0.73,dimensionless,119,"Eq. (17); also stated on 117 as D_L/D_M at Re<1"
correction_constant_beta,9.7,dimensionless,119,"Eq. (17), 'the best fit for the experimental results'"
eddy_coefficient,0.5,dimensionless,118,"Eq. (14)-(16): D_L = u d_p / 2 at Pe = 2"
molecular_diffusivity_argon_air,0.205,cm2/s,117,"'the molecular diffusion coefficient for argon in air'"
dispersion_coefficient_low_Re,0.150,cm2/s,117,"'at Reynolds numbers less than 1, D_L is 0.150 +/- 0.0063'"
dispersion_coefficient_low_Re_ci95,0.0063,cm2/s,117,"95 per cent confidence limits on the line above"
voidage_used_in_eq18,0.37,dimensionless,119,"'using e = 0.37'"
schmidt_number_used_in_eq18,0.72,dimensionless,119,"'and Schmidt number Sc = 0.72'"
eq18_molecular_coefficient,0.38,dimensionless,119,"Eq. (18) first term, 0.38 Re^-1"
eq18_correction_coefficient,5.0,dimensionless,119,"Eq. (18) denominator, 1 + 5.0 Re^-1"
eq18_eddy_coefficient,0.5,dimensionless,119,"Eq. (18) numerator of the second term"
reynolds_min,0.008,dimensionless,109,"abstract, range of validity of Eq. (17)"
reynolds_max,50,dimensionless,109,"abstract, range of validity of Eq. (17)"
particle_diameter_min,0.0377,cm,109,"abstract, range of validity of Eq. (17)"
particle_diameter_max,0.60,cm,109,"abstract, range of validity of Eq. (17)"
peclet_high_Re_limit,2,dimensionless,120,"conclusions: 'the Peclet number approached a limiting value of about 2'"
peclet_maximum_claim,3,dimensionless,120,"conclusions: 'a maximum, greater than 3, in the Peclet-Reynolds plot'"
crossover_reynolds_gas,1.8,dimensionless,118,"'molecular diffusion will predominate at Reynolds numbers ... less than about 1.8 for gases'"
crossover_reynolds_liquid,0.0003,dimensionless,118,"'... less than about 3 x 10^-4 for liquids'"
typical_diffusivity_gas,0.5,cm2/s,118,"'taking typical values of ... 0.5 cm2/sec for a gas'"
typical_diffusivity_liquid,0.00001,cm2/s,118,"'taking typical values of 10^-5 cm2/sec for a liquid'"
tube_to_particle_diameter_min,14,dimensionless,120,"conclusions, no wall effect over this range"
tube_to_particle_diameter_max,220,dimensionless,120,"conclusions, no wall effect over this range"
bed_length_min,21.3,cm,120,"conclusions, no length effect over this range"
bed_length_max,121.3,cm,120,"conclusions, no length effect over this range"
gamma_blackwell,0.67,dimensionless,117,"Blackwell, Rayne & Terry [11], quoted by E&R"
gamma_evans_kenney,0.69,dimensionless,117,"Evans & Kenney [13] for spherical particles, quoted by E&R"
percent_sd_dispersion_coefficient,10,percent,122,"Appendix A"
percent_sd_velocity,4,percent,122,"Appendix A"
percent_sd_pulse_area,1.37,percent,122,"Appendix A, average of five pulses"
percent_sd_pulse_mean,0.35,percent,122,"Appendix A, average of five pulses"
percent_sd_pulse_variance,1.30,percent,122,"Appendix A, average of five pulses"
fig13_reynolds,24.6,dimensionless,119,"Figure 13 legend, large-particle response-curve check"
fig13_particle_diameter,0.300,cm,119,"Figure 13 legend"
fig13_separation,100,cm,119,"Figure 13 legend, Delta x"
fig15_particle_diameter,0.0097,cm,120,"Figure 15 legend, small-particle response-curve check"
fig15_reynolds,0.0710,dimensionless,120,"Figure 15 legend"
fig15_apparent_dispersion_coefficient,0.503,cm2/s,120,"Figure 15 legend, D_L from the moments method"
