# Numbers printed in Gunn, D. J. (1987), "Axial and radial dispersion in fixed
# beds", Chemical Engineering Science 42(2) 363-373.
# Every row was read off a 600 dpi render of the journal page named in `page`,
# not off the PDF text layer, which on this pre-1990 Pergamon scan mangles the
# running head and turns eq. (1) into "4a;;;+,)(1 -PI?". Nothing here is derived.
quantity,value,unit,page,source
p_offset,0.17,dimensionless,365,"Eqs. (3), (4) and (5): the Re-independent part of p, the same in all three"
p_amplitude_spheres,0.33,dimensionless,365,"Eq. (3), p = 0.17 + 0.33 exp(-24/Re), spheres"
p_amplitude_solid_cylinders,0.29,dimensionless,365,"Eq. (4), solid cylinders"
p_amplitude_hollow_cylinders,0.20,dimensionless,365,"Eq. (5), hollow cylinders"
p_reynolds_scale,24.0,dimensionless,365,"the 24 in exp(-24/Re) of Eqs. (3)-(5); the same in all three"
tau_axial_spheres,1.4,dimensionless,365,"Eq. (3), 'spheres, tau = 1.4'"
tau_axial_solid_cylinders,1.93,dimensionless,365,"Eq. (4)"
tau_axial_hollow_cylinders,1.8,dimensionless,365,"Eq. (5)"
pef_asymptote_spheres,40.0,dimensionless,369,"Eq. (10), Pe_f = 40 - 29 exp(-7/Re), spheres"
pef_amplitude_spheres,29.0,dimensionless,369,"Eq. (10)"
pef_asymptote_solid_cylinders,11.0,dimensionless,369,"Eq. (11), solid cylinders"
pef_amplitude_solid_cylinders,4.0,dimensionless,369,"Eq. (11)"
pef_asymptote_hollow_cylinders,9.0,dimensionless,369,"Eq. (12), hollow cylinders"
pef_amplitude_hollow_cylinders,3.3,dimensionless,369,"Eq. (12)"
pef_reynolds_scale,7.0,dimensionless,369,"the 7 in exp(-7/Re) of Eqs. (10)-(12); the same in all three"
tau_radial_spheres,1.2,dimensionless,369,"Eq. (10), 'spheres, tau = 1.2' - NOT the 1.4 of Eq. (3)"
tau_radial_solid_cylinders,1.93,dimensionless,369,"Eq. (11)"
tau_radial_hollow_cylinders,1.8,dimensionless,369,"Eq. (12)"
schmidt_argon_air,0.77,dimensionless,365,"'the experimental results of Gunn and Pryce (1969) for the dispersion of argon ... at a value for the Schmidt group of 0.77'"
schmidt_liquid_fig1,800.0,dimensionless,365,"'an ionic salt solution as tracer injected into water for which the Schmidt groups were approximately 800'"
schmidt_fig1_curve_low,750.0,dimensionless,365,"Figure 1 legend, 'Eq. (1), Sc = 750, tau = 1.4'"
schmidt_fig1_curve_high,1500.0,dimensionless,365,"Figure 1 legend, 'Sc = 1500'"
schmidt_radial_low,0.8,dimensionless,369,"'an increase in Schmidt group from 0.8 to 540'"
schmidt_radial_high,540.0,dimensionless,369,"'an increase in Schmidt group from 0.8 to 540'; Hiby (1962), Fig. 5 legend"
peclet_high_re_asymptote,2.0,dimensionless,366,"'Pe approaches the widely quoted value of 2 at Reynolds numbers approaching 1000'"
reynolds_of_high_re_asymptote,1000.0,dimensionless,366,"same sentence"
reynolds_p_lower_plateau,1.0,dimensionless,365,"'The three equations give constant values for p below Re = 1 and above 1000'"
reynolds_p_upper_plateau,1000.0,dimensionless,365,"same sentence"
reynolds_p_transition_end,200.0,dimensionless,365,"'the major change in p taking place from Re = 1 to 200'"
liquid_gas_max_factor,10.0,dimensionless,366,"'reaching a maximum difference of a factor of 10 at Re ~ 3'"
liquid_gas_max_reynolds,3.0,dimensionless,366,"same sentence, printed as 'Re ~ 3'"
liquid_gas_range_min,0.2,dimensionless,366,"'the axial dispersion coefficient within the range of 0.2 < Re < 300 is greater for the liquid phase'"
liquid_gas_range_max,300.0,dimensionless,366,"same sentence"
voidage_bulk_spheres,0.37,dimensionless,368,"'The voidage in the bulk of a fixed bed of spheres is about 0.37'"
voidage_wall_region,0.6,dimensionless,368,"'e_w less than the mean of 0.37 and 1.0 in the wall region of extent 0.5d, say 0.6'"
voidage_wall_range_min,0.37,dimensionless,368,"'0.37 < e_w < 1.0'"
voidage_wall_range_max,1.0,dimensionless,368,"'0.37 < e_w < 1.0'"
wall_region_extent_diameters,0.5,dimensionless,368,"'the wall region of extent 0.5d'"
superficial_velocity_ratio_price,1.65,dimensionless,368,"Eq. (8): 'the ratio of velocity in the wall region to velocity in the bulk measured outside the bed u_w/u_b was (1.65)' - Price (1968)"
interstitial_velocity_ratio_result,1.02,dimensionless,368,"'On substituting these values in eq. (8) we find that U_w/U_b is 1.02'"
tube_to_particle_ratio_min,10.0,dimensionless,369,"'for ratios of d_t/d > 10'"
intraparticle_diffusivity_fraction,0.10,dimensionless,371,"'the intraparticle diffusivity of porous particles is about 10 % of molecular (Table 1)'"
sherwood_c1,7.0,dimensionless,371,"Eq. (13), Sh = (7 - 10 eps + 5 eps^2)(1 + 0.7 Re^0.2 Sc^(1/3)) + (1.33 - 2.4 eps + 1.2 eps^2) Re^0.7 Sc^(1/3)"
sherwood_c2,10.0,dimensionless,371,"Eq. (13)"
sherwood_c3,5.0,dimensionless,371,"Eq. (13)"
sherwood_c4,0.7,dimensionless,371,"Eq. (13)"
sherwood_c5,0.2,dimensionless,371,"Eq. (13), the Re exponent in the low-Re group"
sherwood_c6,1.33,dimensionless,371,"Eq. (13)"
sherwood_c7,2.4,dimensionless,371,"Eq. (13)"
sherwood_c8,1.2,dimensionless,371,"Eq. (13)"
sherwood_c9,0.7,dimensionless,371,"Eq. (13), the Re exponent in the high-Re group"
