# Zwietering, Th. N. (1959) Chem. Eng. Sci. 11(1) 1-15, Tables 1 and 2, journal page 11.
# Values of ce/c0 for a second-order reaction, as PRINTED. Dashes in the printed
# maximum-mixedness row (kc0*tau = 3 and 50) are omitted rather than encoded.
# `caption_tanks` is what the table's own caption says; it is NOT necessarily the
# residence-time distribution the numbers belong to - see the sidecar.
table,caption_tanks,row_label,mixing_state,K,ce_over_c0
1,2,Complete segregation,complete_segregation,3,0.298
1,2,Complete segregation,complete_segregation,5,0.209
1,2,Complete segregation,complete_segregation,10,0.122
1,2,Complete segregation,complete_segregation,20,0.067
1,2,Complete segregation,complete_segregation,30,0.046
1,2,Complete segregation,complete_segregation,50,0.028
1,2,"2 real, segregated vessels",real_segregated,3,0.312
1,2,"2 real, segregated vessels",real_segregated,5,0.225
1,2,"2 real, segregated vessels",real_segregated,10,0.137
1,2,"2 real, segregated vessels",real_segregated,20,0.079
1,2,"2 real, segregated vessels",real_segregated,30,0.057
1,2,"2 real, segregated vessels",real_segregated,50,0.037
1,2,"2 real, ideally mixed vessels",real_ideally_mixed,3,0.326
1,2,"2 real, ideally mixed vessels",real_ideally_mixed,5,0.242
1,2,"2 real, ideally mixed vessels",real_ideally_mixed,10,0.155
1,2,"2 real, ideally mixed vessels",real_ideally_mixed,20,0.096
1,2,"2 real, ideally mixed vessels",real_ideally_mixed,30,0.071
1,2,"2 real, ideally mixed vessels",real_ideally_mixed,50,0.049
1,2,maximum mixedness,maximum_mixedness,5,0.252
1,2,maximum mixedness,maximum_mixedness,10,0.166
1,2,maximum mixedness,maximum_mixedness,20,0.106
1,2,maximum mixedness,maximum_mixedness,30,0.081
2,3,complete segregation,complete_segregation,3,0.322
2,3,complete segregation,complete_segregation,5,0.232
2,3,complete segregation,complete_segregation,10,0.140
2,3,complete segregation,complete_segregation,20,0.080
2,3,complete segregation,complete_segregation,30,0.056
2,3,complete segregation,complete_segregation,50,0.035
2,3,"3 real, segregated vessels",real_segregated,3,0.334
2,3,"3 real, segregated vessels",real_segregated,5,0.246
2,3,"3 real, segregated vessels",real_segregated,10,0.154
2,3,"3 real, segregated vessels",real_segregated,20,0.093
2,3,"3 real, segregated vessels",real_segregated,30,0.067
2,3,"3 real, segregated vessels",real_segregated,50,0.045
2,3,"3 real, ideally mixed vessels",real_ideally_mixed,3,0.357
2,3,"3 real, ideally mixed vessels",real_ideally_mixed,5,0.275
2,3,"3 real, ideally mixed vessels",real_ideally_mixed,10,0.186
2,3,"3 real, ideally mixed vessels",real_ideally_mixed,20,0.122
2,3,"3 real, ideally mixed vessels",real_ideally_mixed,30,0.094
2,3,"3 real, ideally mixed vessels",real_ideally_mixed,50,0.067
2,3,maximum mixedness,maximum_mixedness,5,0.287
2,3,maximum mixedness,maximum_mixedness,10,0.196
2,3,maximum mixedness,maximum_mixedness,20,0.132
2,3,maximum mixedness,maximum_mixedness,30,0.104
