# Yagi & Kunii, AIChE J 3(3) 373-381 (1957), Figures 13-17, journal pages 378-380.
# THE AUTHORS' OWN THEORETICAL CURVES ONLY - the smooth lines each figure labels
# "THEORETICAL" or "CALCD.", i.e. their computed output from Eq. (15) with the Table 4
# parameters. The scattered MEASURED points in those same figures are NOT recorded and
# remain scoped out of this page: they are the paper's only measurement of its own and
# digitising them needs a maintainer review.
# Each row is one curve read at one abscissa, as close to the ends of the plotted range
# as the frame allows. Where a curve leaves the top of the ordinate before 1000 degC
# (iron spheres, porcelain cylinders, firebrick cubes) only the low-temperature end is
# recorded.
# Read at the scan's NATIVE 300 ppi. Axes calibrated from the minor tick ladders (1
# ordinate unit and 100 degC per tick on every one of the five figures); curve ordinate
# taken as the centroid of the ink in the sampled column. Uncertainty about +-0.15 in
# ke0/kg and +-5 degC in t.
figure,solid,Dp_mm,beta_curve,t_C,ke0_over_kg_read
13,Iron sphere,11.0,1.0,35.7,19.73
13,Iron sphere,11.0,0.9,35.7,17.93
14,Porcelain cylinder,9.05,,35.5,11.51
14,Porcelain granule,6.0,,35.5,10.90
14,Porcelain granule,6.0,,962.9,23.47
15,Cement clinker,0.18,,35.3,6.23
15,Cement clinker,5.0,,963.3,22.10
15,Cement clinker,3.6,,963.3,17.54
15,Cement clinker,2.6,,963.3,14.41
15,Cement clinker,0.18,,963.3,5.32
16,"Insulating fire brick, cube",10.0,,35.4,3.13
16,"Insulating fire brick, sphere",5.0,,35.4,2.44
16,"Insulating fire brick, sphere",5.0,,963.2,15.86
17,"Raschig ring, regularly packed",9.0,,48.0,6.34
17,"Raschig ring, randomly packed",9.0,,48.0,7.04
17,"Raschig ring, regularly packed",9.0,,952.0,28.45
17,"Raschig ring, randomly packed",9.0,,952.0,35.50
