# Yagi & Kunii, AIChE J 3(3) 373-381 (1957), Table 1, journal page 373.
# "Analytical results of experimental data of effective thermal conductivities in packed
#  beds with fluid flow" -- OTHER AUTHORS' data, re-analysed by Yagi & Kunii into the
#  standard form of Eq. (6):  ke/kg = ke0/kg + (alpha*beta) N_PrM N_ReM = ke0/kg + (alpha*beta) N_PeM
# Read from a page render; re-read at the scan's native 300 ppi, unchanged.
# Reference markers are set vertically centred over multi-row blocks; reference_inferred=1
# marks rows where the block owner is read from the marker's position, not from a marker
# printed on that row.
# Dp_mm / DT_mm are printed as a block listing (the solid diameters and bed diameters
# used in that study), NOT paired row-wise with alpha_beta; continuation rows are left
# blank here so no false pairing is implied. Dp_over_DT IS row-wise.
# ke0_over_kg blank where the paper prints an em dash. The last block (ref 29) prints
# "ke0/kg by Eq. (15)" in that column instead of a number.
reference,reference_inferred,solid,gas,Dp_mm,DT_mm,NReM_range,ke0_over_kg,alpha_beta,Dp_over_DT
9,0,Catalyst cylinder,Air,3.6/6.0/10.5,25.4/50/100,0-1000,5.5,0.10,0.036-0.24
3,0,Alumina cylinder,Air,3.18,51,0-100,5.0,0.0833,0.0624
5,0,Celite cylinder,Air,3.18/12.7,127,70-3500,10.4,0.136,0.025-0.10
4,1,"Silica-alumina, alumina, glass, cylinder, tablet, sphere","Air, natural gas",4.9/25.4,51/102/153,0-140,10.0,0.10,0.32-0.37
4,1,"Glass, metal sphere","Air, H2, CO",2.46/7.42,,,,0.090,0.246-0.0742
1,0,Catalyst,Air,10,100,0.1-3000,,0.110,~0.10
1,1,Raschig ring,Air,15x15,,,,0.226,0.15
15,1,"Broken solid marble, etc.",Air,2.85/16.5,52/154,30-630,10,0.13,0.03-0.17
15,0,Raschig ring (Fig. 7),Air,6.74,52,60-650,3,0.24,0.10
15,0,Raschig ring (Fig. 7),Air,,,60-650,3,0.17,0.15
15,1,Raschig ring (Fig. 7),Air,,,60-650,3,0.12,0.20
15,1,Berl saddle (Fig. 7),Air,12.5,100,70-970,6,0.165,0.081
15,1,Berl saddle (Fig. 7),Air,,,70-970,6,0.138,0.162
15,1,Berl saddle (Fig. 7),Air,,,70-970,6,0.109,0.250
15,0,Catalyst cylinder annular space,Air,3.6/6.0/10.5,154/48.5;100/34;154/27,20-700,5.5,0.10,0.02-0.105
21,0,Catalyst cylinder,Air,3.18,50.8,0-400,3.4,0.14,0.0625
21,0,Catalyst cylinder,Air,4.76,50.8,0-400,4.6,0.12,0.0935
21,0,Catalyst cylinder,Air,6.36,50.8,0-400,4.6,0.10,0.125
19,0,Glass sphere,Air,13.3/18.2,205.0,100-2000,25.6,0.102,0.065-0.088
29,0,"Iron sphere, glass sphere, insulating firebrick sphere",Air,11.0/6.0/10.0,52.9,50-400,,0.12,0.114-0.208
