# Yagi & Kunii, AIChE J 3(3) 373-381 (1957), Table 3, journal page 377.
# "Comparison of calculated values of ke0/kg with experimental data previously reported."
# Read from a page render; re-read at the scan's native 300 ppi, unchanged. Blank exp_ke0_over_kg = no value printed on that row.
# Flags: est_* = 1 where the paper prints '*' (estimated value);
#        exp_extrapolated = 1 where the paper prints a dagger (extrapolated, N_ReM -> 0).
reference,solid,fluid,Dp_mm,exp_ke0_over_kg,exp_extrapolated,temp_C,est_temp,eps,est_eps,ks_kcal_m_hr_C,est_ks,calcd_ke0_over_kg
13,Glass,He,,2.60,0,10,0,0.35,0,0.60,1,2.42
13,Glass,Air,,6.62,0,10,0,0.35,0,0.60,1,9.30
13,Diphenylamine,H2,,1.00,0,10,0,0.513,0,0.189,0,0.48
13,Diphenylamine,Air,,3.30,0,10,0,0.513,0,0.189,0,2.68
24,Coal,Air,,5.23,0,40,1,0.437,0,0.60,1,6.15
24,Coal,H2,,1.53,0,40,1,0.437,0,0.60,1,1.46
9,Catalyst cylinder,Air,3.6,5.40,1,130,0,0.40,0,0.30,1,5.48
9,Catalyst cylinder,Air,6.0,5.98,1,130,0,0.40,0,0.30,1,5.98
9,Catalyst cylinder,Air,10.5,6.20,1,130,0,0.40,0,0.30,1,6.00
14,Glass sphere,Air,4.06,12.0,0,60,1,0.40,0,1.0,1,11.0
3,Alumina pellet,Air,3.18,5.0,1,300,0,0.40,0,0.30,0,5.04
18,Sand,Air,0.64,9.8,0,140,0,0.39,0,1.6,1,9.7
18,Sand,Air,0.13,9.8,0,140,0,0.37,0,1.6,1,10.9
18,Sand,Air,0.73,7.7,0,140,0,0.41,0,1.6,1,8.95
4,Hydrated alumina,Air,8,10,1,50,1,0.40,1,0.92,0,11.3
4,"Alumina, sphere, pellet",Air,12,,0,50,1,0.40,1,2.68,0,15.2
5,Celite cylinder,Air,3.18,11.4,1,80,1,0.40,1,0.30,1,5.5
5,Celite cylinder,Air,12.7,,0,80,1,0.40,1,0.30,1,8.0
15,Broken solid,Air,2.85,10,1,140,0,0.45,0,2.2,1,8.7
15,Broken solid,Air,16.5,,0,140,0,0.45,0,2.2,1,13.8
