# Yagi & Kunii, AIChE J 3(3) 373-381 (1957), Table 4, journal page 377.
# "Characteristics of solids used for experiments on effective thermal conductivities
#  with motionless air" -- the AUTHORS' OWN packings, and every input Eq. (15) needs.
# Read from a page render; re-read at the scan's native 300 ppi, unchanged.
# ks_note carries the paper's qualifier on ks; beta_expr / gamma_expr carry the printed
# expression, beta / gamma its float value. The iron-sphere row prints TWO beta values
# ("1.0 and 0.9"), i.e. two calculated curves; beta = 1.0 here and beta_alt = 0.9.
solid,nominal_diam,eps,Dp_mm,Dp_note,ks_kcal_m_hr_C,ks_note,ks_over_kg_printed,phi,beta_expr,beta,beta_alt,gamma_expr,gamma
Iron sphere,11.0,0.40,11.0,,45,const.,,0.034,1.0 and 0.9,1.0,0.9,1,1.0
Porcelain cylinder,9.6x8.5,0.43,9.05,mean value,1.4,const.,,0.040,1,1.0,,1,1.0
Porcelain granule,6.0,0.43,6.0,,1.4,const.,,0.040,1,1.0,,1,1.0
Cement clinker,5.0,0.50,5.0,,1.7,const.,,0.050,1,1.0,,1,1.0
Cement clinker,3.6,0.50,3.6,,1.7,const.,,0.050,1,1.0,,1,1.0
Cement clinker,2.6,0.50,2.6,,1.7,const.,,0.050,1,1.0,,1,1.0
Cement clinker,0.35~0.01,0.54,0.18,,1.7,const.,,0.060,1,1.0,,1,1.0
"Insulating fire brick, cube",10,0.40,10.0,,0.20,at 400 deg C const.,4.48,0.034,1,1.0,,1,1.0
"Insulating fire brick, sphere",5.0,0.50,5.0,,0.20,at 400 deg C const.,4.48,0.050,1,1.0,,1,1.0
"Raschig ring, regularly packed",9x9 thickness 1.2,0.67,9.0,,1.40,const.,,0.034,1/sqrt(3),0.5773502691896258,,1.2/9,0.13333333333333333
"Raschig ring, randomly packed",9x9 thickness 1.2,0.72,9.0,,1.40,const.,,0.034,1x(1/3)+(1/sqrt(3))x(2/3),0.7182335127930838,,1.2/9,0.13333333333333333
