liquid,tube_length_cm,density_g_cm3,specific_heat,pressure_head,T_in_C,T_out_C,T_bath_C,mass_flow_g_min,k_over_c_printed,T_mean_C_printed,k_printed,calibration_row
water,9.8,1,,II,27.02,19.88,9.5,23.8872,0.0923,23.45,0.0924,0
water,9.8,1,,I,26.88,21.32,9.58,33.041,0.0882,24.1,0.0883,0
water,9.8,1,,I,27.33,21.7,9.58,34.7185,0.0909,24.52,0.091,0
water,9.8,1,,I,29.97,23.42,9.58,33.8852,0.0905,26.69,0.0906,0
water,9.8,1,,II,31.53,22.33,9.4,23.9609,0.0955,26.94,0.0957,0
water,9.8,1,,I,34.72,26.53,9.58,35.237,0.0962,30.62,0.0964,0
water,9.8,1,,III,42.92,18.59,9.43,8.632,0.0924,30.75,0.0926,0
water,9.8,1,,I,36.12,27.58,9.6,35.222,0.0944,31.85,0.0946,0
water,9.8,1,,I,36.42,27.85,9.58,36.443,0.0965,32.13,0.0967,0
water,9.8,1,,II,40.23,27.36,9.5,25.1419,0.1015,33.8,0.1017,0
water,9.8,1,,II,39.84,27.83,9.58,26.129,0.0969,33.83,0.0971,0
water,9.8,1,,I,39.24,29.2,9.6,35.6233,0.0968,34.22,0.097,0
water,9.8,1,,II,41.72,29.23,9.43,26.4034,0.094,35.48,0.0943,0
cuso4,8.9,1.03,0.95,I,29.8,23.84,7.2,45.95,0.0987,26.82,0.0938,0
cuso4,8.9,1.03,0.95,II,32,24.4,7.2,35.089,0.0956,28.2,0.0907,0
cuso4,8.9,1.03,0.95,II,32.2,24.45,7.2,35.3975,0.0982,28.32,0.0933,0
cuso4,8.9,1.03,0.95,II,33.37,25.26,7.2,34.9341,0.0969,29.02,0.092,1
cuso4,8.9,1.03,0.95,III,37.76,20.87,7.2,13.8571,0.0969,29.18,0.092,1
cuso4,8.9,1.03,0.95,I,32.76,26.13,7.2,46.2492,0.0969,29.4,0.092,1
cuso4,8.9,1.03,0.95,III,38.5,20.6,7,14.411,0.1002,29.55,0.0952,0
cuso4,8.9,1.03,0.95,II,34.5,26,7.2,34.44,0.0962,30.25,0.0913,0
cuso4,8.9,1.03,0.95,II,34.8,26.2,7.2,34.81,0.0974,30.5,0.0925,0
cuso4,8.9,1.03,0.95,I,34.3,27.4,7.2,46.1735,0.094,30.85,0.0891,0
cuso4,8.9,1.03,0.95,I,34.7,27.6,7.2,46.632,0.097,31.15,0.0921,0
alcohol,9.8,0.815,0.62,I,26.6,18.8,9.2,15.7295,0.07,22.7,0.0434,0
alcohol,9.8,0.815,0.62,I,30.02,20.88,9.2,16.173,0.0697,25.45,0.0432,0
alcohol,9.8,0.815,0.62,III,41.57,10.54,7.9,3.179,0.0693,26,0.043,0
alcohol,9.8,0.815,0.62,II,34.52,20.48,8,11.1685,0.0681,27.5,0.0422,0
alcohol,9.8,0.815,0.62,I,33.02,22.4,9.2,15.9455,0.0704,27.71,0.0436,0
alcohol,9.8,0.815,0.62,I,35.13,23.49,9.2,16.0945,0.0719,29.31,0.0445,0
alcohol,9.8,0.815,0.62,I,39.12,26.58,9.2,17.3435,0.0694,32.85,0.043,0
nacl,9.8,1.037,0.96,I,26.92,20.65,8.98,33.3013,0.1005,23.78,0.0966,0
nacl,9.8,1.037,0.96,I,34.06,25.58,8.4,35.338,0.1009,29.82,0.097,0
nacl,9.8,1.037,0.96,I,34.06,25.58,8.6,34.955,0.0988,29.82,0.0948,0
nacl,9.8,1.037,0.96,II,35.47,24.58,8.6,25.096,0.0985,30.02,0.0946,0
nacl,9.8,1.037,0.96,II,37.24,25.58,8.8,25.3632,0.0991,31.41,0.0952,0
nacl,9.8,1.037,0.96,I,36.27,26.8,8.6,35.212,0.104,31.53,0.1005,0
nacl,9.8,1.037,0.96,I,38.22,28.68,9,36.5595,0.1,33.45,0.0961,0
znso4,9.8,1.033,0.94,I,26.14,20.61,9.6,33.7622,0.096,23.27,0.09,0
znso4,9.8,1.033,0.94,I,27.08,21.18,9.7,32.7445,0.0963,24.23,0.0903,0
znso4,9.8,1.033,0.94,I,29.96,23.08,9.6,34.3985,0.0992,26.52,0.0932,0
znso4,9.8,1.033,0.94,I,30.66,23.88,9.7,34.9244,0.0943,27.27,0.0883,0
znso4,9.8,1.033,0.94,I,32.72,25.03,9.6,35.5059,0.1,28.87,0.094,0
znso4,9.8,1.033,0.94,I,36.02,27.43,9.6,36.4075,0.099,31.22,0.093,0
znso4,9.8,1.033,0.94,I,37.04,28.33,9.7,36.6272,0.0965,32.68,0.0905,0
znso4,9.8,1.033,0.94,I,39.47,29.68,9.6,37.243,0.1025,34.57,0.0965,0
turpentine,9.8,0.872,0.45,I,33.82,24.13,9.2,19.5123,0.0712,28.98,0.0307,0
turpentine,9.8,0.872,0.45,II,36.04,22.82,9.2,13.597,0.0709,29.43,0.0306,0
turpentine,9.8,0.872,0.45,I,35.22,24.9,9.2,19.3055,0.0713,30.06,0.0308,0
turpentine,9.8,0.872,0.45,II,38.1,23.84,9.2,13.569,0.0711,30.97,0.0307,0
turpentine,9.8,0.872,0.45,I,39.82,27.68,9.2,19.2695,0.0711,33.75,0.0307,0
