quantity,value,unit,source,note
bessel_zero_1,2.404928,-,p. 83,roots of J0 = 0 for the plug-flow case; sigma_1
bessel_zero_2,5.52024,-,p. 83,sigma_2
bessel_zero_3,8.65387,-,p. 83,sigma_3
bessel_zero_4,11.79156,-,p. 83,sigma_4
brass_corrected_root,2.401,-,p. 86,gamma_1 after the brass-wall correction; he calls the difference from 2.405 negligible
brass_uncorrected_root,2.405,-,p. 86,"the sigma_1 above, quoted to 4 figures"
series_coeff_mu2,0.1875,-,p. 87,"coefficient of mu^2 in V(mu)=0, sign alternating from +1"
series_coeff_mu4,0.007921,-,p. 87,coefficient of mu^4
series_coeff_mu6,0.00014404,-,p. 87,coefficient of mu^6
series_coeff_mu8,0.0000014592,-,p. 87,coefficient of mu^8
series_coeff_mu10,0.0000000034938,-,p. 87,coefficient of mu^10
graetz_root_mu1,2.7043,-,p. 87,"first root of V(mu)=0, the Poiseuille case"
graetz_root_mu2,6.50,-,p. 87,"second root, printed to three figures only"
log_p1,9.96030,-,p. 90,common logarithm + 10 of the fitted first amplitude
log_p2,8.09658,-,p. 90,common logarithm + 10 of the fitted second amplitude
p1_working_formula,0.91264,-,p. 90,first amplitude as printed in the working formula for k
p2_working_formula,0.01249,-,p. 90,second amplitude as printed in the working formula
mu1_working_formula,2.4013,-,p. 90,as printed inside the exponent; inconsistent with the 2.7043 on p. 87 - see the sidecar
mu2_working_formula,6.5,-,p. 90,as printed inside the second exponent
second_term_percent,3,%,p. 89,'Das zweite Glied macht noch etwa 3 Proc. in dem Werthe von k aus'
a2_assumed_for_B,0.09,cm2/min,p. 89,"the a^2 assumed when computing B1, B2, B3 in the first iteration"
tube_diameter_cm,0.06,cm,p. 82,"'circa 0,06 cm'; he notes it drops out of the calculation"
head_upper_cm,71,cm,p. 82,height of the upper outflow above the H outflow level
head_middle_cm,50,cm,p. 82,height of the middle outflow
head_lower_cm,17,cm,p. 82,height of the lower outflow
thermometer_division_inlet_outlet,0.1,K,p. 82,E1 and E2 divided in 1/10 degree
thermometer_division_bath,0.2,K,p. 82,E3 divided in 1/5 degree
k_water_graetz_30C,0.0945,g-cal/(cm min K),p. 93,"summary table, his own value"
k_water_weber_4C,0.0745,g-cal/(cm min K),p. 93,"summary table, Weber's value as Graetz quotes it"
k_cuso4_graetz_30C,0.0922,g-cal/(cm min K),p. 93,summary table
k_alcohol_graetz_30C,0.0433,g-cal/(cm min K),p. 93,summary table
k_znso4_graetz_30C,0.0920,g-cal/(cm min K),p. 93,summary table
k_nacl_graetz_30C,0.0964,g-cal/(cm min K),p. 93,summary table
k_turpentine_graetz_30C,0.0307,g-cal/(cm min K),p. 93,summary table
k_water_lorberg_23C,0.09108,g-cal/(cm min K),p. 80,"Lorberg's recomputation of Weber's water runs, as Graetz quotes it"
k_water_lorberg_carried_30C,0.0940,g-cal/(cm min K),p. 93,"Weber's data carried to 30 C by Lorberg's temperature coefficient: 'wuerde sich ... ergeben 0,0940 bei 30 Grad, was mit dem von mir bestimmten Werth gut uebereinstimmt'"
k_water_weber_23C,0.0857,g-cal/(cm min K),p. 80,"Weber's own value at 23 C, as Graetz quotes it"
