# Every number needed by, and printed as the answer to, the two worked problems of
# Bird, Stewart & Lightfoot, "Transport Phenomena", 2nd edn (Wiley, 2002) that use
# the penetration result of section 18.5.
#
#   18A.4  "Chlorine absorption in a falling film" (book p. 569, statement,
#          printed inputs, Answer AND Fig. 18A.4 all on that one page) - uses
#          Eq. 18.5-18.
#   18A.7  "Mass flux from a circulating bubble" (book p. 570) - uses Eq. 18.5-20
#          in part (a) and Hammerton & Garner's MEASURED coefficient in part (b).
#
# Every value read off a native-resolution render (pdfimages -list reports JBIG2
# bilevel at 300 x 300 ppi, so pdftoppm -r 300), cropped per numeric. The ABBYY
# text layer of this scan destroys equations and vector notation and is not used
# for any digit here.  PDF page = book page + 16 in this part of the body.
#
# role:
#   input          = printed in the problem statement or read off its figure
#   printed_answer = the value BSL prints under "Answer(s):"
#   measurement    = an experimental value BSL quotes from another paper
#   constant       = a physical constant taken from BSL's own Table E.1
id,problem,quantity,value,unit,book_page,role,note
film_R,18A.4,inside radius of the wetted-wall column,1.4,cm,569,input,"printed as R = 1.4 cm on Fig. 18A.4"
film_L,18A.4,wetted length of the column,13,cm,569,input,"printed as L = 13 cm on Fig. 18A.4"
film_v_avg,18A.4,average velocity of the water film,17.7,cm/s,569,input,"""water, which is moving with an average velocity of 17.7 cm/s"""
film_D,18A.4,liquid-phase diffusivity of the chlorine-water system,1.26e-5,cm2/s,569,input,"experimental value at 16 C"
film_solubility,18A.4,saturation concentration of chlorine in water,0.823,g Cl2 per 100 g water,569,input,"experimental value at 16 C"
film_T,18A.4,temperature,16,degC,569,input,"""these are the experimental values at 16 C"""
film_WA_printed,18A.4,absorption rate,0.273,g-mol/hr,569,printed_answer,"""Answer: 0.273 g-moles/hr"""
bub_D_bubble,18A.7,bubble diameter,0.5,cm,570,input,"""a carbon dioxide bubble 0.5 cm in diameter"""
bub_DAB,18A.7,liquid-phase diffusivity of CO2 in water,1.46e-5,cm2/s,570,input,"printed with footnote 3 (Tammann & Jessen 1929; Garner & Hammerton 1954)"
bub_cA0,18A.7,solubility of CO2 in water at 18 C and 1 atm,0.041,g-mol/liter,570,input,"same footnote"
bub_vt,18A.7,terminal rise velocity of the bubble,22,cm/s,570,input,"printed as v_t = 22 cm/s"
bub_T,18A.7,temperature,18,degC,570,input,"""through pure water (component B) at 18 C"""
bub_P,18A.7,pressure,1,atm,570,input,"""and at a pressure of 1 atm"""
bub_kc_measured,18A.7,surface-averaged mass-transfer coefficient measured by Hammerton & Garner,117,cm/hr,570,measurement,"""the experimental results of Hammerton and Garner, who obtained a surface-averaged k_c of 117 cm/hr (see Eq. 18.1-2)""; footnote 4 gives D. Hammerton and F. H. Garner, Trans. Inst. Chem. Engrs. (London), 32, S18-S24 (1954)"
bub_Na_printed_a,18A.7,molar absorption flux from part (a),1.17e-6,g-mol/(cm2 s),570,printed_answer,"""Answers: (a) 1.17 x 10^-6 g-mol/cm^2 s"""
bub_Na_printed_b,18A.7,molar absorption flux from part (b),1.33e-6,g-mol/(cm2 s),570,printed_answer,"""(b) 1.33 x 10^-6 g-mol/cm^2 s"""
M_Cl2,18A.4,molecular weight of Cl2,70.905,g/g-mol,864,constant,"BSL Table E.1, ""Lennard-Jones (6-12) Potential Parameters and Critical Properties"", row Cl2, column ""Molecular Weight M"""
