# Every numeric statement Danckwerts (1951) makes in the running text of
# "Significance of Liquid-Film Coefficients in Gas Absorption", transcribed from
# renders of the ACS scan at its native 300 ppi. The paper has no tables, no figures.
# See the .meta.yaml sidecar for provenance and for the two transcription traps.
id,journal_page,quantity,printed_value,units,relation,printed_text,kind
D_water,1461,assumed liquid diffusivity,1e-5,cm2/s,,"taking D ~ 10^-5 sq. cm. per second",assumption
layer_1h,1461,equivalent saturated layer absorbed by stagnant water in 1 hour,2,mm,Q = 2 (c*-c0) sqrt(D theta / pi),"Stagnant water will normally absorb in 1 hour a quantity of gas equivalent to a saturated layer about 2 mm. thick",stated_result
depth_fraction,1461,fraction of the surface concentration rise defining the depth of penetration,0.01,-,erfc(x / (2 sqrt(D theta))),"the depth at which the rise in concentration is 1/100",definition
depth_coefficient,1461,coefficient in depth of penetration = coef * sqrt(D theta),3.6,-,coef = 2 erfcinv(0.01),"it will be equal to 3.6 sqrt(D theta) (see Equation 27)",stated_result
depth_1h,1461,depth of penetration at 1 hour,6,mm,3.6 sqrt(D theta),"with a value of about 6 mm. at 1 hour",stated_result
L_criterion,1462,largest L for which the falling-film and stagnant uptakes differ by less than 5 per cent,0.1,-,L = l D mu / (g rho d^4),"The difference between the quantities absorbed in the two cases amounts to less than 5%, provided L < 0.1",stated_result
L_example_d,1462,liquid layer thickness in the worked L example,0.01,cm,,"d will be given the rather low value of 0.01 cm.",input
L_example_l,1462,distance travelled by the surface element in the worked L example,5,cm,,"with l = 5 cm.",input
L_example_D,1462,diffusivity in the worked L example,1e-5,cm2/s,,"and D = 10^-5 sq. cm. per second",input
L_example,1462,value of L in the worked example for water,0.05,-,L = l D mu / (g rho d^4),"L is then about 0.05 (for water)",stated_result
sthetac_10pct,1464,dimensionless age cut-off above which the truncated age average is within 10 per cent of sqrt(Ds),1.5,-,erf(sqrt(s theta_c)),"which is within 10% of sqrt(Ds) if s theta_c > 1.5",stated_result
s_packed_tower,1464,order of magnitude of the surface renewal rate inferred from published kL for CO2 and water in packed towers,5,1/s,s = kL^2 / D,"Tentative values of s ... are of the order of magnitude 5 sec.^-1",stated_result
age_cut_0p33,1464,age beyond which less than one tenth of the observed absorption rate originates,0.33,s,1 - erf(sqrt(s theta)),"less than one tenth of the observed absorption rate is due to surfaces older than 0.33 second",stated_result
so_error_bound,1466,error bound on the pseudo-first-order approximation to the second-order problem when Eq. 36 holds,10,percent,,"the following approximation can be used with an error of less than 10%",stated_result
so_ratio_threshold,1466,bulk reagent to saturation concentration ratio required by Eq. 36 at r'c0'/s = 1,50,-,Eq. 36,"It is then found that c0'/c* > 50 if Equation 36 is to be complied with",stated_result
so_psi_tolerance,1466,value of r' c* theta below which psi1 and psi2 differ by less than 5 per cent,0.05,-,,"If r'c*theta is taken to be 0.05 ... the difference between psi2 and psi1 is less than 5%",stated_result
