col_px,row_px,run_px,Re,Sh_minus_2_over_Sc13
318.0,1044.0,1,2.7033,1.9941
319.0,1043.5,2,2.7188,2.0009
320.0,1043.5,2,2.7344,2.001
321.0,1042.5,2,2.7501,2.0148
322.0,1042.5,2,2.7658,2.0148
323.0,1041.5,2,2.7817,2.0287
324.0,1040.5,2,2.7977,2.0427
325.0,1040.5,2,2.8137,2.0427
326.0,1039.5,2,2.8298,2.0568
327.0,1039.5,2,2.8461,2.0568
328.0,1038.5,2,2.8624,2.071
329.0,1037.5,2,2.8788,2.0853
330.0,1037.5,2,2.8953,2.0853
331.0,1036.5,2,2.9119,2.0997
332.0,1036.5,2,2.9286,2.0997
333.0,1035.5,2,2.9454,2.1142
334.0,1035.0,3,2.9623,2.1215
335.0,1034.5,2,2.9793,2.1288
336.0,1033.5,2,2.9964,2.1435
337.0,1033.5,2,3.0136,2.1435
338.0,1032.5,2,3.0308,2.1583
339.0,1032.5,2,3.0482,2.1584
340.0,1031.5,2,3.0657,2.1732
341.0,1031.5,2,3.0833,2.1733
342.0,1030.5,2,3.101,2.1882
343.0,1029.5,2,3.1188,2.2033
344.0,1029.5,2,3.1366,2.2034
345.0,1028.5,2,3.1546,2.2186
346.0,1028.5,2,3.1727,2.2186
347.0,1027.5,2,3.1909,2.2339
348.0,1026.5,2,3.2092,2.2493
349.0,1026.5,2,3.2276,2.2493
350.0,1025.5,2,3.2461,2.2648
351.0,1025.5,2,3.2647,2.2649
352.0,1024.5,2,3.2835,2.2805
353.0,1024.5,2,3.3023,2.2805
354.0,1023.5,2,3.3212,2.2962
355.0,1023.0,3,3.3403,2.3042
356.0,1022.5,2,3.3594,2.3121
357.0,1021.5,2,3.3787,2.328
358.0,1021.5,2,3.3981,2.3281
359.0,1020.5,2,3.4176,2.3441
360.0,1020.5,2,3.4372,2.3442
361.0,1019.5,2,3.4569,2.3603
362.0,1018.5,2,3.4767,2.3766
363.0,1018.5,2,3.4966,2.3767
372.0,1017.0,3,3.6813,2.4017
373.0,1016.5,2,3.7024,2.4099
374.0,1016.0,3,3.7237,2.4183
375.0,1015.0,3,3.745,2.4349
376.0,1014.5,2,3.7665,2.4433
377.0,1014.0,3,3.7881,2.4518
378.0,1013.5,2,3.8098,2.4602
379.0,1013.0,3,3.8317,2.4687
380.0,1012.0,3,3.8536,2.4857
381.0,1012.0,3,3.8757,2.4858
382.0,1011.0,3,3.898,2.5029
383.0,1011.0,3,3.9203,2.5029
384.0,1010.0,3,3.9428,2.5202
385.0,1010.0,3,3.9654,2.5202
386.0,1009.0,3,3.9881,2.5376
387.0,1009.0,3,4.011,2.5377
388.0,1008.0,3,4.034,2.5551
389.0,1007.5,4,4.0571,2.564
390.0,1007.5,4,4.0804,2.564
391.0,1007.0,5,4.1038,2.5729
392.0,1007.0,5,4.1274,2.5729
393.0,1006.0,5,4.151,2.5906
394.0,1005.5,6,4.1748,2.5996
395.0,1005.0,5,4.1988,2.6085
396.0,1004.5,6,4.2228,2.6175
397.0,1004.0,5,4.2471,2.6266
398.0,1003.5,6,4.2714,2.6356
399.0,1003.0,5,4.2959,2.6447
400.0,1002.5,6,4.3206,2.6538
401.0,1001.5,6,4.3453,2.6721
402.0,1001.0,5,4.3702,2.6813
403.0,1000.5,6,4.3953,2.6906
404.0,1000.0,5,4.4205,2.6999
405.0,999.5,6,4.4459,2.7092
406.0,999.0,5,4.4714,2.7185
407.0,998.0,5,4.497,2.7373
408.0,997.5,6,4.5228,2.7467
409.0,997.0,5,4.5487,2.7562
410.0,996.5,6,4.5748,2.7657
411.0,996.0,5,4.6011,2.7752
412.0,995.5,6,4.6274,2.7848
413.0,994.5,6,4.654,2.804
414.0,994.0,5,4.6807,2.8137
415.0,993.5,6,4.7075,2.8234
416.0,993.0,5,4.7345,2.8331
417.0,992.5,6,4.7617,2.8429
418.0,992.0,5,4.789,2.8527
419.0,991.5,6,4.8164,2.8625
420.0,991.0,5,4.8441,2.8724
421.0,990.0,5,4.8718,2.8922
422.0,990.0,5,4.8998,2.8922
423.0,989.0,5,4.9279,2.9122
424.0,988.5,6,4.9561,2.9222
425.0,988.0,5,4.9846,2.9323
435.0,982.5,6,5.2779,3.0454
437.0,981.5,6,5.3386,3.0665
438.0,980.5,6,5.3692,3.0876
439.0,980.5,6,5.4,3.0876
440.0,979.5,6,5.431,3.1089
441.0,979.5,6,5.4621,3.109
442.0,978.5,6,5.4934,3.1304
443.0,978.5,6,5.525,3.1305
444.0,978.0,5,5.5566,3.1413
445.0,977.5,4,5.5885,3.1521
446.0,977.5,4,5.6206,3.1522
447.0,976.5,4,5.6528,3.1739
484.0,958.5,6,6.9848,3.5928
485.0,958.5,6,7.0248,3.5929
486.0,958.5,6,7.0651,3.5929
487.0,958.5,6,7.1056,3.593
488.0,958.5,6,7.1464,3.5931
643.0,882.0,5,17.339,6.084
644.0,881.5,4,17.4384,6.105
645.0,881.5,4,17.5384,6.1051
646.0,881.5,4,17.639,6.1053
819.0,809.0,3,47.4367,10.0601
820.0,808.0,3,47.7088,10.1293
821.0,808.0,3,47.9824,10.1295
822.0,807.0,3,48.2575,10.1992
823.0,806.5,4,48.5343,10.2343
824.0,806.5,4,48.8126,10.2346
825.0,806.0,5,49.0925,10.2698
872.0,765.5,2,64.2301,13.5593
873.0,765.5,2,64.5985,13.5595
874.0,764.5,2,64.9689,13.6528
875.0,764.0,3,65.3415,13.6998
876.0,763.5,2,65.7162,13.747
877.0,762.5,2,66.0931,13.8416
878.0,762.5,2,66.4721,13.8419
879.0,761.5,2,66.8533,13.9371
880.0,761.0,3,67.2367,13.9851
881.0,760.5,2,67.6223,14.0333
882.0,759.5,2,68.0101,14.1299
883.0,759.5,2,68.4001,14.1302
884.0,758.5,2,68.7924,14.2274
885.0,758.5,2,69.1869,14.2277
886.0,758.0,1,69.5837,14.2767
923.0,737.0,1,85.9797,16.4929
924.0,737.0,1,86.4728,16.4933
925.0,736.5,2,86.9687,16.5501
926.0,736.0,1,87.4674,16.6071
927.0,736.0,1,87.969,16.6074
928.0,735.0,1,88.4735,16.7217
929.0,735.0,1,88.9809,16.722
930.0,734.5,2,89.4912,16.7796
955.0,726.5,4,103.2445,17.7316
956.0,726.0,3,103.8366,17.7926
957.0,725.5,2,104.4321,17.8539
