band_hw,Re,Sh_minus_2_over_Sc13,col_px,row_px,shape_fitted,fit_score
0,2.8606,2.073,327.89,1038.36,tri_left,0.682
0,3.0309,3.1366,338.0,977.87,tri_down,0.77
0,3.0722,2.8405,340.37,992.37,tri_up,0.84
0,3.0981,2.4917,341.84,1011.52,hexag,0.786
0,3.2658,3.3635,351.06,967.7,tri_up,0.768
0,3.39,2.5677,357.58,1007.18,tri_right,0.459
0,3.539,2.4488,365.1,1014.13,diamond,0.583
0,3.5657,2.8698,366.42,990.95,tri_up,0.599
0,3.6822,3.4736,372.04,963.07,circle,0.903
0,3.7458,2.7354,375.04,998.0,circle,0.617
0,3.9183,2.5201,382.91,1010.0,tri_left,0.584
0,3.9972,3.7742,386.4,950.98,circle,0.87
0,4.0758,5.0304,389.8,909.0,square,0.647
0,4.0894,4.3622,390.38,929.83,circle,0.745
0,4.0921,2.8775,390.5,990.64,hexag,0.615
0,4.2598,3.1774,397.52,976.18,hexag,0.777
0,4.2728,2.5397,398.06,1008.92,wide_dia,0.788
0,4.3594,4.7141,401.57,918.53,wide_dia,0.607
0,4.5627,5.284,409.54,901.87,circle,0.762
0,4.7979,3.2336,418.33,973.68,tri_left,0.677
0,4.8277,4.1646,419.41,936.7,square,0.722
0,5.0745,2.2254,428.13,1028.33,hexag,0.833
0,5.0861,3.2632,428.53,972.38,circle,0.79
0,5.1931,2.4953,432.17,1011.61,hexag,0.818
0,5.6522,4.2352,446.98,934.33,circle,0.796
0,5.9379,3.3859,455.6,967.08,circle,0.911
0,6.6191,3.6243,474.6,957.19,tri_up,0.946
0,6.9354,2.8662,482.76,991.52,circle,0.959
0,7.1939,3.9958,489.16,942.98,circle,0.797
0,7.335,3.5001,492.56,962.35,tri_right,1.0
0,7.757,5.3251,502.34,901.03,circle,0.798
0,7.987,3.3663,507.45,968.09,diamond,0.689
0,8.033,4.5172,508.45,925.11,tri_up,0.715
0,8.1121,7.0874,510.17,859.27,hexag,0.877
0,8.2657,3.6255,513.45,957.27,wide_dia,0.824
0,8.3008,5.66,514.19,892.16,circle,0.685
0,8.3305,4.0578,514.81,940.81,hexag,0.868
0,8.9233,3.4333,526.83,965.28,circle,0.823
0,8.9274,5.9915,526.91,883.88,tri_up,0.804
0,9.0649,3.7656,529.59,951.78,tri_down,0.771
0,9.2954,4.1873,533.98,936.28,hexag,0.885
0,9.6057,4.8424,539.72,915.05,wide_dia,0.911
0,10.0311,4.3919,547.3,929.35,tri_left,0.827
0,10.5648,5.5392,556.36,895.45,circle,0.818
0,10.5717,4.8496,556.48,914.88,square,0.859
0,11.5504,6.9068,571.96,863.23,square,0.842
0,12.5696,4.4412,586.75,927.84,hexag,0.893
0,12.7733,6.65,589.56,868.83,wide_dia,0.911
0,12.9947,6.0989,592.56,881.49,tri_down,0.931
0,13.1245,5.1866,594.3,905.18,tri_up,0.954
0,13.8064,4.5986,603.16,922.8,hexag,0.891
0,14.134,6.2383,607.26,878.23,tri_right,0.861
0,14.1471,5.7104,607.42,891.16,tri_down,0.914
0,14.4395,5.1595,611.0,906.0,square,0.918
0,15.4525,5.8263,622.86,888.27,tri_right,0.931
0,15.4698,7.1911,623.05,857.49,hexag,0.925
0,15.731,5.2409,625.98,903.76,tri_right,0.853
0,15.9703,4.4468,628.62,927.79,circle,0.981
0,16.7046,4.9821,636.48,911.2,wide_dia,0.865
0,17.5735,8.7418,645.35,829.01,hexag,0.749
0,17.7064,5.0725,646.67,908.6,tri_right,0.651
0,18.2546,5.7822,652.0,889.47,square,0.689
0,18.3415,7.956,652.83,842.81,circle,0.653
0,18.5071,6.6018,654.4,870.09,wide_dia,0.791
0,19.6838,4.3485,665.18,931.17,hexag,0.922
0,19.7979,8.3186,666.19,836.33,circle,0.697
0,20.1035,7.2855,668.87,855.73,circle,0.886
0,21.7759,7.2189,682.84,857.12,tri_right,0.856
0,22.7476,5.9904,690.48,884.42,hexag,0.723
0,23.3175,6.544,694.81,871.5,wide_dia,0.654
0,24.192,6.1474,701.24,880.67,square,0.548
0,25.3532,7.3548,709.44,854.47,diamond,0.801
0,25.7645,9.1,712.26,823.34,circle,0.775
0,26.2623,6.2289,715.6,878.79,square,0.669
0,26.5316,5.7489,717.39,890.52,diamond,0.727
0,27.3952,7.3807,722.99,854.0,wide_dia,0.763
0,27.4595,6.5824,723.4,870.74,hexag,0.688
0,28.3125,10.3499,728.75,804.57,hexag,0.977
0,28.3384,8.9366,728.91,826.04,hexag,0.778
0,30.5363,8.1576,741.97,839.42,hexag,0.715
0,30.7265,7.6368,743.06,849.07,square,0.743
0,31.9413,10.579,749.84,801.43,circle,0.742
0,32.2731,9.3649,751.65,819.27,square,0.887
0,33.1285,8.6117,756.22,831.54,wide_dia,0.814
0,33.2723,7.9423,756.98,843.38,tri_right,0.556
0,34.1431,7.3418,761.5,854.89,square,0.728
0,35.7348,11.873,769.46,784.62,tri_left,0.575
0,35.8346,10.5397,769.95,802.04,circle,0.668
0,36.0945,8.2122,771.21,838.54,tri_left,0.679
0,36.5047,13.4786,773.19,766.08,circle,0.892
0,36.5845,9.4553,773.57,817.93,tri_left,0.632
0,38.1552,7.872,780.92,844.75,circle,0.785
0,38.8047,11.9767,783.88,783.39,square,0.743
0,40.6557,8.9866,792.02,825.42,circle,0.659
0,41.1321,7.3201,794.06,855.42,tri_up,0.783
0,42.8022,7.8955,801.02,844.38,hexag,0.589
0,42.9355,12.2898,801.57,779.67,tri_up,0.652
0,44.311,8.5782,807.08,832.27,tri_down,0.613
0,45.1023,11.3119,810.18,791.82,tri_up,0.552
0,45.2993,9.6568,810.94,814.96,hexag,0.828
0,46.1218,13.605,814.08,764.84,circle,0.71
0,48.3514,10.416,822.34,803.92,tri_left,0.64
0,49.5378,11.567,826.58,788.61,wide_dia,0.621
0,51.0796,9.9829,831.94,810.17,tri_up,0.671
0,53.1271,10.911,838.81,797.18,hexag,0.65
0,53.5003,9.0739,840.04,824.15,circle,0.761
0,54.0422,13.5832,841.8,765.15,tri_left,0.684
0,54.4768,9.995,843.2,810.02,tri_down,0.614
0,54.9555,11.6576,844.73,787.52,tri_left,0.586
0,56.3412,14.9535,849.08,751.12,tri_down,0.842
0,57.3077,9.1089,852.06,823.63,circle,0.746
0,58.9604,10.5348,857.03,802.37,circle,0.762
0,59.4692,11.8066,858.53,785.71,circle,0.696
0,63.7334,13.6328,870.64,764.7,diamond,0.742
0,64.9201,9.4622,873.87,818.13,square,0.891
0,65.6385,10.7678,875.79,799.23,tri_down,0.752
0,68.8781,12.6219,884.22,776.01,circle,0.472
0,68.9269,14.0436,884.34,760.4,wide_dia,0.76
0,70.6776,16.002,888.73,741.32,hexag,0.933
0,74.1209,12.9444,897.05,772.36,circle,0.586
