quantity,value,role,where_printed
correlation_intercept,2.0,theoretical,"Part I eq. (7) [folio 142] derives N_Nu = N_Nu' = 2.0 at N_Re = 0 from eqs. (1),(2),(5),(6); carried into Part II eqs. (21),(22) [folio 173]"
correlation_coefficient_K,0.60,fitted,"Part II eqs. (21),(22) [folio 173]; the constant K1 = K2 of Part I eqs. (8),(9) [folio 143], fitted to Figs. 6, 7, 9"
exponent_Pr_Sc,0.3333333333333333,assumed,"Part I [folio 143]: ""K1 = K2, p = m = 1/3"" - taken from Froessling's boundary-layer form, not fitted here"
exponent_Re,0.5,assumed,"Part I [folio 143]: ""q = n = 1/2"" - taken from Froessling's boundary-layer form, not fitted here"
exponent_Gr_free_convection,0.25,assumed,"Part I eqs. (10),(11) [folio 143]; Fig. 13 caption [folio 177]"
freeconv_coefficient,0.60,fitted,"Fig. 13 caption [folio 177]: N_Nu = 2.0 + 0.60 N_Pr^(1/3) N_Gr^(1/4)"
aqueous_collapsed_coefficient,0.54,derived,"Part II eq. (24) [folio 179]: h = h_c = (k/D_p)(2.0 + 0.54 N_Re^(1/2)), ""restricted to aqueous drops"" - i.e. 0.60 x Pr^(1/3) with the authors' own Pr for air"
stillair_Nu_measured,2.23,measured,"Part II [folio 173] and Table 1 still-air row [folio 174]; obtained by substituting Fig. 8's D_p^2-vs-time slope into eq. (19)"
stillair_Nuprime_measured,1.79,measured,"Part II [folio 173] and Table 1 still-air row [folio 174]; same route through eq. (20)"
Dv_backed_out_cm2_s,0.204,derived,"Part II [folio 173]: the D_v the still-air data require IF N_Nu' = 2.0 is imposed, at 290 K and 741 mm Hg; the authors call it ""a low value compared with other methods of determination"""
Dv_backout_temperature_K,290.0,measured,"Part II [folio 173], same sentence: D_v = 0.204 sq.cm./sec. ""at an average temperature of 290 deg K."" - the only statement in either part of WHICH average temperature the air properties are evaluated at"
Dv_backout_pressure_mmHg,741.0,measured,"Part II [folio 173], same sentence: ""and a pressure of 741 mm. Hg."" - equal to Table 1's printed still-air pressure"
test80_Nu_apparent,5.83,measured,"Part I [folio 146], typical test No. 80"
test80_correction_sensible_heat,0.028,derived,"Part I [folio 146], eq. (18) correction series"
test80_correction_radiation,0.006,derived,"Part I [folio 146], eq. (18) correction series"
test80_correction_capillary,0.011,derived,"Part I [folio 146], eq. (18) correction series"
test80_Nu_corrected,5.57,derived,"Part I [folio 146]: N_Nu = 5.83(1 - 0.028 - 0.006 - 0.011) = 5.57"
eq19_eq20_prefactor,0.25,derived,"Part I eqs. (19),(20) [folio 146]: N_Nu = -(1/4)(lambda_v rho_l / (dt k))(dD_p^2/dtau)"
k_water_20C_cal_s_cm_C,0.00143,measured,"Part I [folio 146]: thermal conductivity of water at 20 C, stated as ""25 times as great as that of air"""
k_water_over_k_air,25.0,measured,"Part I [folio 146], same sentence"
benzene_melting_point_F,42.0,measured,"Part II Table 4 note [folio 176]"
table6_Re,66.6,measured,"Part II Table 6 header [folio 177]"
table6_Dp_cm,0.106,measured,"Part II Table 6 header [folio 177]"
table3_pressure_mmHg,743.0,measured,"Part II Table 3 footnote [folio 175]: P = 743 mm Hg"
