run,evap_rate_ml_s_x1e5,D_p_cm,air_vel_cm_s,air_temp_C,drop_temp_C,press_mmHg,Nu_apparent,Nu_corrected,Nu_prime,Re,flag
1,0.392,0.0954,246.0,19.9,5.4,743,9.07,8.85,8.67,159.1,ok
2,0.445,0.0954,210.0,24.6,7.6,740,8.68,8.44,8.35,132.4,ok
3,0.416,0.0954,172.3,24.9,7.7,740,8.05,7.80,7.70,108.4,ok
4,0.388,0.0954,153.2,25.3,7.9,740,7.40,7.19,7.08,96.2,ok
5,0.354,0.0954,119.7,25.4,8.0,740,6.74,6.54,6.41,75.1,ok
6,0.320,0.0954,95.2,24.3,7.6,738,6.34,6.16,5.98,59.9,ok
7,0.294,0.0954,76.2,24.4,7.6,738,5.83,5.66,5.47,47.9,ok
8,0.277,0.0954,57.1,24.5,7.7,738,5.49,5.33,5.12,35.9,replicate_pair_8_9
9,0.274,0.0954,57.1,24.5,7.7,738,5.44,5.29,5.07,35.9,replicate_pair_8_9
10,0.227,0.0954,28.5,24.6,8.0,738,4.54,4.41,4.11,17.91,ok
11,0.1890,0.0954,15.13,24.7,8.0,738,3.76,3.66,3.42,9.49,ok
12,0.1839,0.0954,11.78,24.8,8.1,738,3.63,3.53,,7.39,Nu_prime_illegible_ink
13,0.1674,0.0954,8.41,24.9,8.9,738,3.35,3.26,,5.27,Nu_prime_illegible_ink
14,0.1479,0.0954,3.37,25.0,8.5,738,2.97,2.89,,2.11,Nu_prime_illegible_ink
15,0.459,0.0954,286.0,23.2,6.9,746,9.43,9.17,9.07,183.2,ok
16,0.461,0.0954,267.0,23.6,6.1,740,9.34,9.09,9.01,170.0,ok
17,0.433,0.0954,228.0,23.7,7.3,746,8.76,8.51,8.36,145.7,ok
18,0.492,0.0954,306.0,24.0,7.3,746,9.84,9.56,9.48,195.0,ok
19,,0.0954,0.0,24.9,9.1,741,2.23,,1.79,0.0,still_air_row_no_corrected_value_printed
