run,evap_rate_ml_s_x1e5,D_p_cm,air_vel_cm_s,air_temp_C,drop_temp_C,press_mmHg,Nu_apparent,Nu_prime,Re
1,1.51,0.110,5.1,24.4,3.5,733,3.2,3.2,3.7
2,2.10,0.110,15.3,26.4,3.4,732,4.2,4.5,11.1
3,2.54,0.110,28.9,27.1,3.1,736,4.9,5.5,21.0
4,2.65,0.110,74.8,17.9,-1.8,739,6.3,7.8,57.0
5,2.96,0.110,112.4,17.5,-2.3,739,7.1,9.0,86.0
6,3.42,0.110,150.0,17.7,-2.2,739,8.1,10.3,115.0
7,1.82,0.110,18.8,20.7,0.0,733,4.1,4.8,14.1
8,2.02,0.110,28.3,20.4,-0.4,733,4.5,5.4,21.0
9,2.80,0.110,75.5,19.9,-1.0,733,6.3,7.7,56.0
10,3.21,0.110,113.0,20.0,-1.1,733,7.1,8.9,84.0
11,3.60,0.110,151.6,20.2,-1.1,733,7.9,10.0,113.0
12,3.95,0.110,190.0,20.2,-1.0,733,8.7,10.9,142.0
13,4.60,0.110,288.0,20.4,-0.94,733,10.1,12.6,220.0
