# Every numeric statement in Calderbank & Moo-Young, "The continuous phase heat and
# mass-transfer properties of dispersions", Chem. Engng Sci. 16 (1961) 39-54, that
# this page uses. Transcribed from pdftoppm renders at the scan's NATIVE 300 ppi,
# each numeric re-read on a nearest-neighbour zoomed crop at that same resolution.
# The 1961 typesetting uses a mid-dot decimal separator which the CCITT-G4 scan
# often loses; every value below was confirmed at digit scale, not at page scale.
# See the .meta.yaml sidecar for provenance, for the citation trap on this file,
# and for the one printed exponent this page shows to be wrong.
id,journal_page,equation,quantity,printed_value,units,printed_text,kind
c_eq1,42,1,constant of the small-bubble / rigid-sphere correlation,0.31,-,"k_L (N_Sc)^2/3 = h_c/(C_P rho_c) (N_Pr)^2/3 = 0 31 (Delta-rho mu_c g / rho_c^2)^1/3",fitted_constant
c_eq2,42,2,constant of the large-bubble correlation,0.42,-,"k_L (N_Sc)^1/2 = 0 42 (Delta-rho mu_c g / rho_c^2)^1/3",fitted_constant
exp_sc_eq1,42,1,Schmidt-number exponent of the small-bubble correlation,0.6666666666666666,-,"k_L (N_Sc)^2/3",theory_exponent
exp_sc_eq2,42,2,Schmidt-number exponent of the large-bubble correlation,0.5,-,"k_L (N_Sc)^1/2",theory_exponent
sh_floor,44,,natural-convection floor of the more precise form of correlation (1),2.0,-,"N_Sh = N_Nu = 2 0 + 0 31 N_Ra^1/3",theory_limit
c_ra,44,,Rayleigh coefficient of the more precise form of correlation (1),0.31,-,"N_Sh = N_Nu = 2 0 + 0 31 N_Ra^1/3",fitted_constant
d_split,42,,bubble diameter separating "small" from "large",0.25,cm,"bubble swarms of average bubble diameter greater than about 2 1/2 mm ... less than about 2 1/2 mm",stated_boundary
c_eq4,50,4,constant of the turbulence (power-dissipation) correlation,0.13,-,"k_L (N_Sc)^2/3 = h_c/(C_P rho_c)(N_Pr)^2/3 = 0 13 [(P/v) mu_c / rho_c^2]^1/4",fitted_constant
sd_eq4,50,4,standard deviation of the Fig. 6 regression,66,per cent,"with a standard deviation of 66 per cent",stated_scatter
fig6_span,50,,span of the variables covered by Fig. 6,1e7,fold,"extends for a 10^7-fold change in the variables",stated_range
c_chu,50,,constant of Chu's packed-bed pressure-drop correlation,35.4,-,"Delta-p/L = 35 4 (mu_c(1-Sigma)/dG)^0 44 G^2(1-Sigma)/(d rho_c Sigma^3)",quoted_constant
a_chu,50,,exponent of Chu's viscous group,0.44,-,"(mu_c(1-Sigma)/dG)^0 44",quoted_constant
c_eq6,50,6,constant of the packed-bed Sherwood correlation,0.318,-,"k_L d/D_L = 0 318 (mu_c/rho_c D_L)^1/3 (dG/mu_c)^2/3 ((1-Sigma)/Sigma)^1/3",derived_constant
sigma_fallat,51,,voidage used to reduce eq. (6) to eq. (7),0.41,-,"the work of FALLAT covered a range of values of Sigma of 0 40 to 0 42, taking Sigma = 0 41",input
c_eq7,51,7,constant of the reduced packed-bed j-factor,0.69,-,"N_Sh = 0 69 N_Re^2/3 N_Sc^1/3 or j_d = 0 69 N_Re^-1/3",derived_constant
c_fallat,51,,constant of Fallat's measured packed-bed j-factor,0.626,-,"j_d = 0 626 N_Re^-0 322",quoted_constant
e_fallat,51,,exponent of Fallat's measured packed-bed j-factor,-0.322,-,"j_d = 0 626 N_Re^-0 322",quoted_constant
c_eq8,51,8,constant of Fallat's j-factor re-fitted at the -1/3 slope,0.67,-,"j_d = 0 67 N_Re^-1/3",quoted_constant
c_blasius,51,,constant of the Blasius pipe friction equation,0.0396,-,"Delta-p d_p rho_c / (L G^2) = 0 0396 (N_Re)^-1/4",quoted_constant
c_eq9,51,9,constant of the pipe-flow j-factor derived from eq. (4),0.058,-,"j_d,h = 0 058 N_Re^-0 31",derived_constant
e_eq9,51,9,exponent of the pipe-flow j-factor derived from eq. (4),-0.31,-,"j_d,h = 0 058 N_Re^-0 31",derived_constant
c_cc,51,,constant of the Chilton-Colburn pipe correlation,0.023,-,"j_d,h = 0 023 N_Re^-0 20",quoted_constant
e_cc,51,,exponent of the Chilton-Colburn pipe correlation,-0.20,-,"j_d,h = 0 023 N_Re^-0 20",quoted_constant
re_agree_cc,51,,Reynolds number at which the paper says eq. (9) and Chilton-Colburn agree,10000,-,"This equation agrees with equation (9) at a value of N_Re = 10,000",stated_result
maxdev_cc,51,,maximum deviation the paper claims between eq. (9) and Chilton-Colburn,12,per cent,"results in a maximum deviation from it of only +/- 12 per cent over the Reynolds number range 2000-20,000",stated_result
re_lo_cc,51,,lower end of the Reynolds range of that claim,2000,-,"over the Reynolds number range 2000-20,000",stated_range
re_hi_cc,51,,upper end of the Reynolds range of that claim,20000,-,"over the Reynolds number range 2000-20,000",stated_range
c_allen,52,,constant of Allen's free-rise velocity equation,0.25,-,"V = 1/4 (Delta-rho^2 g^2 / (rho_c mu_c))^1/3 d",quoted_constant
c_froessling_allen,52,,constant of correlation (1) obtained from Froessling + Allen,0.28,-,"A constant of 0 28 instead of 0 31, as proposed, is thereby obtained",theory_prediction
c_friedlander,53,,constant of Friedlander's Stokes-region mass-transfer equation,0.89,-,"[N_SL = 0 89 (dV/D_L)^1/3]",quoted_constant
c_stokes_fried,53,,constant of correlation (1) obtained from Friedlander + Stokes,0.34,-,"when a constant of 0 34 is obtained",theory_prediction
c_baird,53,,constant of Baird's theoretical spherical-cap-bubble equation,0.975,-,"K_L = 0 975 D_L^1/2 (g/d)^1/4",quoted_constant
d_baird_max,53,,largest equivalent bubble diameter in Baird's data,5,cm,"spherical cap bubbles of equivalent diameters up to 5 cm",stated_range
