# The LEGEND TABLES printed inside Figures 1-5 of van 't Riet (1979).
# THIS IS PRINTED TEXT, NOT DIGITISED CURVE DATA. Nothing on this page is
# traced, measured or read off an axis; no marker position is extracted. The
# legends are typeset tables that happen to sit inside the plot frames, and they
# are transcribed the same way the running text is - cropped and read at the
# scan's native 300 ppi.
#
# Units as printed in the legend headers:
#   volume_L        VOLUME (m^3 . 10^-3)      -> litres
#   vs_m_s          v_S    (ms^-1 . 10^-2)    -> m/s, i.e. the printed value x 1e-2
#   salt_mol_L      SALT CONTENTS (mol.m^-3 . 10^3) -> mol/L (Figure 4 only)
# `label_says_equation` is the equation number the legend prints for a drawn
# correlation line. It is ONE LOWER than the equation the text says each figure
# shows, in all FOUR figures whose legend cites one (Figures 1-4) - a printed
# defect, recorded not repaired. Figure 5's legend cites NO equation number: it
# names the liquids (a. PURE WATER 0.5 ... f. IONIC SOLUTION 4), so its cells
# in that column are empty.
figure,liquid,entry,author,year,method,volume_L,vs_m_s,salt_mol_L,label_says_equation
1,pure_water,1,Calderbank,1958,light transmission,5100,0.005,,
1,pure_water,2,Valentin,1962,bubble diameter,40,0.005,,
1,pure_water,3,Van 't Riet,1975,gassing out,90,0.005,,
1,pure_water,filled_circle,Robinson,1973,gassing out,2.5,0.0046,,
1,pure_water,open_circle,Hassan,1977,gassing out,2.5,0.0046,,
1,pure_water,filled_triangle,Smith,1977,gassing out,180,0.0044,,
1,pure_water,C,correlation,1979,drawn correlation line,,0.005,,7
2,pure_water,crossed_circle,Kawecki,1967,bubble diameter,5,0.014,,
2,pure_water,X,Van 't Riet,1975,gassing out,90,0.014,,
2,pure_water,up_triangle,Smith,1977,gassing out,180,0.017,,
2,pure_water,down_triangle,Smith,1977,gassing out,4400,0.018,,
2,pure_water,1,Calderbank,1958,light transmission,5100,0.015,,
2,pure_water,2,Valentin,1962,bubble diameter,40,0.015,,
2,pure_water,C,correlation,1979,drawn correlation line,,0.015,,7
3,pure_water,plus,Van 't Riet,1975,gassing out,90,0.036,,
3,pure_water,filled_down_triangle,Smith,1977,gassing out,4400,0.036,,
3,pure_water,1,Calderbank,1958,light transmission,5100,0.040,,
3,pure_water,2,Valentin,1962,bubble diameter,40,0.040,,
3,pure_water,C,correlation,1979,drawn correlation line,,0.040,,7
4,ionic,1,Reith,1968,sulphite,5;70;1360,0.047,0.79,
4,ionic,plus,Lee,1970,light transmission,21,0.006,0.20;0.25,
4,ionic,filled_square,Lee,1970,light transmission,21,0.009,0.20;0.25,
4,ionic,circle_vbar,Robinson,1973,gassing out,2.5,0.0034,0.25,
4,ionic,filled_circle,Robinson,1973,gassing out,2.5,0.0045,0.25,
4,ionic,half_circle,Robinson,1974,gassing out,2.5,0.0046,0.13,
4,ionic,X,Topiwala,1973,gassing out,5,0.0025,0.2;0.4,
4,ionic,star,Topiwala,1973,gassing out,5,0.004,0.2;0.4,
4,ionic,open_circle,Hassan,1977,gassing out,2.5,0.0023,0.15,
4,ionic,up_triangle,Smith,1977,gassing out,180,0.017,0.11,
4,ionic,filled_down_triangle,Smith,1977,gassing out,4400,0.036,0.11,
4,ionic,filled_up_triangle,Smith,1977,gassing out,4400,0.046,0.11,
4,ionic,C1,correlation,1979,drawn correlation line,,0.0045,,8
4,ionic,C2,correlation,1979,drawn correlation line,,0.047,,8
5,pure_water,a,correlation,1979,drawn correlation line,,0.005,,
5,pure_water,b,correlation,1979,drawn correlation line,,0.020,,
5,pure_water,c,correlation,1979,drawn correlation line,,0.040,,
5,ionic,d,correlation,1979,drawn correlation line,,0.005,,
5,ionic,e,correlation,1979,drawn correlation line,,0.020,,
5,ionic,f,correlation,1979,drawn correlation line,,0.040,,
