# Numbers van 't Riet (1979) prints as text, other than eqs. 8 and 9 themselves.
# `origin` says WHOSE result it is: `vant_riet_1979` where the review states it
# in its own voice, otherwise the author the review attributes it to. This is a
# REVIEW - most of what it contains belongs to somebody else - and the page uses
# the two columns to keep that straight. `used_on_page` says whether this page
# reads the row.
key,value,unit,origin,section,used_on_page,statement
kL_used_in_review,4.0e-4,m/s,vant_riet_1979,kLA Results,yes,"'The k_L value used in the calculations in this review is 4 x 10^-4', chosen from a literature spread of 1 to 6 x 10^-4 m/s. Used to convert Lee's interfacial areas into k_L*A for Figure 4."
kL_literature_lo,1.0e-4,m/s,literature_compiled,kLA Results,yes,"'Values reported in the literature for k_L in pure water vary from 1 to 6 x 10^-4' (Calderbank & Moo-Young 1961; Reith & Beek 1968; Linek et al. 1970; Valentin & Preen 1962; Li et al. 1965; Robinson & Wilke 1974)."
kL_literature_hi,6.0e-4,m/s,literature_compiled,kLA Results,yes,"see kL_literature_lo"
kL_ionic_lo,1.0e-4,m/s,literature_compiled,Water with Ions,no,"'At any rate, k_L = 1-4 x 10^-4, which implies that it will not become lower by a factor in excess of 1-4.'"
kL_ionic_hi,4.0e-4,m/s,literature_compiled,Water with Ions,no,"see kL_ionic_lo"
alpha_literature_lo,0.4,-,literature_compiled,kLA Results,yes,"'The values found for alpha and beta show a fairly great variation: 0.4 < alpha < 1 and 0 < beta < 0.7.'"
alpha_literature_hi,1.0,-,literature_compiled,kLA Results,yes,"see alpha_literature_lo"
beta_literature_lo,0.0,-,literature_compiled,kLA Results,yes,"see alpha_literature_lo"
beta_literature_hi,0.7,-,literature_compiled,kLA Results,yes,"see alpha_literature_lo"
alpha_purewater_lo,0.35,-,literature_compiled,Ion-Free Water,yes,"'The values of alpha (0.35-0.5) and beta (0.3-0.6) differ relatively little for measurements in pure water.'"
alpha_purewater_hi,0.5,-,literature_compiled,Ion-Free Water,yes,"see alpha_purewater_lo"
beta_purewater_lo,0.3,-,literature_compiled,Ion-Free Water,yes,"see alpha_purewater_lo"
beta_purewater_hi,0.6,-,literature_compiled,Ion-Free Water,yes,"see alpha_purewater_lo"
pv_typical_lo,1.0e3,W/m3,vant_riet_1979,kLA Results,yes,"'it correlates a great deal with alpha because P/V = 10^3 - 10^4. If at a given k_L*A and P/V, a relatively small change is introduced into alpha, it causes great change in K.'"
pv_typical_hi,1.0e4,W/m3,vant_riet_1979,kLA Results,yes,"see pv_typical_lo"
ion_enhancement_lo,2.0,-,vant_riet_1979,Water with Ions,yes,"'one may expect the product of k_L and A to increase 2-10 times, which, indeed, has been found by, in particular, Zlokarnik (1975).' Built from A up to 10x (Lee & Meyrick), holdup up to 2x (Machon et al.) and k_L lower by no more than 1-4x - i.e. from mechanism and from Zlokarnik, NOT from eqs. 8 and 9."
ion_enhancement_hi,10.0,-,vant_riet_1979,Water with Ions,yes,"see ion_enhancement_lo"
accuracy_lo_pct,20,%,vant_riet_1979,Conclusions for kLA,yes,"'The formulas presented predict a k_L*A with an accuracy of 20-40%.'"
accuracy_hi_pct,40,%,vant_riet_1979,Conclusions for kLA,yes,"see accuracy_lo_pct"
probe_tau_lo,2.0,s,vant_riet_1979,Dynamic Gassing-Out,yes,"'commercially available electrodes with tau_p = 2 or 3 s to k_L*A = 0.1 s^-1'"
probe_tau_hi,3.0,s,vant_riet_1979,Dynamic Gassing-Out,yes,"see probe_tau_lo"
kla_electrode_ceiling,0.1,1/s,vant_riet_1979,Dynamic Gassing-Out,yes,"'it is possible to measure accurately enough a usually acceptable maximum value by means of commercially available electrodes with tau_p = 2 or 3 s to k_L*A = 0.1 s^-1'. Above it the review says response models (Linek, Heineken) are needed."
vandesande_error_pct,6,%,Van_t_Riet_1975,Dynamic Gassing-Out,yes,"'the ultimate error in k_L*A < 6% for tau_p <= 1/(k_L*A)' - Van 't Riet (1975) evaluating Van de Sande's (1974) probe model, so the BOUND is Van 't Riet's result, not Van de Sande's."
linek_error_pct,3,%,Van_t_Riet_1975,Dynamic Gassing-Out,yes,"'Linek's model (1972) implicates an error <3% for tau_p <= 1/(5 k_L*A)' - the same sentence's evaluation, by Van 't Riet (1975), of Linek's (1972) model; the bound is the evaluation's, not Linek's."
linek_margin,5,-,Linek_1972,Dynamic Gassing-Out,yes,"the factor 5 in tau_p <= 1/(5 k_L*A)."
TH_ratio_lo,0.5,-,vant_riet_1979,Vessel Geometry,yes,"'At a fluid height in the range of 0.5 < T/H < 1.5, P/V appears to be a variable with which k_L*A can be correlated.'"
TH_ratio_hi,1.5,-,vant_riet_1979,Vessel Geometry,yes,"see TH_ratio_lo"
tapwater_increase_lo_pct,5,%,vant_riet_1979,Ion-Free Water,no,"tap water (approx. 0.02 M salt) gives 5-10% more k_L*A than distilled water; both are called 'pure water' in the review."
tapwater_increase_hi_pct,10,%,vant_riet_1979,Ion-Free Water,no,"see tapwater_increase_lo_pct"
stirrer_number_scatter_pct,40,%,vant_riet_1979,Vessel Geometry,no,"'on some occasions a fluctuating difference (up to 40%) in the amount of mass transfer occurs but this may be related to experimental accuracy.'"
DT_discrepancy_factor,10,-,Steel_1962_Westerterp_1963,Vessel Geometry,no,"a factor-of-10 difference over D/T = 0.20-0.60, which the review says 'does not seem plausible'."
holdup_increase_ionic,2,-,Machon_1977,Water with Ions,no,"holdup rises by a factor of 2 on adding ions."
area_increase_ionic,10,-,Lee_Meyrick_1970,Water with Ions,no,"A may be increased up to 10 times at higher ion concentrations."
zlokarnik_vs_exponent,0.2,-,Zlokarnik_1970,Water with Ions,yes,"'Zlokarnik (1970) has found a slightly better correlation with v_s^0.2 than with v_s^0.' This is where eq. 9's beta = 0.2 comes from - the review says so: 'When the v_s^0.2 is taken into account, one obtains from Figure 4 [eq. 9]'."
robinson_vs_exponent,0.36,-,Robinson_Wilke_1974,Water with Ions,no,"'Robinson and Wilke (1974) have found a v_s^0.36 dependence at v_s < 0.005.'"
karwat_no_difference_pv,5000,W/m3,Karwat_1959,Vessel Geometry,no,"sparger type stops mattering at about 5000 W/m3."
stirrer_tip_velocity_min,2.0,m/s,vant_riet_1979,Water with Ions,no,"'a rough-and-ready rule, that stirrer tip velocity has to be > 2-2.5 m/s' for proper dispersion."
