# Every printed constant and exponent of Onda, Takeuchi & Okumoto (1968),
# J. Chem. Eng. Japan 1(1) 56-62, doi:10.1252/jcej.1.56.
# Read off pdftoppm renders at the scan's NATIVE 300 ppi, each numeric cropped
# and re-read at that resolution. See the .meta.yaml sidecar.
equation,role,symbol,value,printed_as,page,term
1,prefactor,C_aw,1.45,1.45,56,exponential prefactor of the wetted-area equation
1,exponent,e_sigma,0.75,0.75,56,(sigma_c/sigma)
1,exponent,e_Re_L,0.1,0.1,56,Re_L = L/(a_t mu_L)
1,exponent,e_Fr_L,-0.05,-0.05,56,Fr_L = L^2 a_t/(rho_L^2 g)
1,exponent,e_We_L,0.2,0.2,56,We_L = L^2/(rho_L sigma a_t)
2,prefactor,C_kL,0.0051,0.0051,57,prefactor of the liquid-side coefficient
2,exponent,e_Re_Lw,0.6666666666666666,2/3,57,Re_Lw = L/(a_w mu_L)
2,exponent,e_Sc_L,-0.5,-1/2,57,Sc_L = mu_L/(rho_L D_L)
2,exponent,e_atDp_L,0.4,0.4,57,a_t D_p
3,prefactor,C_kG,5.23,5.23,58,prefactor of the gas-side coefficient (upper group)
3,prefactor,C_kG_small,2.0,2.00,58,prefactor for Raschig rings < 15 mm and Berl saddles < 1/2 in (lower group)
3,exponent,e_Re_G,0.7,0.7,58,Re_G = G/(a_t mu_G)
3,exponent,e_Sc_G,0.3333333333333333,1/3,58,Sc_G = mu_G/(rho_G D_G)
3,exponent,e_atDp_G,-2.0,-2.0,58,a_t D_p
4,prefactor,C_jD_onda,0.771,0.771,58,j_D prefactor obtained by rearranging Eq. (3) for spheres
4,exponent,e_jD_onda,-0.3,-0.30,58,G D_p'/(mu_G (1-eps))
5,prefactor,C_jD_shulman,1.195,1.195,59,j_D prefactor of Shulman et al. for naphthalene sublimation
5,exponent,e_jD_shulman,-0.36,-0.36,59,G D_p'/(mu_G (1-eps))
