# Taylor, R. & Krishna, R. (1993) "Multicomponent Mass Transfer", Wiley,
# Example 8.5.1 "Evaporation into Two Inert Gases", printed pages 201-203.
# The problem is "based on experiments conducted by Fairbanks and Wilke (1950)
# with a view to assessing the validity of Wilke's effective diffusivity
# formula (Eq. 6.1.14)". Read off native-600-ppi renders.
# role: given = problem statement; intermediate/result = printed by the solution.
quantity,value,unit,role,page
temperature,29.9,degC,given,201
pressure,101.325,kPa,given,201
y_1_bulk,0.0,-,given,201
y_2_bulk,0.3,-,given,201
y_3_bulk,0.7,-,given,201
y_1_interface,0.0634,-,given,202
y_2_interface,0.2594,-,given,202
y_3_interface,0.6772,-,given,202
D_12,8.5,mm2/s,given,202
D_13,37.4,mm2/s,given,202
film_thickness,1.0,mm,given,202
A_11,51318,s/m2,intermediate,202
Phi,-0.0655,-,intermediate,202
Xi,1.00036,-,intermediate,202
c_t,40.21,mol/m3,intermediate,202
N_1,-0.0497,mol/(m2 s),result,202
