# Wilke, C. R. (1950), Chem. Eng. Prog. 46(2) 95-104: every NUMBER the paper
# prints outside Table 1 that this page uses. Journal pages as printed.
# Read off native-400-ppi renders, each numeric cropped and re-read.
# "sig_figs" is how many the paper prints, which sets the rounding bound.
quantity,value,unit,sig_figs,page,example,method,context
phi_A,-0.00797,-,3,101,VI,2,"Sample Calculation: phi_A = -0.0136/1.7054"
N_prime_B_first,1.748,-,4,101,VI,2,"first approximation assumed for N'_B"
N_prime_A_first,-0.0136,-,3,101,VI,2,"first approximation assumed for N'_A"
N_prime_B,1.719,-,4,101,VI,2,"N'_B returned by the first approximation and then assumed"
p_f_A,381,mm Hg,3,101,VI,2,"by Equation (16)"
p_f_AB,391,mm Hg,3,101,VI,2,"by Equation (30)"
p_f_AC,72.5,mm Hg,3,101,VI,2,"by Equation (31)"
y_pp_B,0.844,-,3,101,VI,2,"by Equation (27)"
y_pp_C,0.156,-,3,101,VI,2,"by Equation (28)"
D_pp_A,1.04,sq.cm./sec.,3,101,VI,2,"by Equation (26)"
N_prime_A,-0.0137,-,3,101,VI,2,"by Equation (15)"
N_A,-0.105,g.moles/(sec.)(sq.cm.) x 1e5,3,101,VI,2,"printed exponent glyph illegible; fixed by arithmetic"
p_f_A,288,mm Hg,3,99,VI,1,"film pressure factor for diffusion of A as calculated under Method 1"
p_B_mean,75,mm Hg,2,99,VI,1,"actual arithmetic average partial pressure of B"
p_C_mean,72.5,mm Hg,3,99,VI,1,"actual arithmetic average partial pressure of C"
p_BC_mean_sum,147.5,mm Hg,4,99,VI,1,"stated total of the two above"
p_B_effective,215.5,mm Hg,4,99,VI,1,"288 - 72.5, the paper's inferred effective partial pressure of B"
D_pp_H2O_graphical,2.15,sq.cm./sec.,3,99,IV,-,"by graphical evaluation of the integral of dx/D'_H2O over the film"
D_pp_H2O_eq25,2.22,sq.cm./sec.,3,99,IV,1,"calculated by Equation (25)"
method2_max_deviation_claim,10,per cent,2,100,-,2,"'satisfactory agreement in all examples with a maximum derivation [sic] of less than 10%' - printed DERIVATION"
