# Wilke, C. R. (1950) "Diffusional Properties of Multicomponent Gases",
# Chemical Engineering Progress 46(2) 95-104. TABLE 1, journal page 99.
# Every cell read off a native-400-ppi render, cropped and re-read at digit scale.
# Partial pressures in mm Hg; diffusion coefficients in sq.cm./sec.;
# diffusion rates in g.moles/(sec.)(sq.cm.) x 1e5 (the printed exponent glyph is
# illegible and is fixed by arithmetic - see the notebook).
# Method 1 = eqs. (15), (16), (25).  Method 2 = eqs. (15), (16), (26)-(38).
# Method 3 = exact solution, eqs. (21)-(24).  Blank = not printed.
example,gas_A,gas_B,gas_C,p1_A,p1_B,p1_C,p2_A,p2_B,p2_C,D_AB,D_AC,D_BC,m3_set,m3_preferred,m1_NA,m1_NB,m2_NA,m2_NB,m3_NA,m3_NB,read_note
I,CO2,H2O,H2,60.44,0,89.56,0,55,95,0.9220,2.7064,3.4576,1,0,5.80,5.80,4.84,-4.69,5.64,-5.64,"m1_NB printed WITHOUT a minus sign; the equimolal set 1"
I,CO2,H2O,H2,60.44,0,89.56,0,55,95,0.9220,2.7064,3.4576,2,1,,,,,4.862,-4.652,"set marked with the double-dagger 'Preferred Solution' footnote"
I,CO2,H2O,H2,60.44,0,89.56,0,55,95,0.9220,2.7064,3.4576,3,0,,,,,4.14,-3.93,"m3_NB glyph ambiguous; see notebook - eq. (23) rejects the pair as printed"
II,CO2,H2O,H2,51,49.055,49.945,49,50.945,50.055,0.9220,2.7064,3.4576,1,1,0.141,0.141,0.132,-0.106,0.131,-0.109,"m1_NB printed WITHOUT a minus sign"
III,CO2,H2O,H2,50.5,49.528,49.972,49.5,50.472,50.028,0.9220,2.7064,3.4576,1,1,0.0704,-0.0704,0.0663,-0.0530,0.0668,-0.0528,"the m3 pair misses eq. (23) by +9.4 % against a 0.38 % rounding bound; see notebook"
IV,CO2,H2O,H2,60.44,0,89.56,0,1,149,0.9220,2.7064,3.4576,1,1,10.58,-0.0828,10.53,-0.0401,10.62,-0.0441,"m1_NB printed as '-.0828', leading zero omitted"
V,CO2,H2O,H2,60.44,0,89.56,0,5,145,0.9220,2.7064,3.4576,1,1,10.16,-0.420,10.16,-0.205,10.21,-0.225,
VI,H2O,CO2,H2,0,100,50,5,50,95,0.9220,3.4576,2.7064,1,1,-0.104,13.06,-0.105,13.21,-0.105,13.42,"m1_NA contradicts the paper's own text (p_f = 288 mm); see notebook"
VII,H2,H2O,CO2,60.44,0,89.56,0,5,145,3.4576,2.7064,0.9220,1,1,10.72,-0.138,10.70,-0.243,10.68,-0.231,"m3_NB not discriminated by eq. (23); alternative reading -0.221"
VIII,CO2,H2O,H2,80,2,68,0,0,150,0.9220,2.7064,3.4576,1,1,15.72,0.330,15.85,0.473,16.09,0.434,"m3_NB alternative reading 0.484 not discriminated by eq. (23)"
