# Printed values of the two worked matrix examples in Krishna & Wesselingh
# (1997), "The Maxwell-Stefan approach to mass transfer", Chem. Eng. Sci.
# 52(6) 861-911, doi:10.1016/S0009-2509(96)00458-7.
#
# These are NOT measurements. They are the numbers the authors themselves
# printed while working two examples of the generalized Fick / Maxwell-Stefan
# transformation (journal pages 871-872), collected so that a reimplementation
# can be checked against them element by element. Every value was read off a
# 600 dpi render of the printed page on 2026-07-31; nothing was transcribed
# from the PDF text layer, which is an Acrobat Capture OCR of a scan.
#
# One value is stored AS PRINTED although it is provably a typographical
# error: B12 of the non-ideal example is printed as -0.036 x 10^9, while
# eq. (26) with the example's own diffusivities gives +0.037 x 10^9, and only
# the + sign reproduces the example's own printed [D]. See the .meta.yaml
# sidecar and the page.
#
# examples:
#   ideal    - H2 (1) / N2 (2) / CO2 (3) ideal gas mixture at the equilibrium
#              composition of the Duncan & Toor (1962) two-bulb experiment
#              (journal p. 872, section "Ideal ternary gas mixtures revisited")
#   nonideal - acetone (1) / benzene (2) / CCl4 (3) liquid at 25 C
#              (journal p. 871, section "Non-ideal ternary mixtures")
#   dt_run   - initial bulb compositions of the Duncan & Toor run highlighted
#              by the review, its eq. (3) (journal p. 863)
#
# columns:
#   example    - ideal | nonideal | dt_run
#   symbol     - identifier used in the notebook
#   value      - numeric value in SI units
#   units      - SI units of `value`
#   printed_as - the value exactly as it appears on the page
example,symbol,value,units,printed_as
ideal,D12,8.33e-5,m2/s,8.33 x 10^-5
ideal,D13,6.8e-5,m2/s,6.8 x 10^-5
ideal,D23,1.68e-5,m2/s,1.68 x 10^-5
ideal,x1,0.25,-,0.25
ideal,x2,0.5,-,0.5
ideal,x3,0.25,-,0.25
ideal,B11,1.34e4,s/m2,0.134 x 10^5
ideal,B12,7.0e2,s/m2,0.007 x 10^5
ideal,B21,2.37e4,s/m2,0.237 x 10^5
ideal,B22,4.76e4,s/m2,0.476 x 10^5
ideal,DF11,7.68e-5,m2/s,7.68 x 10^-5
ideal,DF12,-0.11e-5,m2/s,-0.11 x 10^-5
ideal,DF21,-3.832e-5,m2/s,-3.832 x 10^-5
ideal,DF22,2.16e-5,m2/s,2.16 x 10^-5
ideal,dx1,-0.25,-,-0.25
ideal,dx2,0.0,-,0
nonideal,D12,3.4e-9,m2/s,3.4 x 10^-9
nonideal,D13,2.5e-9,m2/s,2.5 x 10^-9
nonideal,D23,1.7e-9,m2/s,1.7 x 10^-9
nonideal,x1,0.35,-,0.35
nonideal,x2,0.35,-,0.35
nonideal,x3,0.30,-,0.3
nonideal,B11,3.63e8,s/m2,0.363 x 10^9
nonideal,B12,-3.6e7,s/m2,-0.036 x 10^9
nonideal,B21,1.07e8,s/m2,0.107 x 10^9
nonideal,B22,4.95e8,s/m2,0.495 x 10^9
nonideal,G11,0.69,-,0.69
nonideal,G12,-0.13,-,-0.13
nonideal,G21,0.07,-,0.07
nonideal,G22,1.05,-,1.05
nonideal,DF11,1.92e-9,m2/s,1.92 x 10^-9
nonideal,DF12,-0.58e-9,m2/s,-0.58 x 10^-9
nonideal,DF21,-0.28e-9,m2/s,-0.28 x 10^-9
nonideal,DF22,2.25e-9,m2/s,2.25 x 10^-9
dt_run,x1_bulb1,0.00000,-,0.00000
dt_run,x2_bulb1,0.50086,-,0.50086
dt_run,x3_bulb1,0.49914,-,0.49914
dt_run,x1_bulb2,0.50121,-,0.50121
dt_run,x2_bulb2,0.49879,-,0.49879
dt_run,x3_bulb2,0.00000,-,0.00000
dt_run,capillary_length,0.086,m,86 mm
