# Structural constants of the dusty gas model and the scaling claims stated in
# the text, read off 600 dpi renders of Krishna, R. & Wesselingh, J. A. (1997),
# Chemical Engineering Science 52(6) 861-911, journal pages 886-893,
# doi:10.1016/S0009-2509(96)00458-7.
#
# Every value was read from the page IMAGE, never from the PDF text layer: that
# layer is an Acrobat 3.0 Capture OCR of a scan and is demonstrably wrong on
# these pages (it renders eq. 86's prefactor as c_t/RT where the page prints
# 1/RT, drops the superscript e from eq. 83's left-hand side, and turns
# eq. 109's stoichiometric subscript nu_1 into nu_{1i}).
#
# NONE of these is a measurement.  They are the constants of a model, plus four
# exponents the review states in words on page 887.  This page is TIER 6.
#
# group  eq83..eq107 : structural constants of the dusty gas model
#        p887        : the two scaling claims stated in the text, as exponents
#        molar       : IUPAC standard molar masses (NOT from the review)
group,symbol,value,units,printed_as,journal_page
eq83,eps_over_tau,1,-,D^e_ij = (eps/tau) D_ij,886
eq84,tau_cylindrical,1,-,tau = 1 (cylindrical pore),886
eq85,knudsen_denominator,3,-,d_0/3,886
eq85,knudsen_mass_exponent,-0.5,-,sqrt(8RT/(pi M_i)),886
eq87,b_offdiag_sign,-1,-,B^e_ij(i!=j) = -x_i/D^e_ij,887
eq91,poiseuille_denominator,32,-,B_0 = d_0^2/32,889
eq101,viscous_selectivity_default,1,-,alpha'_i,890
eq103,single_component_alpha,1,-,alpha'_1 = 1,892
eq107,graham_mass_exponent,0.5,-,sum_i N_i sqrt(M_i) = 0,892
p887,knudsen_flux_pressure_exponent,1,-,fluxes N_i are directly proportional to the system pressure,887
p887,knudsen_flux_poresize_exponent,1,-,fluxes N_i are directly proportional to ... pore size,887
p887,bulk_flux_pressure_exponent,0,-,fluxes N_i are independent of system pressure,887
p887,bulk_flux_poresize_exponent,0,-,fluxes N_i are independent of ... pore size,887
molar,M_H2,2.01588e-3,kg/mol,not printed in the review,-
molar,M_N2,28.0134e-3,kg/mol,not printed in the review,-
molar,M_CO2,44.0095e-3,kg/mol,not printed in the review,-
