# Printed constants and stated results of the porous-media sections of
# Krishna & Wesselingh (1997), "The Maxwell-Stefan approach to mass transfer",
# Chemical Engineering Science 52(6) 861-911,
# doi:10.1016/S0009-2509(96)00458-7.
#
# These are NOT measurements. They are numbers the authors printed while
# setting out the dusty gas model (journal pages 884-893), collected so that a
# reimplementation can be checked against them. Every value was read off a
# 600 dpi render of the printed page on 2026-08-01; nothing was transcribed
# from the PDF text layer, which is an Acrobat 3.0 Capture OCR of a scan and
# garbles subscripts and signs (eq. 109's flux-ratio subscripts come through as
# "nu_{1i}" and eq. 86's prefactor as "c_t/RT").
#
# groups:
#   eq84   - tortuosity of a straight cylindrical pore, journal p. 886
#   eq85   - the effective Knudsen diffusivity, journal p. 886
#   eq107  - Graham's law of diffusion in gaseous mixtures, journal p. 892
#   jackson- the pellet centre pressure for A -> nu_B B with complete
#            conversion of A, quoted by the review from Jackson (1977),
#            journal p. 892
#   fig44  - operating conditions printed inside Fig. 44, the review's own
#            dusty-gas comparison against the Remick & Geankoplis (1974)
#            He/Ne/Ar capillary measurements, journal p. 887.  Recorded for
#            completeness; this page does NOT reproduce that figure (its data
#            points would have to be digitised, and the ternary matrix form is
#            catalogue entry A4.3).
group,symbol,value,units,printed_as,journal_page
eq84,tau_cylindrical,1.0,-,tau = 1 (cylindrical pore),886
eq85,knudsen_denominator,3.0,-,d_0/3,886
eq85,knudsen_mass_exponent,-0.5,-,sqrt(8RT/(pi M_i)),886
eq107,graham_mass_exponent,0.5,-,sum N_i sqrt(M_i) = 0,892
jackson,nu_b_example,2.0,-,nu_B = 2,892
jackson,centre_pressure_increase,0.40,-,a 40% increase in pressure,892
fig44,d0,3.9e-5,m,d_0 = 39 um,887
fig44,delta,9.6e-3,m,delta = 9.6 mm,887
fig44,dp,0.0,Pa,Delta p = 0,887
fig44,T,300.1,K,T = 300.1 K,887
fig44,x1,0.51,-,x_1 = 0.51,887
fig44,x2,0.27,-,x_2 = 0.27,887
fig44,dx1,0.901,-,Delta x_1 = 0.901,887
fig44,dx2,-0.486,-,Delta x_2 = -0.486,887
