entry,diffusion_volume,kind,few_points_flag
C,16.5,atomic increment,0
H,1.98,atomic increment,0
O,5.48,atomic increment,0
N,5.69,atomic increment,1
Cl,19.5,atomic increment,1
S,17.0,atomic increment,1
aromatic or heterocyclic ring,-20.2,structural increment,0
H2,7.07,simple molecule,0
D2,6.7,simple molecule,0
He,2.88,simple molecule,0
N2,17.9,simple molecule,0
O2,16.6,simple molecule,0
Air,20.1,simple molecule,0
Ne,5.59,simple molecule,0
Ar,16.1,simple molecule,0
Kr,22.8,simple molecule,0
Xe,37.9,simple molecule,1
CO,18.9,simple molecule,0
CO2,26.9,simple molecule,0
N2O,35.9,simple molecule,0
NH3,14.9,simple molecule,0
H2O,12.7,simple molecule,0
CCl2F2,114.8,simple molecule,1
SF6,69.7,simple molecule,1
Cl2,37.7,simple molecule,1
Br2,67.2,simple molecule,1
SO2,41.1,simple molecule,1
