row,pdf_page,component_a,component_b,ref_number,temperature_K,D_obs_cm2_s,err_fsg_pct,tracer,starred,image_corrected
1,6,H2,HE,17,298.2,1.132,46.16,0,0,T
2,6,H2,D2,19,288.2,1.24,-2.99,0,0,
3,6,H2,D2,27,295.5,1.25,0.54,0,0,
4,6,H2,N2,47,193.0,0.368,-3.72,0,0,
5,6,H2,N2,48,200.0,0.401,-5.96,0,0,
6,6,H2,N2,47,253.0,0.6,-5.16,0,0,
7,6,H2,N2,47,273.0,0.708,-8.19,0,0,
8,6,H2,N2,6,287.5,0.743,-4.22,0,0,
9,6,H2,N2,52,294.0,0.763,-3.01,0,0,
10,6,H2,N2,17,297.2,0.779,-3.18,0,0,
11,6,H2,N2,48,300.0,0.8,-4.16,0,0,
12,6,H2,N2,47,303.5,0.852,-8.17,0,0,e_printed
13,6,H2,N2,52,322.0,0.903,-3.9,0,0,
14,6,H2,N2,52,398.0,1.289,-2.46,0,0,Dobs
15,6,H2,N2,49,400.0,1.27,-0.12,0,0,
16,6,H2,N2,52,450.0,1.541,1.15,0,0,
17,6,H2,N2,52,506.0,1.883,1.64,0,0,
18,6,H2,N2,52,573.0,2.417,-1.56,0,0,
19,6,H2,AR,57,287.9,0.828,-11.19,0,0,
20,6,H2,AR,57,354.2,1.111,-4.87,0,0,
21,6,H2,AR,57,418.0,1.714,-17.61,0,0,
22,6,H2,CO,27,295.6,0.743,-1.53,0,0,
23,6,H2,CO2,6,289.2,0.619,-2.34,0,0,T
24,6,H2,CO2,7,298.0,0.646,-1.36,0,0,
25,6,H2,CO2,17,298.2,0.665,-4.08,0,0,
26,6,H2,WATER,50,307.3,1.02,-9.19,0,0,
27,6,H2,WATER,50,328.6,1.121,-7.09,0,0,T
28,6,H2,WATER,50,352.7,1.2,-1.76,0,0,
29,6,H2,NH3,52,273.0,0.7454,-4.5,0,0,
30,6,H2,NH3,52,293.0,0.8337,-3.37,0,0,
31,6,H2,NH3,27,296.8,0.856,-3.74,0,0,
32,6,H2,NH3,52,333.0,1.021,-1.29,0,0,
33,6,H2,NH3,52,413.0,1.435,2.37,0,0,
34,6,H2,NH3,52,533.0,2.149,6.82,0,0,e_printed
35,6,H2,SF6,57,286.2,0.396,-2.07,0,0,
36,6,H2,SF6,57,306.9,0.458,-4.32,0,0,
37,6,H2,SF6,57,370.8,0.647,-5.7,0,0,
38,6,H2,SF6,57,418.0,0.838,-10.21,0,0,
39,6,H2,METHANE,7,298.0,0.726,-5.33,0,0,
40,6,H2,ETHANE,7,298.0,0.537,-3.33,0,0,
41,6,H2,N-BUTANE,57,287.9,0.361,-0.34,0,0,
42,6,H2,N-BUTANE,57,354.2,0.507,1.99,0,0,
43,6,H2,N-BUTANE,57,430.0,0.763,-4.85,0,0,
44,6,H2,N-HEXANE,14,288.7,0.29,3.08,0,0,T
45,6,H2,"2,3-DIMETHYLBUTANE",14,288.8,0.301,-0.63,0,1,
46,6,H2,CYCLOHEXANE,14,288.5,0.319,-4.94,0,0,T
47,6,H2,METHYLCYCLOPENTANE,14,288.5,0.318,-4.64,0,1,
48,6,H2,N-HEPTANE,12,303.2,0.283,6.85,0,1,
