# Chapman & Cowling (1970), 3rd edn, Table 11 (book p. 228; PDF p. 252).
# "Viscosities and molecular diameters of gases at S.T.P."
# Read off a 300 dpi native render on 2026-08-05.
# mu is printed as 10^7 x mu (poise); sigma is printed as 10^8 x sigma (cm).
# Air has no molecular weight and no diameter printed (em dashes) - stored blank.
gas,formula,M,mu_1e7_poise,sigma_1e8_cm
Hydrogen,H2,2.016,845,2.745
Deuterium,D2,4.029,1191,2.751
Helium,He,4.003,1865,2.193
Methane,CH4,16.043,1024,4.187
Ammonia,NH3,17.031,923,4.477
Neon,Ne,20.183,2975,2.602
Acetylene,C2H2,26.038,948,4.912
Carbon monoxide,CO,28.011,1635,3.810
Nitrogen,N2,28.013,1656,3.784
Ethylene,C2H4,28.054,927,5.062
Air,Air,,1719,
Nitric oxide,NO,30.007,1774,3.720
Ethane,C2H6,30.070,858,5.353
Oxygen,O2,32,1919,3.636
Hydrogen sulphide,H2S,34.080,1163,4.743
Hydrogen chloride,HCl,36.461,1328,4.514
Argon,A,39.944,2117,3.659
Carbon dioxide,CO2,44.011,1380,4.643
Nitrous oxide,N2O,44.013,1351,4.692
Methyl chloride,CH3Cl,50.488,968,5.737
Sulphur dioxide,SO2,64.064,1164,5.551
Chlorine,Cl2,70.906,1233,5.534
Krypton,Kr,83.80,2328,4.199
Xenon,Xe,131.30,2107,4.939
