# Chapman & Cowling (1970), 3rd edn, Table 17 (book p. 237; PDF p. 261).
# "Values of eps/k, sigma and r_m for the 12,6 model".
# Read off a 300 dpi native render, cropped, on 2026-08-05.
# The first three columns are the VISCOSITY values - obtained, the book says on
# p. 235, "mainly by Hirschfelder, Bird and Spotz ... from the viscosities of
# various gases". The last two are the "Other values", mainly from virial
# coefficients, and in the last five cases from liquefaction data; where the
# book prints two comma-separated numbers both are kept, as a string.
# sigma and r_m are printed as x 10^8 cm; eps/k in K.
gas,formula,eps_k_visc,sigma_visc_1e8_cm,rm_visc_1e8_cm,eps_k_other,sigma_other_1e8_cm
Hydrogen,H2,33.3,2.97,3.33,37.02,2.92
Deuterium,D2,35.2,2.95,3.31,,
Helium,He,6.03,2.70,3.03,6.03,2.63
Methane,CH4,136.5,3.82,4.29,142.7,3.81
Neon,Ne,35.7,2.80,3.14,35.7,2.74
Carbon monoxide,CO,110.3,3.59,4.03,95.33,3.65
Nitrogen,N2,91.46,3.68,4.13,95.9,3.72
Nitric oxide,NO,119,3.47,3.89,131,3.17
Air,Air,97,3.62,4.06,,
Oxygen,O2,113.2,3.43,3.85,117.5,3.58
Argon,A,124,3.42,3.84,119.5,3.41
Carbon dioxide,CO2,190,4.00,4.49,185,4.57
Nitrous oxide,N2O,220,3.88,4.35,189,4.59
Hydrogen chloride,HCl,360,3.305,3.71,"261,243",3.69
Sulphur dioxide,SO2,252,4.29,4.82,"366,323",4.15
Chlorine,Cl2,357,4.115,4.62,"332,313",4.15
Krypton,Kr,190,3.61,4.05,"169,158",3.96
Xenon,Xe,230,4.05,4.55,"228,192",4.04
