# Chapman & Cowling (1970), 3rd edn, Table 22 (book p. 263; PDF p. 287, stored rotated).
# "Coefficients of diffusion at S.T.P."
# Read off a 300 dpi native render, cropped, on 2026-08-05. Fifty rows.
# D12 is a MEASURED value, reduced to 0 degC (section 14.32) and expressed in
# cm^2/sec (the book's own footnote on p. 262: "Here (and throughout this book)
# values of D12 are expressed in cm.^2/sec").
# sigma12 is NOT independent: section 14.32 states it is calculated FROM the
# measured D12 by eq. (14.2, 1), the rigid-elastic-sphere first approximation.
# half_sum_sigma is 1/2(sigma_1 + sigma_2) with sigma_1, sigma_2 the viscosity
# diameters of Table 11 (p. 228). Both are printed as x 10^8 cm.
# "ref" is the book's own reference number(s) into the list at the end of
# chapter 14, kept verbatim; an asterisk means other experimental values are
# quoted in the paper referred to; an em dash means no reference is given.
gas1,gas2,ref,D12_cm2_s,sigma12_1e8_cm,half_sum_sigma_1e8_cm
H2,D2,7*,1.12,2.54,2.75
H2,He,"8, 9, 4",1.30,2.36,2.47
H2,CH4,10,0.625,3.17,3.47
H2,NH3,8,0.645,3.11,3.61
H2,N2,"4, 6, 8",0.678,3.00,3.26
H2,CO,—,0.651,3.07,3.28
H2,C2H4,—,0.505,3.48,3.90
H2,C2H6,10,0.460,3.64,4.05
H2,O2,11*,0.697,2.96,3.19
H2,A,"12, 13",0.70,2.94,3.20
H2,CO2,"4, 10, 13*",0.557,3.29,3.69
H2,N2O,—,0.535,3.36,3.72
H2,SO2,—,0.480,3.54,4.15
D2,CO2,3,0.410,3.26,3.70
He,NH3,14,0.665,2.65,3.335
He,Ne,"6, 15",0.906,2.25,2.40
He,N2,"4, 8, 11, 16",0.607,2.72,2.99
He,O2,"4, 16",0.626,2.67,2.92
He,A,"3, 4, 5, 6, 12, 15, 17",0.641,2.62,2.93
He,CO2,"3, 9, 17",0.540,2.85,3.42
He,Kr,"6, 15",0.558,2.77,3.20
He,Xe,"6, 15",0.496,2.93,3.57
CH4,O2,11,0.194,3.64,3.91
CH4,CO2,—,0.153,4.00,4.42
NH3,Ne,14,0.296,3.05,3.54
NH3,A,14,0.172,3.76,4.07
NH3,Kr,14,0.140,3.99,4.34
NH3,Xe,14,0.113,4.37,4.71
Ne,A,"6, 15",0.276,2.88,3.13
Ne,CO2,13*,0.232,3.12,3.62
Ne,Kr,"6, 15",0.223,3.05,3.40
Ne,Xe,"6, 15",0.188,3.27,3.77
N2,CO,18,0.192,3.42,3.80
N2,C2H4,10,0.142,3.97,4.42
N2,C2H6,10,0.126,4.18,4.57
N2,O2,—,0.181,3.46,3.71
N2,A,16,0.167,3.52,3.72
N2,CO2,"4, 10, 11",0.144,3.75,4.21
N2,Xe,16,0.105,4.08,4.36
CO,C2H4,—,0.116,4.40,4.44
CO,O2,11*,0.188,3.40,3.72
CO,CO2,—,0.137,3.85,4.23
O2,A,16,0.166,3.46,3.65
O2,CO2,11*,0.138,3.76,4.14
O2,Xe,16,0.099,4.09,4.28
A,CO2,17,0.128,3.79,4.15
A,Kr,"6, 15",0.119,3.68,3.93
A,Xe,"6, 15",0.095,3.99,4.30
CO2,N2O,18,0.098,4.27,4.67
Kr,Xe,6,0.0641,4.28,4.57
