# Chapman & Cowling (1970), 3rd edn, Table 6 (book p. 185; PDF p. 209, stored rotated).
# "Values of W^(1)_12(1), W^(2)_12(2), A, B, C for the 12,6 model".
# Read off a 300 dpi native render, cropped, on 2026-08-05. Sixteen rows.
# Column 3 is printed with a leading fraction whose glyph is illegible in the scan;
# it is 1/2, established from the book's own eq. (9.8, 7) - see the sidecar.
kT_over_eps12,W11,W22_half,A,B,C
0.3,2.648,2.841,0.4291,0.774,0.022
0.5,2.066,2.284,0.4422,0.772,-0.009
0.7,1.729,1.922,0.4446,0.747,-0.012
1.0,1.440,1.593,0.4425,0.715,0.004
1.3,1.274,1.401,0.4398,0.695,0.023
1.6,1.168,1.280,0.4383,0.682,0.042
2.0,1.075,1.176,0.4376,0.672,0.062
2.5,1.0002,1.093,0.4371,0.665,0.080
3.0,0.9500,1.0388,0.4374,0.661,0.0925
4.0,0.8845,0.9699,0.4387,0.657,0.1085
5.0,0.8428,0.9268,0.4399,0.656,0.118
7.0,0.7898,0.8728,0.4421,0.655,0.127
10.0,0.7422,0.8244,0.4443,0.655,0.133
20.0,0.6640,0.7436,0.4479,0.656,0.135
50.0,0.5761,0.6504,0.4516,0.656,0.138
100.0,0.5177,0.5869,0.4536,0.657,0.138
