result_id,where,quantity,value,units,printed_as,description
karger_Dx,Section 2.2,D_x_0,5.05e-14,m^2 s^-1,5.05x10-14,zero-loading diffusivity of 2MH along x from eq. (23) with nu_zz and a
karger_Dy,Section 2.2,D_y_0,13.9e-14,m^2 s^-1,13.9x10-14,zero-loading diffusivity of 2MH along y from eq. (23) with nu_str and b
karger_Dz,Section 2.2,D_z_0,0.827e-14,m^2 s^-1,0.827x10-14,zero-loading diffusivity of 2MH along z from eq. (23)
karger_avg,Section 2.2,D_MS_0_avg,6.58e-14,m^2 s^-1,6.58x10-14,orientation average of the three from eq. (24) as printed in the running text
karger_table3,Table 3,D_MS_0_table,6.85e-14,m^2 s^-1,6.85x10-14,the same orientation-averaged quantity as tabulated for species 1 of Table 3
karger_CH4_eq23,Section 2.2,D_MS_0_CH4_eq23,2.75e-7,m^2 s^-1,2.75x10-7,eq. (23) applied to CH4 in MFI with nu_str = 4.2e11 and nu_zz = 3.6e11 s^-1
karger_CH4_kmc,Section 2.2,D_MS_0_CH4_kmc,1.5e-8,m^2 s^-1,1.5x10-8,the KMC value for the same case; the paper reports eq. (23) breaks down here
dsl_3MP_initial,Section 2.4,Theta_0,5.596,molecules per unit cell,5.596,equilibrium loading of 3MP in MFI at 362 K and p = 100 kPa
dsl_3MP_surface,Section 2.4,Theta_s,0.093,molecules per unit cell,0.093,equilibrium loading of 3MP in MFI at 362 K and p = 0.5 Pa
sh_ldf,Section 2.3,Sh_LDF,10.0,-,10,"the constant time-averaged Sherwood number of the LDF approximation, ""corresponding to a 75% approach to equilibrium"""
sh_ldf_F,Section 2.3,F_at_Sh10,0.75,-,75%,the fractional approach to equilibrium the paper attaches to Sh = 10
flux_C1,Section 4.1,N_C1,34.0,mmol m^-2 s^-1,34,steady-state single-component permeation flux of C1 across an MFI membrane at 300 K
flux_nC4,Section 4.1,N_nC4,3.1,mmol m^-2 s^-1,3.1,steady-state single-component permeation flux of nC4 across the same membrane
sp_pure,Section 4.1,S_P_pure,1.73,-,1.73,"permeation selectivity expected from the two pure-component fluxes, (3.1/34.0)/(5/95)"
p0_C1,Section 4.1,p_C1_upstream,95000.0,Pa,95 kPa,upstream partial pressure of C1
p0_nC4,Section 4.1,p_nC4_upstream,5000.0,Pa,5 kPa,upstream partial pressure of nC4
fo_asymmetry,Section 2.4,Fo_asymmetry,0.04,-,0.04,"the Fourier number at which the paper states adsorption of 3MP is ""nearly at equilibrium"" while desorption ""has still a long way to go"""
rho_MFI,Fig. 40 caption,rho_MFI,1800.0,kg m^-3,1800,density of MFI; the only density the review prints
