source_table,system,temperature_K,component,symbol,value,units,printed_as,note
Table 1,MFI,300,C1,b_A,4.86e-6,Pa^-1,4.86x10-6,dual-site Langmuir site A affinity
Table 1,MFI,300,C1,Theta_sat_A,11.0,molecules per unit cell,11.0,
Table 1,MFI,300,C1,b_B,2.38e-7,Pa^-1,2.38x10-7,
Table 1,MFI,300,C1,Theta_sat_B,8.0,molecules per unit cell,8.0,
Table 1,MFI,300,C2,b_A,9.73e-5,Pa^-1,9.73x10-5,
Table 1,MFI,300,C2,Theta_sat_A,12.0,molecules per unit cell,12.0,
Table 1,MFI,300,C2,b_B,4.38e-7,Pa^-1,4.38x10-7,
Table 1,MFI,300,C2,Theta_sat_B,3.0,molecules per unit cell,3.0,
Table 1,MFI,300,C3,b_A,9.64e-4,Pa^-1,9.64x10-4,
Table 1,MFI,300,C3,Theta_sat_A,11.0,molecules per unit cell,11.0,
Table 1,MFI,300,C3,b_B,5.06e-6,Pa^-1,5.06x10-6,
Table 1,MFI,300,C3,Theta_sat_B,1.0,molecules per unit cell,1.0,
Table 1,MFI,300,nC4,b_A,1.63e-2,Pa^-1,1.63x10-2,
Table 1,MFI,300,nC4,Theta_sat_A,9.0,molecules per unit cell,9.0,
Table 1,MFI,300,nC4,b_B,1.14e-5,Pa^-1,1.14x10-5,
Table 1,MFI,300,nC4,Theta_sat_B,1.0,molecules per unit cell,1.0,
Table 1,MFI,300,nC5,b_A,0.25,Pa^-1,0.25,
Table 1,MFI,300,nC5,Theta_sat_A,8.0,molecules per unit cell,8.0,
Table 1,MFI,300,nC5,b_B,2e-4,Pa^-1,2x10-4,
Table 1,MFI,300,nC5,Theta_sat_B,0.5,molecules per unit cell,0.5,
Table 1,MFI,300,2MB,b_A,0.4,Pa^-1,0.4,
Table 1,MFI,300,2MB,Theta_sat_A,4.0,molecules per unit cell,4.0,
Table 1,MFI,300,2MB,b_B,3e-4,Pa^-1,3x10-4,
Table 1,MFI,300,2MB,Theta_sat_B,4.2,molecules per unit cell,4.2,
Table 1,MFI,300,nC6,b_A,7.0,Pa^-1,7.0,
Table 1,MFI,300,nC6,Theta_sat_A,4.0,molecules per unit cell,4.0,
Table 1,MFI,300,nC6,b_B,0.4,Pa^-1,0.4,
Table 1,MFI,300,nC6,Theta_sat_B,4.0,molecules per unit cell,4.0,
Table 1,MFI,300,2MP,b_A,10.0,Pa^-1,10.0,
Table 1,MFI,300,2MP,Theta_sat_A,4.0,molecules per unit cell,4.0,
Table 1,MFI,300,2MP,b_B,2.0e-5,Pa^-1,2.0x10-5,
Table 1,MFI,300,2MP,Theta_sat_B,3.0,molecules per unit cell,3.0,
