# Bulb compositions vs time, Duncan & Toor (1962) Figure 2.
#
# Digitised from Fig. 2 of Duncan, J. B. & Toor, H. L. (1962), AIChE J 8(1)
# 38-41, doi:10.1002/aic.690080112, by programmatic marker extraction (see the
# .meta.yaml sidecar for method and validation). The source figure image is NOT
# reproduced; these are the extracted coordinates, re-plotted by the notebook.
#
# Bulb 1 was charged with H2 + N2, bulb 2 with N2 + CO2. Two markers are absent
# because they overlap another series in the figure and could not be separated:
# CO2 in bulb 2 at t = 2 h, and H2 in bulb 2 at t = 12 h.
#
# columns:
#   time_h  - elapsed time [h]
#   bulb    - 1 or 2
#   species - H2 | N2 | CO2
#   x       - mole fraction [-]
time_h,bulb,species,x
0,1,H2,0.5390
0,1,N2,0.4614
0,1,CO2,0.0000
0,2,H2,0.0000
0,2,N2,0.5215
0,2,CO2,0.4781
1,1,H2,0.4568
1,1,N2,0.5041
1,1,CO2,0.0348
1,2,H2,0.0809
1,2,N2,0.4761
1,2,CO2,0.4410
2,1,H2,0.4165
2,1,N2,0.5130
2,1,CO2,0.0651
2,2,H2,0.1190
2,2,N2,0.4690
4,1,H2,0.3587
4,1,N2,0.5334
4,1,CO2,0.1006
4,2,H2,0.1785
4,2,N2,0.4479
4,2,CO2,0.3744
12,1,H2,0.2691
12,1,N2,0.5574
12,1,CO2,0.1689
12,2,N2,0.4233
12,2,CO2,0.3092
