# Exact isothermal effectiveness factor for a first-order reaction.
#
# THIS IS NOT EXPERIMENTAL DATA. Thiele (1939) is an analytical paper and
# Weisz & Hicks (1962) is a computational one; neither reports measurements.
# These are the closed-form solutions, tabulated here so the page's validation
# is reproducible and machine-checkable (provenance tier 6, see
# docs/data-strategy.md).
#
#   slab      eta = tanh(phi)/phi
#   cylinder  eta = 2*I1(phi)/(phi*I0(phi))
#   sphere    eta = (3/phi^2)*(phi*coth(phi) - 1)
#
# phi is built on the half-thickness (slab) or the radius (cylinder, sphere):
#   phi = L*sqrt(k/D_eff)  or  R*sqrt(k/D_eff)
#
# columns:
#   geometry - slab | cylinder | sphere
#   phi      - Thiele modulus [-]
#   eta      - effectiveness factor [-]
geometry,phi,eta
slab,0.05,0.9991675
slab,0.0568748,0.99892315
slab,0.0646948,0.99860719
slab,0.07359,0.99819874
slab,0.0837083,0.99767083
slab,0.0952178,0.99698877
slab,0.10831,0.99610792
slab,0.123202,0.99497096
slab,0.140142,0.99350446
slab,0.159411,0.99161465
slab,0.181329,0.98918222
slab,0.206261,0.9860561
slab,0.23462,0.98204629
slab,0.26688,0.97691585
slab,0.303574,0.97037253
slab,0.345315,0.96206115
slab,0.392794,0.9515584
slab,0.446801,0.93837271
slab,0.508234,0.92195336
slab,0.578114,0.90171364
slab,0.657602,0.87707353
slab,0.748019,0.84752596
slab,0.850869,0.8127259
slab,0.967859,0.77259379
slab,1.10094,0.72741302
slab,1.25231,0.67789166
slab,1.4245,0.62515667
slab,1.62036,0.57066175
slab,1.84315,0.51601709
slab,2.09657,0.46277968
slab,2.38484,0.41226049
slab,2.71275,0.36539802
slab,3.08574,0.32272091
slab,3.51001,0.28439034
slab,3.99262,0.25029133
slab,4.54159,0.22013709
slab,5.16604,0.19355924
slab,5.87635,0.17017106
slab,6.68432,0.14960342
slab,7.60338,0.13152036
slab,8.64881,0.11562281
slab,9.83798,0.10164684
slab,11.1907,0.089360221
slab,12.7293,0.078558752
slab,14.4796,0.069062916
slab,16.4704,0.060714896
slab,18.735,0.053375947
slab,21.311,0.046924098
slab,24.2412,0.04125212
slab,27.5742,0.036265745
slab,31.3656,0.031882102
slab,35.6782,0.028028334
slab,40.5838,0.024640393
slab,46.1639,0.021661971
slab,52.5112,0.019043567
slab,59.7312,0.016741665
slab,67.944,0.014718006
slab,77.286,0.012938959
slab,87.9124,0.011374954
slab,100,0.01
cylinder,0.05,0.99968763
cylinder,0.0568748,0.99959588
cylinder,0.0646948,0.99947719
cylinder,0.07359,0.99932367
cylinder,0.0837083,0.99912514
cylinder,0.0952178,0.99886841
cylinder,0.10831,0.99853648
cylinder,0.123202,0.99810745
cylinder,0.140142,0.99755305
cylinder,0.159411,0.99683693
cylinder,0.181329,0.99591238
cylinder,0.206261,0.9947195
cylinder,0.23462,0.99318169
cylinder,0.26688,0.99120131
cylinder,0.303574,0.9886545
cylinder,0.345315,0.985385
cylinder,0.392794,0.98119725
cylinder,0.446801,0.97584882
cylinder,0.508234,0.96904317
cylinder,0.578114,0.96042372
cylinder,0.657602,0.94957142
cylinder,0.748019,0.93600882
cylinder,0.850869,0.91921471
cylinder,0.967859,0.89865388
cylinder,1.10094,0.87382629
cylinder,1.25231,0.84433659
cylinder,1.4245,0.80997958
cylinder,1.62036,0.77082763
cylinder,1.84315,0.72729756
cylinder,2.09657,0.68016967
cylinder,2.38484,0.63053867
cylinder,2.71275,0.57969601
cylinder,3.08574,0.52896843
cylinder,3.51001,0.47955658
cylinder,3.99262,0.43241653
cylinder,4.54159,0.38820787
cylinder,5.16604,0.34730517
cylinder,5.87635,0.30985024
cylinder,6.68432,0.2758182
cylinder,7.60338,0.24507742
cylinder,8.64881,0.21743491
cylinder,9.83798,0.19266687
cylinder,11.1907,0.17053809
cylinder,12.7293,0.15081389
cylinder,14.4796,0.13326738
