# Aris (1957) Table 1, "Effectiveness factor eta for various shapes".
# Lambda = lambda * v_p / s_x with lambda = sqrt(k*sigma/D).
# These are the AUTHOR'S OWN computed values, not measurements. See the sidecar.
Lambda,shape,eta_printed
0.1,plate,0.997
0.2,plate,0.987
0.5,plate,0.924
1,plate,0.762
2,plate,0.482
5,plate,0.200
10,plate,0.100
0.1,cylinder,0.995
0.2,cylinder,0.981
0.5,cylinder,0.892
1,cylinder,0.698
2,cylinder,0.432
5,cylinder,0.197
10,cylinder,0.100
0.1,sphere,0.994
0.2,sphere,0.977
0.5,sphere,0.876
1,sphere,0.672
2,sphere,0.416
5,sphere,0.187
10,sphere,0.097
