rate_form,param,m,eta
power,0,0.1,1.0000000000
power,0,0.1092321545,1.0000000000
power,0,0.1193166358,1.0000000000
power,0,0.1303321321,1.0000000000
power,0,0.1423645959,1.0000000000
power,0,0.1555079154,1.0000000000
power,0,0.1698646465,1.0000000000
power,0,0.1855468131,1.0000000000
power,0,0.2026767817,1.0000000000
power,0,0.2213882153,1.0000000000
power,0,0.2418271175,1.0000000000
power,0,0.2641529707,1.0000000000
power,0,0.2885399812,1.0000000000
power,0,0.3151784381,1.0000000000
power,0,0.3442761986,1.0000000000
power,0,0.3760603093,1.0000000000
power,0,0.4107787782,1.0000000000
power,0,0.4487025098,1.0000000000
power,0,0.4901274189,1.0000000000
power,0,0.5353767397,1.0000000000
power,0,0.5848035476,1.0000000000
power,0,0.6387935149,1.0000000000
power,0,0.6977679194,1.0000000000
power,0,0.762186932,1.0000000000
power,0,0.8325532074,1.0000000000
power,0,0.9094158061,1.0000000000
power,0,0.9933744787,1.0000000000
power,0,1.085084346,0.9215873438
power,0,1.185261009,0.8436960231
power,0,1.294686137,0.7723879720
power,0,1.414213562,0.7071067812
power,0,1.544775944,0.6473430687
power,0,1.687392046,0.5926305047
power,0,1.843174688,0.5425421728
power,0,2.013339423,0.4966872394
power,0,2.19921403,0.4547079031
power,0,2.402248868,0.4162766037
power,0,2.624028196,0.3810934660
power,0,2.866282534,0.3488839597
power,0,3.130902167,0.3193967574
power,0,3.419951893,0.2924017738
power,0,3.735687137,0.2676883698
power,0,4.080571547,0.2450637095
power,0,4.457296218,0.2243512549
power,0,4.868800693,0.2053893891
power,0,5.318295897,0.1880301547
power,0,5.809289193,0.1721380993
power,0,6.345611749,0.1575892191
power,0,6.931448432,0.1442699906
power,0,7.571370462,0.1320764854
power,0,8.270371084,0.1209135588
power,0,9.033904523,0.1106941077
power,0,9.86792855,0.1013383908
power,0,10.77895096,0.0927734066
power,0,11.77408037,0.0849323232
power,0,12.86108167,0.0777539577
power,0,14.0484366,0.0711822979
power,0,15.34540998,0.0651660660
power,0,16.76212194,0.0596583179
power,0,18.30962695,0.0546160773
power,0,20,0.0500000000
power,0.5,0.1,0.9977807407
power,0.5,0.1092321545,0.9973527374
power,0.5,0.1193166358,0.9968423475
power,0.5,0.1303321321,0.9962337794
power,0.5,0.1423645959,0.9955082427
power,0.5,0.1555079154,0.9946433914
power,0.5,0.1698646465,0.9936126683
power,0.5,0.1855468131,0.9923845360
power,0.5,0.2026767817,0.9909215781
power,0.5,0.2213882153,0.9891794545
power,0.5,0.2418271175,0.9871056918
power,0.5,0.2641529707,0.9846382954
power,0.5,0.2885399812,0.9817041704
power,0.5,0.3151784381,0.9782173471
power,0.5,0.3442761986,0.9740770201
power,0.5,0.3760603093,0.9691654292
power,0.5,0.4107787782,0.9633456452
power,0.5,0.4487025098,0.9564593692
power,0.5,0.4901274189,0.9483249325
power,0.5,0.5353767397,0.9387357826
power,0.5,0.5848035476,0.9274598972
power,0.5,0.6387935149,0.9142407645
power,0.5,0.6977679194,0.8988008398
power,0.5,0.762186932,0.8808487134
power,0.5,0.8325532074,0.8600915821
power,0.5,0.9094158061,0.8362549181
power,0.5,0.9933744787,0.8091112623
power,0.5,1.085084346,0.7785194728
power,0.5,1.185261009,0.7444739112
power,0.5,1.294686137,0.7071592252
power,0.5,1.414213562,0.6670001684
power,0.5,1.544775944,0.6246883325
power,0.5,1.687392046,0.5811627003
power,0.5,1.843174688,0.5375256563
power,0.5,2.013339423,0.4948964385
power,0.5,2.19921403,0.4542359202
power,0.5,2.402248868,0.4162016195
power,0.5,2.624028196,0.3810892118
power,0.5,2.866282534,0.3488839518
power,0.5,3.130902167,0.3193967574
power,0.5,3.419951893,0.2924017738
power,0.5,3.735687137,0.2676883698
power,0.5,4.080571547,0.2450637095
power,0.5,4.457296218,0.2243512549
power,0.5,4.868800693,0.2053893891
power,0.5,5.318295897,0.1880301547
power,0.5,5.809289193,0.1721380993
power,0.5,6.345611749,0.1575892191
power,0.5,6.931448432,0.1442699906
power,0.5,7.571370462,0.1320764854
power,0.5,8.270371084,0.1209135588
power,0.5,9.033904523,0.1106941077
power,0.5,9.86792855,0.1013383908
power,0.5,10.77895096,0.0927734066
power,0.5,11.77408037,0.0849323232
power,0.5,12.86108167,0.0777539577
power,0.5,14.0484366,0.0711822979
power,0.5,15.34540998,0.0651660660
power,0.5,16.76212194,0.0596583179
power,0.5,18.30962695,0.0546160773
power,0.5,20,0.0500000000
power,1,0.1,0.9966799463
power,1,0.1092321545,0.9960416695
power,1,0.1193166358,0.9952813822
power,1,0.1303321321,0.9943760544
power,1,0.1423645959,0.9932984321
power,1,0.1555079154,0.9920163141
power,1,0.1698646465,0.9904917262
power,1,0.1855468131,0.9886799896
power,1,0.2026767817,0.9865286801
power,1,0.2213882153,0.9839764887
power,1,0.2418271175,0.9809519982
power,1,0.2641529707,0.9773724124
power,1,0.2885399812,0.9731422920
power,1,0.3151784381,0.9681523857
power,1,0.3442761986,0.9622786800
power,1,0.3760603093,0.9553818429
power,1,0.4107787782,0.9473072922
power,1,0.4487025098,0.9378861806
power,1,0.4901274189,0.9269376495
power,1,0.5353767397,0.9142727437
power,1,0.5848035476,0.8997003868
power,1,0.6387935149,0.8830357510
power,1,0.6977679194,0.8641112022
power,1,0.762186932,0.8427897096
power,1,0.8325532074,0.8189801807
power,1,0.9094158061,0.7926536317
power,1,0.9933744787,0.7638584970
power,1,1.085084346,0.7327328655
power,1,1.185261009,0.6995111798
power,1,1.294686137,0.6645231535
power,1,1.414213562,0.6281834549
power,1,1.544775944,0.5909720555
power,1,1.687392046,0.5534067969
power,1,1.843174688,0.5160112958
power,1,2.013339423,0.4792823258
power,1,2.19921403,0.4436609716
power,1,2.402248868,0.4095110780
power,1,2.624028196,0.3771070543
power,1,2.866282534,0.3466313533
power,1,3.130902167,0.3181803875
power,1,3.419951893,0.2917765824
power,1,3.735687137,0.2673838359
power,1,4.080571547,0.2449238005
