# Voorhies (1945): every printed constant and quantitative prose claim this page
# uses, with its location. All read from cropped 300 ppi (native) renders at
# digit scale; the text layer was not used for any digit.
item_id,printed_value,statement,where
eq1_A,0.86,"C_c = 0.86 theta^0.41, West Texas gas oil + natural (activated clay) catalyst, fixed bed, 850 F (fitted to Fig. 1, figure-only data)","eq. (1), p. 319; restated p. 322"
eq1_n,0.41,"exponent of eq. (1)","eq. (1), p. 319"
eq2_A,0.65,"C_c = 0.65 theta^0.44, East Texas gas oil + synthetic (silica-alumina) catalyst, fixed bed, 850 F (fitted to Fig. 1, figure-only data)","eq. (2), p. 319; restated pp. 321-322"
eq2_n,0.44,"exponent of eq. (2)","eq. (2), p. 319"
eq3_coeff,3.55e-5,"C_f = (3.55)(10^-5) V^2.93 (fitted to Fig. 3, figure-only data; same runs as eq. 2)","eq. (3), p. 321"
eq3_exp,2.93,"exponent of eq. (3)","eq. (3), p. 321"
eq4_density_ratio,0.58,"D_o/D_c = 1/0.58 in the eq. (4)-(5) derivation (the only density ratio printed in the paper)","p. 321, between eqs. (4) and (5)"
eq5_coeff,96,"V = 96 * (1/U^0.34) * (1/theta^0.19), derived from eqs. (2)-(4)","eq. (5), p. 321"
eq5_expU,0.34,"exponent of U in eq. (5)","eq. (5), p. 321"
eq5_expTheta,0.19,"exponent of theta in eq. (5)","eq. (5), p. 321"
eq6_A,0.52,"C_c = 0.52 theta^0.38, East Texas gas oil + natural catalyst, FLUID cracking, 900-930 F (fitted to Fig. 5, figure-only data)","eq. (6), p. 322"
eq6_n,0.38,"exponent of eq. (6)","eq. (6), p. 322"
eq7_A,0.24,"C_c = 0.24 theta^0.53, Tinsley gas oil + synthetic catalyst, FLUID cracking, 950 F, points corrected to a common activity level (fitted to Fig. 5, figure-only data)","eq. (7), p. 322"
eq7_n,0.53,"exponent of eq. (7)","eq. (7), p. 322"
eq8_n,0.5,"diffusion hypothesis dC_c/dtheta = K/C_c, 'or C_c = A theta^0.5'","eq. (8), p. 322"
K_identification,2,"nomenclature prints 'K = constant (= A^2)'; exponent 2 of A as printed","Nomenclature, p. 322"
doubling_low_F,190,"'the carbon formation doubles for approximately 190-200 F. increase in cracking temperature' (low end); drawn from Table I via Fig. 2","p. 320, right column"
doubling_high_F,200,"high end of the same claim","p. 320, right column"
faulty_measured_pct,36,"'the point at about 36% conversion ... may represent a faulty determination of conversion'","p. 321, left column (twice)"
faulty_predicted_pct,41,"'in which case the predicted value would be 41%'","p. 321, left column"
theta_tables_min,120,"process period of Tables I and II, 'uniformly maintained at 2 hours'","Table I/II captions and p. 320 left column"
