# Voorhies (1945), Table I, journal page 320: "Fixed-Bed Catalytic Cracking of
# East Texas Gas Oil for Process Periods of 2 Hours". Transcribed from cropped
# 300 ppi (native) renders; every cell read at digit scale. The text layer was
# not used for any digit. The block column is not printed; it groups the four
# nominal-temperature clusters the table prints with whitespace separation.
catalyst,block,feed_rate_vvhr,temp_F,C_feed_wtpct,C_cat_wtpct
natural,1,0.6,812,3.8,5.0
natural,1,0.8,811,2.9,5.1
natural,1,1.1,793,2.0,4.6
natural,1,1.2,804,2.0,5.0
natural,2,0.6,862,4.5,5.7
natural,2,0.8,848,3.1,5.4
natural,2,1.0,845,2.5,5.3
natural,2,1.2,840,2.1,5.4
natural,3,0.6,911,5.5,6.6
natural,3,0.8,908,4.3,6.8
natural,3,1.0,904,3.3,6.7
natural,3,1.2,904,2.9,6.8
natural,4,0.6,962,6.9,8.1
natural,4,0.8,958,5.2,8.2
natural,4,1.0,958,4.1,8.2
natural,4,1.2,952,3.4,8.2
synthetic,1,0.6,808,5.8,7.9
synthetic,1,0.8,798,4.1,7.4
synthetic,1,1.0,803,3.2,7.4
synthetic,1,1.2,801,2.7,7.4
synthetic,2,0.6,863,7.8,10.1
synthetic,2,0.8,857,5.7,9.9
synthetic,2,1.0,852,4.2,9.4
synthetic,2,1.2,850,3.5,9.4
synthetic,3,0.6,917,9.3,12.0
synthetic,3,0.8,906,6.8,11.9
synthetic,3,1.1,911,5.3,11.8
synthetic,3,1.2,901,4.3,11.1
synthetic,4,0.6,964,11.2,14.0
synthetic,4,0.8,955,8.4,13.9
synthetic,4,1.0,957,6.6,14.1
synthetic,4,1.2,956,5.5,13.9
