# Froment & Bischoff (1961), Appendix 2 "Ranges of variables", journal pp. 200-201.
# Experimental conditions of the ethylbenzene-dehydrogenation data set the authors
# used to fix the order of magnitude of az and alpha*b*eta, plus the constants they
# estimated from those data. Read from cropped 300 dpi renders (native resolution);
# the OCR text layer mangles most of these (e.g. it gives T = 800 C where the page
# prints 600 C) and was never trusted for a digit.
name,value,unit,printed_as,where
P,1.0,atm,"P = 1 atm.","Appendix 2, p. 200"
eps_void,0.38,-,"epsilon = 0.38","Appendix 2, p. 200"
rho_B,1130.0,kg/m3,"rho_B = 1 130 kg/m3","Appendix 2, p. 200"
rho_F,1.33,kg/m3,"rho_F = 1.33 kg/m3 (the notation table's rho_A, density of A)","Appendix 2, p. 200"
F,0.30,kg/hr,"F = 0.30 kg/hr","Appendix 2, p. 200"
L_prime,0.084,m,"L' = 0.084 m","Appendix 2, p. 200"
Omega,6.3e-4,m2,"Omega = 6.3 x 10^-4 m2","Appendix 2, p. 200"
T_op,600.0,C,"T = 600 C","Appendix 2, p. 200"
k1_0,10.0,atm-1 hr-1,"k1_0 ~ 10 atm-1 hr-1 (preliminary analysis, ignoring carbon)","Appendix 2, p. 200"
k2_0,0.01,atm-1 hr-1,"k2_0 ~ 0.01 atm-1 hr-1 (order of magnitude, from Figs. 1-4)","Appendix 2, p. 201"
alpha,100.0,-,"alpha ~ 100 (order of magnitude, from Figs. 1-4)","Appendix 2, p. 201"
K,200.0,-,"K ~ 200 (order of magnitude, from Figs. 1-4)","Appendix 2, p. 201"
t_process,5.0,hr,"total processing time of the order of 5 hr","Appendix 2, p. 201"
aL_prefactor,0.2,-,"aL = (Omega rho_B P L'/F) k1_0 = 0.2 k1_0","Appendix 2, p. 200"
aL,2.0,-,"aL ~ 2.0 (eq. A.1)","Appendix 2, p. 200"
alpha_b_t,5.0,-,"alpha b eta ~ alpha b t = 5 (eq. A.2a)","Appendix 2, p. 201"
K_b_t,10.0,-,"K b eta ~ K b t = 10 (eq. A.2b)","Appendix 2, p. 201"
