# Bhatia, S. K. & Perlmutter, D. D. (1980), AIChE Journal 26(3) 379-386.
# EVERY NUMBER THE PAPER PRINTS OUTSIDE ITS EQUATIONS that this page uses.
# THE PAPER CONTAINS NO TABLE AT ALL. Its eight pages carry eight FIGURES
# (Figs. 1-8), a NOTATION list and a LITERATURE CITED list, and nothing else
# tabular; every entry below is a value printed in the RUNNING TEXT or in a
# FIGURE-FRAME CAPTION as typeset text. NO CURVE, NO AXIS COORDINATE AND NO
# DATA POINT IS READ FROM ANY FIGURE ANYWHERE ON THIS PAGE. In particular
# Figure 8 - the only comparison with experiment in the paper - is NOT
# digitised; the two numbers this page uses from that comparison (S_o and the
# two psi values) are printed in prose on p. 385.
# Every value was read off a crop of a 300 ppi native render (pdfimages -list:
# CCITT-G4 bilevel, 300 x 300 ppi on all 8 pages); the text layer was used only
# as a search index and for no digit. Transcribed 2026-08-13.
key,printed,units,where,what_it_is
grain_m_sphere,0.6666666666666666,-,p. 380 after eq. (2),"grain shape factor for spheres, printed as the fraction 2/3"
grain_m_cylinder,0.5,-,p. 380 after eq. (2),"grain shape factor for cylinders, printed as the fraction 1/2"
grain_m_flatplate,0,-,p. 380 after eq. (2),grain shape factor for flat plates
grain_m_volume,1,-,p. 380 after eq. (2),"m = 1 is the volume / pseudo-homogeneous reaction model of Lacey et al. (1965) and Ishida & Wen (1971)"
typ_So,10000,cm2/cm3,p. 381 after eq. (32),"typical order-of-magnitude surface area for common porous solids, printed as 10^4"
typ_Lo,10000000,cm/cm3,p. 381 after eq. (32),"typical order-of-magnitude pore length, printed as 10^7"
typ_eps_o,0.3,-,p. 381 after eq. (32),typical initial porosity in the same list
typ_Ro_min,0.01,cm,p. 382 top of left column,"the same list's particle radius, printed as R_o >= 10^-2 cm"
sigma_plateau,100,-,p. 382 left column,"'no further significant change occurs for sigma >= 100'"
sigma_small,0.25,-,p. 382 left column,"'For small enough particles (sigma < 0.25), the reaction time is independent of internal structure for psi <= 100'"
sigma_small_psi_max,100,-,p. 382 left column,the psi ceiling in that same sentence
XM_psi_min,2,-,p. 382 left column after eq. (33),"'This maximum exists over the range 2 <= psi < infinity'"
XM_sup,0.393,-,p. 382 left column after eq. (33),"'and gives 0 <= X_M < 0.393'"
walker_raats_XM,0.345,-,p. 382 left column,"'the data of Walker and Raats (1956) indicate a maximum in surface area at about 34.5% conversion'"
kawahata_XM_lo,0.40,-,p. 382 right column,"'The data of Kawahata and Walker (1962) show a maximum in surface area at about 40 to 50% conversion'"
kawahata_XM_hi,0.50,-,p. 382 right column,upper end of the same range
kawahata_closed_pore,0.60,-,p. 382 right column,"'their reactant solid had a large closed pore volume, over 60% of the open pore volume'"
fig4_So,2425,cm2/cm3,Fig. 4 caption p. 382 AND p. 384 running text,"the Petersen-consistent parameter set; the caption reads 'S_o = 2,425 cm2/cm3' and p. 384 repeats it above the psi = 5 sentence"
fig4_Lo,3140000,cm/cm3,Fig. 4 caption p. 382 AND p. 384 running text,"printed as L_o = 3.14 x 10^6 cm/cm3 in both places"
fig4_eps_o,0.26,-,Fig. 4 caption p. 382 AND p. 384 running text,printed as eps_o = 0.26 in both places
fig4_psi,5,-,p. 384 right column,"'From its definition, the chosen parameters give psi = 5'"
dutta_XM_max,0.4,-,p. 383 left column,"'also show a maximum in the reaction rate at conversions below X = 0.4' (Dutta et al. 1977; Dutta & Wen 1977)"
eq34_eps_o_max,0.5,-,p. 383 left column after eq. (34),"'a rate maximum requires 0 <= eps_o <= 0.5'"
eq34_XM_max,0.5,-,p. 383 left column after eq. (34),"'and can vary between 0 <= X_M <= 0.5'"
opt_eps_final,0.3,-,p. 383 left column after ineq. (36),"the worked example: 'If, for example, a final eps = 0.3 is sought'"
