# Random pore model reference solutions COMPUTED BY PAGE B3.3 from the printed
# equations (31), (32), (33), (37) of Bhatia & Perlmutter (1980) and from their
# printed squared-deviation integral I.  NOT experimental data and NOT read from
# any figure; see the .meta.yaml sidecar.  sigma -> infinity throughout.
psi,tau,X,S_over_So,X_M,m_star,tau_half_sigma_inf
0,0.1,0.095162581964,0.904837418036,,1,0.69314718056
0,0.25,0.221199216929,0.778800783071,,1,0.69314718056
0,0.5,0.393469340287,0.606530659713,,1,0.69314718056
0,1,0.632120558829,0.367879441171,,1,0.69314718056
0,1.5,0.776869839852,0.223130160148,,1,0.69314718056
1,0.1,0.0974218502471,0.947707057241,,0.663885036284,0.602419782095
1,0.25,0.233273403929,0.86256742058,,0.663885036284,0.602419782095
1,0.5,0.430217175269,0.712228530914,,0.663885036284,0.602419782095
1,1,0.71349520314,0.42975719529,,0.663885036284,0.602419782095
1,1.5,0.872864267068,0.222487532631,,0.663885036284,0.602419782095
2,0.1,0.0996754774137,0.990356974845,0,0.490522368902,0.544763529191
2,0.25,0.245160398011,0.943549502486,0,0.490522368902,0.544763529191
2,0.5,0.464738571481,0.802892142778,0,0.490522368902,0.544763529191
2,1,0.776869839852,0.446260320297,0,0.490522368902,0.544763529191
2,1.5,0.927560242966,0.181099392586,0,0.490522368902,0.544763529191
5,0.1,0.106402652891,1.11699668389,0.259181779318,0.251187837602,0.445291514478
5,0.25,0.279727020045,1.17044359243,0.259181779318,0.251187837602,0.445291514478
5,0.5,0.556252689919,0.998431447682,0.259181779318,0.251187837602,0.445291514478
5,1,0.894600775438,0.368897285967,0.259181779318,0.251187837602,0.445291514478
5,1.5,0.986599992335,0.0636500364094,0.259181779318,0.251187837602,0.445291514478
10,0.1,0.117503097415,1.32374535388,0.329679953964,0.0957563941751,0.363257376538
10,0.25,0.333856389297,1.49882312408,0.329679953964,0.0957563941751,0.363257376538
10,0.5,0.675347532642,1.13628363575,0.329679953964,0.0957563941751,0.363257376538
10,1,0.969802616578,0.181184300534,0.329679953964,0.0957563941751,0.363257376538
10,1.5,0.99919526699,0.00684023058606,0.329679953964,0.0957563941751,0.363257376538
