# Hougen & Watson (1947), Chap. XIX: the temperature coefficients of the final
# recommended rate equation, eq. (q) (book p. 956), and the same constants as
# printed at the foot of Table G (book p. 957). ln K = -dH/(R T) + dS/R with
# R = 1.987 cal/(gmol K); dH in cal/gmol, dS in cal/(gmol K). ln(Ek) = -A/(R T)
# + B/R. THE TWO PRINTINGS DISAGREE ON dS_S: eq. (q) prints ln K_S =
# +13700/RT - 30.96/R while Table G prints dS_S = -30.46. Both are transcribed;
# the page adjudicates by refitting the van 't Hoff line. Read from native
# 150 ppi renders, cropped and enlarged.
name,value,printed_where
dH_U,-940,"Table G foot, book p. 957"
dH_S,-13700,"Table G foot, book p. 957"
dH_H,-3110,"Table G foot, book p. 957"
A,1740,"Table G foot, book p. 957; also in text, book p. 955"
A_plus_dH_H_plus_dH_U,-2310,"Table G foot, book p. 957"
dS_U,-3.08,"Table G foot, book p. 957"
dS_S,-30.46,"Table G foot, book p. 957"
dS_H,-8.49,"Table G foot, book p. 957"
B,2.82,"Table G foot, book p. 957; also in text, book p. 955"
B_plus_dS_H_plus_dS_U,-8.76,"Table G foot, book p. 957"
dS_S_eqq,-30.96,"eq. (q), book p. 956 - disagrees with Table G's -30.46"
