# Hougen & Watson (1947), Chemical Process Principles, Part Three, Chap. XIX,
# Illustration 2, Table A (book pp. 944-945): differential-reactor rate data for
# the vapor-phase hydrogenation of codimer (mixed iso-octenes) over supported Ni.
# Data originally from Tschernitz, Bornstein, Beckmann & Hougen, Trans. AIChE 42,
# 883-903 (1946). Read from native 150 ppi page renders, cropped and enlarged;
# the 200 C block is checksummed against the book's own printed least-squares sums.
run,temp_C,pi_atm,pH_atm,pU_atm,pS_atm,r_lbmol_per_lb_hr
1d,200,1.09,0.482,0.100,0.508,0.00353
3c,200,3.50,2.459,0.527,0.515,0.0250
3d,200,3.49,2.450,0.530,0.515,0.0320
10a,200,3.51,0.477,0.494,2.538,0.00553
11a,200,1.51,0.514,0.540,0.455,0.00870
11d,200,1.50,0.473,0.552,0.473,0.01392
11e,200,1.50,0.470,0.558,0.473,0.00960
12ab,200,1.105,0.104,0.562,0.440,0.00514
14a,200,3.52,0.450,2.840,0.230,0.01920
14b,200,3.51,0.409,2.810,0.289,0.0206
25a,200,2.50,0.484,1.075,0.942,0.0131
28b,200,2.10,0.357,1.590,0.153,0.0186
2a,275,1.105,0.478,0.102,0.525,0.00298
4d,275,3.520,2.505,0.518,0.497,0.0389
4e,275,3.500,2.500,0.517,0.485,0.0450
5b,275,3.510,0.425,2.770,0.310,0.0206
5d,275,3.500,0.433,2.800,0.270,0.0185
6bc,275,1.104,0.489,0.562,0.051,0.0180
7b,275,1.500,0.546,0.506,0.446,0.0103
7cd,275,1.500,0.469,0.556,0.475,0.01215
8bc,275,1.109,0.100,0.540,0.464,0.00705
9a,275,3.500,0.422,0.462,2.615,0.00824
9b,275,3.510,0.467,0.485,2.555,0.00734
26ab,275,2.500,1.495,0.511,0.495,0.0319
29ab,275,2.100,1.222,0.776,0.103,0.0435
15a,325,3.50,0.500,2.735,0.270,0.0201
16a,325,1.10,0.482,0.560,0.062,0.0114
17b,325,1.50,0.501,0.533,0.466,0.0134
17c,325,1.50,0.475,0.553,0.471,0.00946
17e,325,1.50,0.476,0.556,0.478,0.00871
18a,325,1.10,0.101,0.548,0.451,0.0025
19b,325,3.50,2.335,0.550,0.610,0.0338
19c,325,3.50,2.540,0.452,0.510,0.0286
19d,325,3.50,2.405,0.524,0.572,0.0297
20ab,325,1.10,0.489,0.098,0.513,0.0044
21a,325,3.51,0.480,0.480,2.550,0.01106
24a,325,2.50,0.555,0.299,1.645,0.00533
27a,325,2.50,0.599,0.996,0.907,0.01885
30a,325,2.10,0.438,1.523,0.136,0.01414
30b,325,2.10,0.478,1.480,0.144,0.0159
