# Hougen & Watson (1947), Chap. XIX, Table C (book pp. 950-951): the printed
# per-run evaluation of mechanism d at 200 C. R = sqrt(pH*pU/r); delta = R_calc
# - R_exp; pct = 100*delta/R_exp. Printed column sums: Sum delta^2 = 3.002,
# average |pct| = 8.44. Read from native 150 ppi renders (the table is rotated
# on the page); partial pressures are in tableA-rates.csv and are not repeated.
run,R_exp_printed,R_calc_printed,delta_printed,delta_sq_printed,pct_delta_printed
1d,3.68,3.97,0.29,0.084,7.88
3c,7.18,6.86,-0.32,0.102,-4.46
3d,6.35,6.86,0.51,0.260,8.03
10a,6.50,6.62,0.12,0.014,1.85
11a,5.65,4.63,-1.02,1.04,-18.05
11d,4.32,4.62,0.30,0.09,6.94
11e,5.20,4.62,-0.58,0.336,-11.15
12ab,3.38,4.18,0.80,0.640,23.66
14a,8.14,7.84,-0.30,0.090,-3.69
14b,7.46,7.81,0.35,0.123,4.69
25a,6.30,5.40,-0.40,0.160,-6.35
28b,5.50,5.75,0.25,0.063,4.54
