# Hougen & Watson (1947), Chap. XIX, Table G (book p. 957): summary of
# thermodynamic constants for the accepted mechanism d. "experimental" rows are
# the per-temperature least-squares constants (Table D/E/F row d, more digits);
# "corrected" rows are read off the straight lines fitted by least squares on
# log(constant) vs 1/T; the K rows and alpha follow from the corrected values by
# K_U = b/a, K_S = c/a, K_H = f/a, alpha = 1/(a^2 K_H K_U). Read from a native
# 150 ppi render, cropped and enlarged.
quantity,val_200C,val_275C,val_325C
a_experimental,2.764,2.84,3.753
b_experimental,1.526,1.60,1.603
c_experimental,1.010,0.494,0.0393
f_experimental,1.129,0.687,0.697
a_corrected,2.64,3.14,3.43
b_corrected,1.53,1.58,1.61
c_corrected,1.29,0.203,0.0762
f_corrected,1.01,0.774,0.653
alpha_Ek,0.644,0.830,0.954
K_U,0.580,0.503,0.469
K_S,0.489,0.0646,0.0222
K_H,0.383,0.246,0.190
KH_KU,0.222,0.123,0.0891
alpha_KH_KU,0.143,0.102,0.0850
