# Hougen & Watson (1947), Chap. XIX, Tables D (book p. 953), E (p. 954), F (p. 955):
# least-squares constants a, b, c, f for the 18 postulated mechanisms (a-r) at the
# three temperature levels, with the printed rejection verdicts. Read from native
# 150 ppi page renders, cropped and enlarged. verdict is "acceptable" or the
# printed "Reasons for Rejection" joined by semicolons (b0 = "b should be 0",
# bpos = "b should be +", etc.).
mechanism,temp_C,a,b,c,f,verdict
a,200,54.6,-19.4,12.1,16.3,f0;bpos
b,200,44.0,36.4,14.8,-22.6,b0;fpos
c,200,-101,44.0,117,24.3,c0;apos
d,200,2.76,1.53,1.01,1.13,acceptable
e,200,5.64,-1.31,0.89,2.73,f0;bpos
f,200,66.9,36.5,15.5,-51.8,b0;fpos
g,200,-115,42.4,114,45.0,c0;apos
h,200,0.736,0.781,1.29,1.09,acceptable
i,200,54.6,-19.4,12.1,16.3,b0;f0
j,200,-101,44.0,117,24.3,b0;c0;apos
k,200,-101,44.0,117,24.3,b0;apos
l,200,5.64,-1.31,0.89,2.73,b0;f0
m,200,-115,42.4,114,45.0,b0;c0
n,200,1.74,1.50,0.95,2.46,b0
o,200,-101,44.0,117,24.3,f0;apos
p,200,-101,44.0,117,24.3,c0;f0;apos
q,200,44.0,36.4,14.8,-22.6,b0;f0
r,200,-101,44.0,117,24.3,b0;c0;f0;apos
a,275,63.0,-19.0,2.87,1.0,f0;bpos
b,275,31.3,41.8,8.01,-21.0,b0;fpos
c,275,3.98,18.9,4.45,5.97,c0
d,275,2.84,1.60,0.494,0.687,acceptable
e,275,7.12,-1.61,0.370,0.810,f0;bpos
f,275,13.0,67.4,15.4,-31.7,b0;fpos
g,275,-311,22.2,7.65,40.8,c0;apos
h,275,1.74,0.606,0.216,0.644,acceptable
i,275,63.0,-19.0,2.87,1.0,b0;f0
j,275,3.98,18.9,4.45,5.97,b0;c0
k,275,3.98,18.9,4.45,5.97,b0
l,275,7.12,-1.61,0.370,0.810,b0;f0
m,275,-311,22.2,7.65,40.8,b0;c0
n,275,2.12,1.60,0.500,1.53,b0
o,275,3.98,18.9,4.45,5.97,f0
p,275,3.98,18.9,4.45,5.97,c0;f0
q,275,31.3,41.8,8.01,-21.0,b0;f0
r,275,3.98,18.9,4.95,5.97,b0;c0;f0
a,325,63.0,-23.3,2.35,11.7,f0;bpos
b,325,54.0,33.8,-8.35,-10.7,b0;cpos
c,325,9.97,20.1,0.623,8.11,c0;fpos
d,325,3.75,1.60,0.039,0.697,acceptable
e,325,7.01,-1.64,0.108,1.77,f0;bpos
f,325,124,26.7,-11.4,-84.1,b0;cpos;fpos
g,325,2.29,20.2,0.376,17.3,c0
h,325,2.17,0.593,0.010,0.598,acceptable
i,325,63.0,-23.3,2.35,11.7,b0;f0
j,325,9.96,20.1,0.623,8.11,b0;c0
k,325,9.96,20.1,0.623,8.11,b0
l,325,7.01,-1.64,0.108,1.77,b0;f0
m,325,2.29,20.2,0.376,17.3,b0;c0
n,325,3.00,1.61,0.0114,1.60,b0
o,325,9.96,20.1,0.623,8.11,f0
p,325,9.96,20.1,0.623,8.11,c0;f0
q,325,53.9,33.8,-8.35,-10.7,b0;f0;cpos
r,325,9.96,20.1,0.623,8.11,b0;c0;f0
