# Prins, R., "Eley-Rideal, the Other Mechanism", Topics in Catalysis 61 (2018)
# 714-721, doi:10.1007/s11244-018-0948-8. Every quantitative statement the paper
# prints, transcribed with its page. The paper contains NO measurements, NO
# tables and NO figures (all 8 pages rendered and inspected; pdfimages lists
# only decorative logos); these rows are the printed numbers and claims of its
# prose. Born-digital PDF; every numeric below was nevertheless verified on a
# 300 dpi page-render crop, not taken from the text layer. Dimensionless order
# claims have unit "-". The printed maximum condition "c_A = K_A" is transcribed
# exactly as printed [sic]; the page derives K_A*c_A = 1 + K_B*c_B from the
# paper's own Eq. (3a) and reports the disagreement without repairing the text.
name,value,unit,where_printed,role
lh_attempt_freq_low,1.0e12,per site per s,p. 716 (Mullins & Weinberg via ref 17),computation
lh_attempt_freq_high,1.0e13,per site per s,p. 716 (Mullins & Weinberg via ref 17),computation
lr_flux_at_1atm,1.0e9,per site per s,p. 716 (Mullins & Weinberg via ref 17),computation
lr_flux_reference_pressure,1.0,atm,p. 716,computation
co_barrier_tilted,70,kJ/mol,p. 716 (ref 18),context
co_barrier_vertical,150,kJ/mol,p. 716 (ref 18),context
hd_mean_translational,82,kJ/mol,p. 717 (refs 30-31),computation
hd_mean_rotational,36,kJ/mol,p. 717 (refs 30-31),computation
hd_mean_vibrational,58,kJ/mol,p. 717 (refs 30-31),computation
h2_dissociation_energy,436,kJ/mol,p. 717,computation
d_on_cu_binding_energy_about,240,kJ/mol,"p. 717, printed as ""about 240""",computation
tungsten_rideal_below_T,198,K,p. 718 (ref 39),context
order_A_LH_low,1,-,p. 719 (limit of Eq. 3a),claim_checked
order_A_LH_high,-1,-,p. 719 (limit of Eq. 3a),claim_checked
order_A_LR_low,1,-,p. 719 (limit of Eq. 3b),claim_checked
order_A_LR_high,0,-,p. 719 (limit of Eq. 3b),claim_checked
order_B_both,1,-,p. 719 ("equal to 1 for both reactions"),claim_checked
order_AeqB_LH_low,2,-,p. 719 (A = B limit of Eq. 3a),claim_checked
order_AeqB_LH_high,0,-,p. 719 (A = B limit of Eq. 3a),claim_checked
order_AeqB_LR_low,2,-,p. 719 (A = B limit of Eq. 3b),claim_checked
order_AeqB_LR_high,1,-,p. 719 (A = B limit of Eq. 3b),claim_checked
order_A_3c_KAcA_large,0,-,p. 719 (limit of Eq. 3c),claim_checked
order_B_3c_KBcB_small,1,-,p. 719 (limit of Eq. 3c),claim_checked
