# Table 2 of Mars & van Krevelen (1954): sulphur dioxide oxidation on silver
# vanadate, experiments of B. Neumann [their ref 13]. Transcribed from a 300 dpi
# (native) render of journal page 51. k_prime is the AUTHORS' value computed by
# them from their eq. (14); gas velocity units are not stated in the paper.
# bracketed = 1 marks the one k_prime the authors print in parentheses and
# exclude from their own average. k_prime_avg_printed is the paper's per-block
# "k' average" column, repeated on every row of its temperature block.
temperature_C,gas_velocity,conversion_pct,k_prime,bracketed,k_prime_avg_printed
325,150,82.5,0.095,0,0.107
325,300,73.0,0.120,0,0.107
325,500,59.0,0.107,0,0.107
375,150,92.0,0.172,0,0.188
375,300,84.5,0.220,0,0.188
375,500,73.5,0.212,0,0.188
375,750,57.0,0.147,0,0.188
425,150,96.5,0.291,0,0.315
425,300,90.5,0.324,0,0.315
425,500,82.0,0.330,0,0.315
425,750,72.0,0.300,0,0.315
450,150,97.0,0.333,0,0.366
450,300,92.0,0.370,0,0.366
450,500,84.0,0.392,0,0.366
450,750,76.0,0.370,0,0.366
465,150,97.0,0.406,0,0.389
465,300,92.5,0.398,0,0.389
465,500,85.0,0.363,0,0.389
465,750,78.5,0.392,0,0.389
475,150,96.5,0.412,0,0.419
475,300,92.5,0.417,0,0.419
475,500,85.5,0.412,0,0.419
475,750,79.0,0.430,0,0.419
500,150,95.0,0.413,0,0.436
500,300,91.0,0.410,0,0.436
500,500,85.5,0.428,0,0.436
500,750,81.0,0.495,0,0.436
525,300,90.0,0.483,0,0.500
525,500,85.0,0.500,0,0.500
525,750,80.5,0.517,0,0.500
550,300,87.0,0.444,1,0.535
550,500,84.0,0.527,0,0.535
550,750,79.5,0.545,0,0.535
