# Xu & Froment (1989), AIChE J 35(1) 88-96, Figures 2 and 3.
# Experimental markers only; the plotted curves are the authors'
# own model and were deliberately not extracted.
# p_t = 10 bar, H2O/CH4 = 3.0, H2/CH4 = 1.25 (Table 1).
# W_F is W/F0_CH4 in g_cat h / mol_CH4.
# Regenerate with extract_figures.py; provenance in the .meta.yaml sidecar.
temperature_K,W_F,quantity,value,figure
773,0.1322,x_CH4,0.00985,2
773,0.1524,x_CH4,0.01073,2
773,0.2030,x_CH4,0.01409,2
773,0.2544,x_CH4,0.01669,2
773,0.3056,x_CH4,0.01700,2
773,0.3565,x_CH4,0.01990,2
798,0.1326,x_CH4,0.02767,2
798,0.1529,x_CH4,0.03042,2
798,0.2038,x_CH4,0.03641,2
798,0.2557,x_CH4,0.04244,2
798,0.3564,x_CH4,0.04700,2
823,0.1292,x_CH4,0.05658,2
823,0.1506,x_CH4,0.06347,2
823,0.1740,x_CH4,0.06588,2
823,0.1878,x_CH4,0.07021,2
823,0.1982,x_CH4,0.07258,2
823,0.2317,x_CH4,0.07484,2
823,0.2513,x_CH4,0.08210,2
823,0.2897,x_CH4,0.08122,2
823,0.3003,x_CH4,0.08826,2
823,0.3478,x_CH4,0.08623,2
823,0.3497,x_CH4,0.08902,2
823,0.3667,x_CH4,0.09007,2
823,0.4046,x_CH4,0.09167,2
848,0.1288,x_CH4,0.10493,2
848,0.1505,x_CH4,0.10923,2
848,0.2003,x_CH4,0.12281,2
848,0.2360,x_CH4,0.12953,2
848,0.2816,x_CH4,0.13650,2
848,0.3287,x_CH4,0.13772,2
773,0.1318,x_CO2,0.00971,3
773,0.1534,x_CO2,0.01087,3
773,0.2040,x_CO2,0.01409,3
773,0.2550,x_CO2,0.01621,3
773,0.3055,x_CO2,0.01648,3
773,0.3563,x_CO2,0.01879,3
798,0.1318,x_CO2,0.02550,3
798,0.1530,x_CO2,0.02715,3
798,0.2043,x_CO2,0.03280,3
798,0.2552,x_CO2,0.03829,3
798,0.3562,x_CO2,0.04313,3
823,0.1296,x_CO2,0.04931,3
823,0.1501,x_CO2,0.05393,3
823,0.1501,x_CO2,0.05554,3
823,0.1734,x_CO2,0.05767,3
823,0.1873,x_CO2,0.06160,3
823,0.1981,x_CO2,0.06248,3
823,0.2310,x_CO2,0.06690,3
823,0.2508,x_CO2,0.07044,3
823,0.2898,x_CO2,0.07096,3
823,0.2994,x_CO2,0.07792,3
823,0.3470,x_CO2,0.07487,3
823,0.3483,x_CO2,0.07754,3
823,0.3656,x_CO2,0.07901,3
823,0.4036,x_CO2,0.08058,3
848,0.1283,x_CO2,0.08771,3
848,0.1490,x_CO2,0.09073,3
848,0.1981,x_CO2,0.10245,3
848,0.2333,x_CO2,0.10830,3
848,0.2814,x_CO2,0.11219,3
848,0.3274,x_CO2,0.11389,3
