# Froment (1967), Ind. Eng. Chem. 59(2) 18-27, doi:10.1021/ie50686a006.
# Every NUMERICAL result stated in the paper's running text about the o-xylene
# case (pp. 24, 26, 27), read from native 300 ppi renders. These are the
# authors' own COMPUTED results (Crank-Nicolson on the 2-D model, numerical
# integration on the 1-D model) - the paper contains no experimental data, so
# comparing against these rows is reproduction of a published reference
# solution, not validation against measurement.
# "qualifier" preserves the paper's own wording ("about", "now found to be").
quantity,value,unit,model,qualifier,printed_where,statement
tm_hotspot_357,30,degC,2D,about,p. 25,"'the hot spot, where tm equals about 30 degC' for inlet = coolant = 357 degC"
runaway_limit_2d,360,degC,2D,runs away at,p. 25,"'The temperature rise goes out of control' (p. 25) when the inlet is raised from 357 by 3 degC; p. 26 (col 2): 'The two-dimensional model predicts a runaway of the reactor for an inlet temperature of 360 degC'"
rise_1d_362,40,degC,1D,only,p. 26,"'a temperature rise of only 40 deg at an inlet temperature of 362 degC' (U = 82.7)"
rise_1d_363,48,degC,1D,,p. 26,"'a rise of 48 deg at an inlet temperature of 363 degC' (U = 82.7)"
runaway_limit_1d,365,degC,1D,now found to be,p. 26,"'The runaway temperature is now found to be 365 degC' (U = 82.7)"
runaway_gap,5,degC,1D vs 2D,within,p. 26,"'the prediction of the runaway limit within five degrees of the two-dimensional model has to be considered excellent'"
U_ref,82.7,kcal/(m2 hr degC),1D,,p. 26,"U built from lambda_R = 0.67 and alpha_w = 134 via 1/U = 1/alpha_w + R'/(4 lambda_R)"
U_lam075,86,kcal/(m2 hr degC),1D,amounts to,p. 27,"U with lambda_e = 0.75 instead of 0.67, alpha_w unchanged at 134"
U_aw150,88,kcal/(m2 hr degC),1D,,p. 27,"U with alpha_w = 150 instead of 134, lambda_R unchanged at 0.67"
tm_360_lam075,35,degC,2D,about,p. 27,"'The maximum mean overtemperature is now reduced to about 35 degC' - inlet 360, lambda_e = 0.75 (the reference case runs away)"
tm_360_aw150,35,degC,2D,about,p. 27,"'the radial mean temperature rise is reduced to about 35 degC' - inlet 360, alpha_w = 150"
Pe_hR,5.25,-,2D,,p. 24,"'so that Pe_hR = 5.25'"
Re,121,-,2D,,p. 24,"'it follows that Re = 121'"
conc_variant_1,38,g/Nm3,2D,,p. 25,"Figure 11 summarises runaway diagrams 'obtained with 38 and 32 gram moles/cu. meter' [sic - g/Nm3]; the runaway limit rises as inlet concentration falls"
conc_variant_2,32,g/Nm3,2D,,p. 25,see conc_variant_1
hotspot_locus_hi,43,degC,2D,,p. 25,"Figure 11 also draws the loci of inlet temperatures giving hot spots of 43 and 30 degC"
hotspot_locus_lo,30,degC,2D,,p. 25,see hotspot_locus_hi
pemr_8_vs_10,0,-,2D,completely negligible,p. 26,"'calculations ... repeated for several situations, drastic or not, but with Pe_mR = 8 instead of 10. The influence on the temperature and conversion profiles was completely negligible.'"
