# Every number and quantitative claim this page reads out of Froment, De Wilde &
# Bischoff, "Chemical Reactor Analysis and Design", 3rd ed., Wiley (2011),
# Chapter 11, transcribed from 300-450 ppi renders of the book's own pages.
# NOT MEASUREMENTS.  The chapter reports no experiment of its own; every row is
# either a model constant the book states or a result the book states from its
# own computation.  Provenance sidecar: froment-2011-ch11-printed.meta.yaml
#
# `as_printed` is the character string on the page, `value` its numeric reading.
# Rows with kind=claim carry a sentence in `as_printed` and no numeric value.
key,quantity,as_printed,value,unit,section,book_page,kind
tube_length,tube length,3 m,3.0,m,11.5.2,510,parameter
tube_id,tube internal diameter,2.54 cm,0.0254,m,11.5.2,510,parameter
particle_diameter,particle diameter,3 mm,0.003,m,11.5.2,511,parameter
bulk_density,catalyst bulk density,1300,1300.0,kg/m3,11.5.2,511,parameter
temp_range_low,bottom of the stated operating range,335,608.15,K,11.5.2,511,parameter
temp_range_high,top of the stated operating range,415,688.15,K,11.5.2,511,parameter
mass_flux,superficial mass flow velocity,4684,4684.0,kg/(m2 h),11.5.2,511,parameter
mean_density,mean fluid density as printed,1293,1293.0,kg/m3,11.5.2,511,parameter
superficial_velocity,superficial fluid velocity,3600,3600.0,m/h,11.5.2,511,parameter
heat_of_reaction,heat of reaction,"1,285,409",1285409.0,kJ/kmol,11.5.2,511,parameter
specific_heat,specific heat,0.992,0.992,kJ/(kg K),11.5.2,511,parameter
oxygen_pressure,partial pressure of oxygen,0.211,0.211,bar,11.5.2,511,parameter
rate_ln_A,logarithm of the frequency factor,19.837,19.837,-,11.5.2,511,parameter
rate_E_over_R,activation energy over the gas constant,"13,636",13636.0,K,11.5.2,511,parameter
total_pressure,total pressure,1,1.0,bar,11.5.2,511,parameter
overall_U,overall heat transfer coefficient,0.096,0.096,kJ/(m2 s K),11.5.2,511,parameter
coolant_temperature,heat transfer medium temperature Tr,352,625.15,K,11.5.2,511,parameter
runaway_p0_safe,inlet partial pressure said to be still safe,0.018,0.018,bar,11.5.2,513,stated_result
runaway_p0_increment,increment said to push the hot spot beyond permissible limits,0.0002,0.0002,bar,11.5.2,513,stated_result
runaway_claim,the parametric-sensitivity sentence,"If the partial pressure of the hydrocarbon were 0.018 bar, an increase of 0.0002 bar would raise the hot spot temperature beyond permissible limits.",,,11.5.2,513,claim
ex1151a_length,packed length in Example 11.5.1.A,2.5 m,2.5,m,11.5.1.A,510,parameter
ex1151a_diameter,tube internal diameter in Example 11.5.1.A,0.025 m,0.025,m,11.5.1.A,510,parameter
ex1151a_cylinder,cylinder diameter and height,0.003 m,0.003,m,11.5.1.A,510,parameter
ex1151a_voidage,void fraction of the bed,0.38,0.38,-,11.5.1.A,510,parameter
ex1151a_mass_flux,superficial mass flow velocity,1.3,1.3,kg/(m2 s),11.5.1.A,510,parameter
ex1151a_viscosity,viscosity of air at 372 C,3.1 x 10-5,3.1e-05,kg/(m s),11.5.1.A,510,parameter
ex1151a_density,specific mass of air at 372 C,0.9487,0.9487,kg/m3,11.5.1.A,510,parameter
ex1151a_velocity,superficial velocity,1.37,1.37,m/s,11.5.1.A,510,stated_result
ex1151a_dp,equivalent particle diameter,sqrt(1.5) x 0.003 = 0.0037,0.0037,m,11.5.1.A,510,stated_result
ex1151a_Re,Reynolds number,155,155.0,-,11.5.1.A,510,stated_result
ex1151a_f_ergun,Ergun friction factor,26.53,26.53,-,11.5.1.A,510,stated_result
ex1151a_dp_ergun,Ergun pressure drop,31918,31918.0,N/m2,11.5.1.A,510,stated_result
ex1151a_f_mcdonald,McDonald et al. friction factor,28.47,28.47,-,11.5.1.A,510,stated_result
ex1151a_dp_mcdonald,McDonald et al. pressure drop,34253,34253.0,N/m2,11.5.1.A,510,stated_result
ex1151a_f_hicks,Hicks friction factor,25.45,25.45,-,11.5.1.A,510,stated_result
ex1151a_dp_hicks,Hicks pressure drop,0.306,0.306,bar,11.5.1.A,510,stated_result
ergun_a,Ergun kinetic constant a,1.75,1.75,-,11.5.1,508,parameter
ergun_b,Ergun viscous constant b,150,150.0,-,11.5.1,508,parameter
mcdonald_a,McDonald et al. constant a for smooth particles,1.8,1.8,-,11.5.1,508,parameter
mcdonald_b,McDonald et al. constant b,180,180.0,-,11.5.1,508,parameter
hicks_coefficient,Hicks coefficient,6.8,6.8,-,11.5.1,509,parameter
hicks_exponent_eps,Hicks exponent on (1-eps),1.2,1.2,-,11.5.1,509,parameter
hicks_exponent_Re,Hicks exponent on Re,-0.2,-0.2,-,11.5.1,509,parameter
voidage_a,Haughey and Beveridge constant,0.38,0.38,-,11.5.1,509,parameter
voidage_b,Haughey and Beveridge amplitude,0.073,0.073,-,11.5.1,509,parameter
vwf_A,group A of Example 11.5.3.A,6150,6150.0,-,11.5.3.A,519,stated_result
vwf_B,group B of Example 11.5.3.A,257 x 10^6,257000000.0,-,11.5.3.A,519,stated_result
vwf_E_over_R,E/R of Example 11.5.3.A,"13,636",13636.0,K,11.5.3.A,519,parameter
vwf_p0_lower_625,Table 11.5.3.A-2 lower limit inlet partial pressure,0.01371,0.01371,bar,11.5.3.A,520,stated_result
vwf_p0_upper_625,Table 11.5.3.A-2 upper limit inlet partial pressure,0.02002,0.02002,bar,11.5.3.A,520,stated_result
vwf_p0_mean_625,Table 11.5.3.A-2 mean inlet partial pressure,0.01687,0.01687,bar,11.5.3.A,520,stated_result
vwf_dTad_lower_625,Table 11.5.3.A-2 lower limit adiabatic rise,411.5,411.5,K,11.5.3.A,520,stated_result
vwf_dTad_upper_625,Table 11.5.3.A-2 upper limit adiabatic rise,521.1,521.1,K,11.5.3.A,520,stated_result
vwf_dTad_mean_625,Table 11.5.3.A-2 mean adiabatic rise,466.3,466.3,K,11.5.3.A,520,stated_result
vwf_Q_625,Q of the 625 K case,3.4675,3.4675,-,11.5.3.A,519,stated_result
vwf_dT_625,permissible hot-spot rise of the 625 K case,31.6,31.6,K,11.5.3.A,519,stated_result
vwf_TM_625,critical hot-spot temperature of the 625 K case,656.6,656.6,K,11.5.3.A,519,stated_result
vwf_p0_backint_625,back-integrated critical inlet value labelled bar,0.01651,0.01651,bar,11.5.3.A,519,stated_result
vwf_backint_claim,the agreement claim made for the back integration,"Numerical back integration from the critical point onward leads to a critical inlet value for p0 of 0.01651 bar, which is in excellent agreement with the mean.",,,11.5.3.A,519,claim
vwf_dTad_lower_635,Table 11.5.3.A-1 lower limit adiabatic rise,310,310.0,K,11.5.3.A,520,stated_result
vwf_dTad_upper_635,Table 11.5.3.A-1 upper limit adiabatic rise,504,504.0,K,11.5.3.A,520,stated_result
vwf_dTad_mean_635,Table 11.5.3.A-1 mean adiabatic rise,407,407.0,K,11.5.3.A,520,stated_result
vwf_p0_lower_635,Table 11.5.3.A-1 lower limit inlet partial pressure,0.0075,0.0075,bar,11.5.3.A,520,stated_result
vwf_p0_upper_635,Table 11.5.3.A-1 upper limit inlet partial pressure,0.012,0.012,bar,11.5.3.A,520,stated_result
vwf_p0_mean_635,Table 11.5.3.A-1 mean inlet partial pressure,0.00978,0.00978,bar,11.5.3.A,520,stated_result
vwf_TM_635,critical hot-spot temperature of the 635 K case,667.69,667.69,K,11.5.3.A,519,stated_result
vwf_Q_635,Q of the 635 K case,2.9203,2.9203,-,11.5.3.A,519,stated_result
pe_axial_low,bottom of the recommended axial Peclet range,1,1.0,-,11.6,560,parameter
pe_axial_high,top of the recommended axial Peclet range,2,2.0,-,11.6,560,parameter
axial_50dp_claim,the bed-depth rule of thumb,"It has been shown several times that for the flow velocities used in industrial practice, the effect of axial dispersion of heat and mass on conversion is negligible when the bed depth exceeds about 50 particle diameters.",50.0,particle diameters,11.6,560,claim
axial_steep_claim,the claim made for criterion (11.6-4),It takes very steep gradients not to satisfy (11.6-4).,,,11.6,561,claim
ch12_yf_claim,what Chapter 12 says about the same criteria,"Mears [1976] pointed out that these criteria were not general, and he provided alternate ones for equal feed and wall temperatures.",,,12.7.2,709,claim
pe_ma_methanol,axial length Peclet below which axial mixing matters in methanol synthesis,30,30.0,-,11.6,563,stated_result
pe_ma_ethylene,axial length Peclet below which axial mixing matters in ethylene oxidation,200,200.0,-,11.6,563,stated_result
lam_er,effective radial conductivity from Kunii and Smith's correlation,0.78 x 10-3,0.00078,kJ/(m s K),11.7.3,574,parameter
