# Van Welsenaere & Froment (1970), Section 6 "Examples", journal pages 1512-1513.
# Every published value from the four worked examples, read from a 600 dpi page
# render. These are the AUTHORS' OWN COMPUTED VALUES, not measurements.
# Two kinds are mixed and the `kind` column says which:
#   criterion  - from their closed-form extrapolation formulae
#   integration- from their numerical integration of Eqs. 3-4 (Runge-Kutta)
# The second kind tests a reimplementation's ODE solve; the first tests the
# criteria built on top of it.
example,quantity,value,unit,kind,equation,conditions
1a,T_cr,656.6,K,criterion,8,"Tw=625 K, R=0.0125 m"
1a,p0_lower,0.01353,atm,criterion,26,"Tw=625 K, R=0.0125 m"
1a,p0_upper,0.01976,atm,criterion,28,"Tw=625 K, R=0.0125 m"
1a,p0_mean,0.01665,atm,criterion,mean,"Tw=625 K, R=0.0125 m"
1a,p0_critical,0.01651,atm,integration,-,"Tw=625 K, R=0.0125 m; back-integrated from the critical point"
1b,t_w,21.818,-,criterion,21b,"Tw=625 K"
1b,ln_K,-2.055,-,criterion,22,"Tw=625 K, R=0.0125 m"
1b,delta_t,1.8176,-,criterion,24,"Tw=625 K"
1b,ln_K_r,-3.873,-,criterion,23,"Tw=625 K, R=0.0125 m"
1b,t_r,19.013,-,criterion,Fig. 7,"Tw=625 K, R=0.0125 m; read off Fig. 7"
1b,t,20.831,-,criterion,25,"Tw=625 K, R=0.0125 m"
1b,T_cr,654.6,K,criterion,21a,"Tw=625 K, R=0.0125 m"
1b,p0_lower,0.01423,atm,criterion,27,"Tw=625 K, R=0.0125 m"
1b,p0_upper,0.01948,atm,criterion,28,"Tw=625 K, R=0.0125 m"
1b,p0_mean,0.01686,atm,criterion,mean,"Tw=625 K, R=0.0125 m"
1b,p0_critical,0.01641,atm,integration,-,"Tw=625 K, R=0.0125 m; back-integrated from the critical point"
2,p0_mean,0.01269,atm,criterion,30,"Tw=625 K, R=0.0125 m, imposed T_m=640 K (subcritical)"
2,p0_exact,0.01201,atm,integration,-,"Tw=625 K, R=0.0125 m, imposed T_m=640 K; back-integrated"
2,T_max,641.5,K,integration,-,"Tw=625 K, R=0.0125 m, p0=0.01269 atm; forward integration"
3,dT_ad,312.6,K,criterion,32,"R=0.0125 m, p0=0.0075 atm, imposed T_m=675 K"
3,Q,3.094,-,criterion,34,"R=0.0125 m, p0=0.0075 atm, imposed T_m=675 K"
3,dT_eff,22.9,K,criterion,31,"R=0.0125 m, p0=0.0075 atm, imposed T_m=675 K"
3,T_w,652.2,K,criterion,33,"R=0.0125 m, p0=0.0075 atm, imposed T_m=675 K"
3,T_max,677.0,K,integration,-,"R=0.0125 m, p0=0.0075 atm, Tw=T0=652.2 K; forward integration"
4,T_cr,656.6,K,criterion,8,"Tw=625 K, p0=0.0125 atm"
4,dT_eff,31.6,K,criterion,33,"Tw=625 K, p0=0.0125 atm"
4,dT_ad,521.09,K,criterion,32,"Tw=625 K, p0=0.0125 atm"
4,Q,3.4675,-,criterion,31,"Tw=625 K, p0=0.0125 atm"
4,C,29206.4,1/hr,criterion,34,"Tw=625 K, p0=0.0125 atm"
4,R,0.0175,m,criterion,-,"Tw=625 K, p0=0.0125 atm; the radius that is critical"
