# Van Welsenaere & Froment (1970), Chem Eng Sci 25(10) 1503-1516, Section 1.
# The base case used throughout the paper. Read from a 600 dpi render of
# journal page 1504: the Elsevier full-text API returns the publisher's OCR of
# the same scan, which discards the 1970 mid-dot decimal separator and turns
# "R = 0.0125 m" into "R = 00125 m".
# c_p is printed as kcal/m3.degC, i.e. it is already a VOLUMETRIC heat capacity;
# do not multiply by rho_g again. That is what makes C = 2U/(c_p R) come out per
# hour against z = z'/u in hours.
symbol,value,unit,description
M,29.48,kg/kmol,mean molecular weight
P,1.0,atm,total pressure
rho_b,1300.0,kg/m3,catalyst bulk density
rho_g,1.293,kg/m3,gas density
minus_dH,307000.0,kcal/kmol,heat of reaction
c_p,0.323,kcal/(m3 degC),volumetric heat capacity of the gas
u,3600.0,m/hr,superficial velocity
U,82.7,kcal/(m2 hr degC),overall wall heat transfer coefficient
R,0.0125,m,tube radius (base case; varied in Example 4)
p_B0,0.208,atm,partial pressure of the second reactant (in excess)
a,13636.0,1/K,"activation energy over the gas constant, E/R"
b,19.837,-,logarithm of the frequency factor
