# Toomey & Johnstone (1952): the scalars the paper prints in its running text
# and equations, collected so that nothing on the page is retyped into prose.
# Read from 400 dpi pdftoppm renders; the PDF has NO text layer.
#
# The five Re_mf values are printed as a bare ascending list with no bead
# labels: "the Reynolds number for the fixed beds of the glass beads used in
# this work were 0.014, 0.095, 0.55, 2.88, and 12.2" (journal page 221). The
# assignment to bead sizes 5,4,3,2,1 (smallest first) is an INFERENCE from the
# ordering and is flagged as such; nothing else in the paper labels them.
symbol,value,units,where_printed,description,flags
Re_mf_bead5,0.014,-,"p. 221 col. 1","Reynolds number D_p u_mf rho_g / mu_g of the fixed bed at incipient fluidisation",bead_assignment_inferred_from_ascending_order
Re_mf_bead4,0.095,-,"p. 221 col. 1","Reynolds number of the fixed bed at incipient fluidisation",bead_assignment_inferred_from_ascending_order
Re_mf_bead3,0.55,-,"p. 221 col. 1","Reynolds number of the fixed bed at incipient fluidisation",bead_assignment_inferred_from_ascending_order
Re_mf_bead2,2.88,-,"p. 221 col. 1","Reynolds number of the fixed bed at incipient fluidisation",bead_assignment_inferred_from_ascending_order
Re_mf_bead1,12.2,-,"p. 221 col. 1","Reynolds number of the fixed bed at incipient fluidisation",bead_assignment_inferred_from_ascending_order
umf_over_ue_1,0.85,-,"p. 224 col. 2","u_mf/u_e from the Figure 3 intercept, Lewis-Gilliland-Bauer particle size 1 of 4",
umf_over_ue_2,0.69,-,"p. 224 col. 2","u_mf/u_e from the Figure 3 intercept, Lewis-Gilliland-Bauer particle size 2 of 4",
umf_over_ue_3,0.83,-,"p. 224 col. 2","u_mf/u_e from the Figure 3 intercept, Lewis-Gilliland-Bauer particle size 3 of 4",
umf_over_ue_4,0.87,-,"p. 224 col. 2","u_mf/u_e from the Figure 3 intercept, Lewis-Gilliland-Bauer particle size 4 of 4",
eq1_coefficient,0.065,"s/ft^0.5","p. 223 eq. (1)","the Lewis-Gilliland-Bauer bed-expansion coefficient in 1 - L_mf/L_f = (0.065/D_p^0.5)(u_f - u_mf)",
column_diameter_in,4.7,in,"p. 226, Toomey's reply to Max Leva","inside diameter of the fluidising column",
calrod_heater_diameter_in,0.5,in,"p. 224 col. 2","the half-inch Calrod heater running down the centre of the column",
bed_height_min_stated_in,12,in,"p. 226, Toomey's reply to Max Leva","lower end of the bed heights Toomey quotes in the printed Discussion",
bed_height_max_stated_in,26,in,"p. 226, Toomey's reply to Max Leva","upper end of the bed heights Toomey quotes (""about 26 in."")",
